Sample REF	CAC8649C-9172-4F4F-8083-62EFF39FB4D6
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0521209299999999
14-3-3_epsilon-M-C	0.018447813
14-3-3_zeta-R-V	-0.122237761
4E-BP1-R-V	-0.117018284
4E-BP1_pS65-R-V	-0.330374412
4E-BP1_pT37_T46-R-V	-0.190580026
4E-BP1_pT70-R-V	0
53BP1-R-E	0.499224605
A-Raf_pS299-R-C	-0.203835954
ACC_pS79-R-V	0.323578013
ACC1-R-E	0.052235502
Acetyl-a-Tubulin-Lys40-R-C	0.224306352
ACVRL1-R-C	0.016268002
ADAR1-M-V	-0.123923084
Akt-R-V	-0.142629057
Akt_pS473-R-V	0.256310576
Akt_pT308-R-V	-0.123863078
alpha-Catenin-M-V	0.235949299
AMPK_alpha-R-C	0.236154805
AMPK_pT172-R-V	0.432138167
Annexin-1-M-E	0.0818955920000001
Annexin_VII-M-V	0.162140004
AR-R-V	0.197724021
DIRAS3-M-E	0.213674026
ASNS-R-V	0.328158291
ATM-R-E	-0.167512346
B-Raf-M-C	-0.823758367
Bad_pS112-R-V	-0.181946899
Bak-R-C	0.132966621
Bap1-c-4-M-E	0.0258859500000001
Bax-R-V	0.040299475
Bcl-2-M-V	-0.405107889
Bcl-xL-R-V	0.338700211
Beclin-G-C	0.169232336
beta-Catenin-R-V	0.396247421
Bid-R-C	0.177479531
Bim-R-V	-0.47827203
BRCA2-R-C	-0.031783253
c-Jun_pS73-R-V	0.128131969
c-Kit-R-V	-0.257384855
c-Met-M-E	3.854520566
c-Met_pY1235-R-V	0.124651701
c-Myc-R-C	1.594202397
C-Raf-R-V	-0.247211671
C-Raf_pS338-R-V	0.00681497699999997
Caspase-7_cleavedD198-R-C	-0.279742197
Caspase-8-M-E	2.964914693
Caveolin-1-R-V	-1.984243766
CD20-R-C	0.073276974
CD31-M-V	-0.193037005
CD49b-M-V	0.234700649
CDK1-R-V	0.0270380919999999
Chk1-M-C	-0.308075622
Chk1_pS345-R-C	-0.076243978
Chk2-M-E	0.411066375
Chk2_pT68-R-C	0.23643898
cIAP-R-V	-0.030613451
Claudin-7-R-V	1.488974741
Collagen_VI-R-V	-0.070453896
Cyclin_B1-R-V	0.366499718
Cyclin_D1-R-V	0.06365575
Cyclin_E1-M-V	-0.174907309
Cyclin_E2-R-C	0.20862068
DJ-1-R-E	-0.188268208
Dvl3-R-V	-0.176398
E-Cadherin-R-V	0.563990854
eEF2-R-C	-0.248512214
eEF2K-R-V	-0.448697833
EGFR-R-V	-0.623086773
EGFR_pY1068-R-C	-0.396232677
EGFR_pY1173-R-V	0.19497585
eIF4E-R-V	0.058251705
eIF4G-R-C	-0.185492887
ER-alpha-R-V	-0.286758452
ER-alpha_pS118-R-V	0.056321499
ERCC1-M-V	-0.014710997
ERK2-R-E	0.00877482399999999
ETS-1-R-V	0.123663739
FASN-R-V	-0.0166183439999999
Fibronectin-R-V	0.000522592999999821
FoxM1-R-V	0.536076816
FOXO3a-R-C	-0.038604487
FOXO3a_pS318_S321-R-C	0.324630055
G6PD-M-V	-0.414326554
GAB2-R-V	-0.066226741
GAPDH-M-C	0.112773859
GATA3-M-V	-0.342301837
GSK3-alpha-beta-M-V	-0.127186339
GSK3-alpha-beta_pS21_S9-R-V	-0.911542235
GSK3_pS9-R-V	-1.22978986
HER2-M-V	0.0697286630000001
HER2_pY1248-R-C	-0.102863013
HER3-R-V	-0.0603232969999999
HER3_pY1289-R-C	0.032672088
Heregulin-R-V	0.00343831000000008
HSP70-R-C	0.275006023
IGFBP2-R-V	2.504240593
INPP4B-R-V	0.0161735370000004
IRS1-R-V	-0.031644066
JNK_pT183_pY185-R-V	-0.170896273
JNK2-R-C	-0.123178708
Ku80-R-C	0.210999509
Lck-R-V	0.449013401
LKB1-M-E	0.068667392
MAPK_pT202_Y204-R-V	-0.703804171
MEK1-R-V	-0.388736355
MEK1_pS217_S221-R-V	0.050411335
MIG-6-M-V	0.353551053
Mre11-R-C	0.066826516
MSH2-M-V	0.272098429
MSH6-R-C	0.420819701
mTOR-R-V	-0.092034289
mTOR_pS2448-R-C	-0.304880252
MYH11-R-V	0.114870386
Myosin-IIa_pS1943-R-V	-0.041700014
N-Cadherin-R-V	0.094585959
N-Ras-M-V	0.080893005
NDRG1_pT346-R-V	-0.766324386
NF-kB-p65_pS536-R-C	-0.688243709
NF2-R-C	-0.11758285
Notch1-R-V	-0.532092698
P-Cadherin-R-C	-0.0755222530000002
p21-R-V	0.572059177
p27-R-V	0.227876947
p27_pT157-R-C	0.074635091
p27_pT198-R-V	-0.03069909
p38_MAPK-R-V	-0.205266938
p38_pT180_Y182-R-V	-0.85633602
p53-R-E	-0.0327301069999998
p62-LCK-ligand-M-C	0.334537804
p70S6K-R-V	-0.379979252
p70S6K_pT389-R-V	-0.057783352
p90RSK-R-C	0.087635168
p90RSK_pT359_S363-R-C	0.0056045880000001
PAI-1-M-E	-0.984788214
PARP_cleaved-M-E	3.427659351
Paxillin-R-C	-0.81313275
PCNA-M-C	0.224260045
PDCD4-R-C	-0.632774812
PDK1-R-V	-0.000522369999999966
PDK1_pS241-R-V	-0.097443764
PEA15-R-V	-0.156061911
PEA15_pS116-R-V	-0.033177125
PI3K-p110-alpha-R-C	-0.0743296820000001
PI3K-p85-R-V	-0.044472626
PKC-alpha-M-V	-0.313955113
PKC-alpha_pS657-R-C	-0.300624802
PKC-delta_pS664-R-V	-0.0356634650000001
PKC-pan_BetaII_pS660-R-V	-0.0529601700000001
PR-R-V	-0.0986173019999999
PRAS40_pT246-R-V	-0.183049665
PRDX1-R-V	-0.341535914
PREX1-R-E	-0.42372264
PTEN-R-V	-0.136202763
Rab11-R-E	0.288389572
Rab25-R-V	1.309180825
Rad50-M-V	-0.0730293199999999
Rad51-R-V	0.162088559
Raptor-R-V	-0.160592857
Rb-M-E	1.490722728
Rb_pS807_S811-R-V	-0.0821087319999999
RBM15-R-V	0.201964585
Rictor-R-C	-0.464068594
Rictor_pT1135-R-V	-0.083505357
S6-R-E	0.099260336
S6_pS235_S236-R-V	0.596618672
S6_pS240_S244-R-V	0.842510628
SCD-M-V	0.532995235
SETD2-R-E	4.459309006
SF2-M-V	0.135559657
Shc_pY317-R-E	-0.114919487
Smac-M-E	1.090926288
Smad1-R-V	0.00509393999999999
Smad3-R-V	-0.00154088699999999
Smad4-M-V	-0.240321053
Snail-M-E	5.383281492
Src-M-V	-0.229080834
Src_pY416-R-C	-0.486755334
Src_pY527-R-V	-0.164082405
STAT3_pY705-R-V	-0.328525865
STAT5-alpha-R-V	-0.902909441
Stathmin-R-V	0.238258304
Syk-M-V	-0.259012798
TAZ-R-V	0.330791356
TIGAR-R-V	0.529893625
Transglutaminase-M-V	-0.512951979
TFRC-R-V	0.627676215
TSC1-R-C	0.003926862
TTF1-R-V	0.018447813
Tuberin-R-E	0.460832344
Tuberin_pT1462-R-V	-0.333265685
VEGFR2-R-V	-0.075765633
EPPK1-M-E	0.0766202940000001
XBP1-G-C	0.195667476
XRCC1-R-E	0.137589579
YAP-R-E	-0.323494033
YAP_pS127-R-E	-0.743490395
YB-1-R-V	-0.397869853
YB-1_pS102-R-V	-0.071437666
JAB1-M-C	-0.100349262
PARP1-R-V	0.258754353
A-Raf-R-V	-0.086294416
ARID1A-R-C	-0.00192708599999999
B-Raf_pS445-R-V	0.065015594
Bcl2A1-R-V	0.198052265
BRD4-R-V	0.018447813
c-Abl-R-V	0.141118027
Caspase-3-R-C	0.235581857
