Sample REF	CC285FB3-7E31-4A64-BEFF-36F0909E6C8D
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.30281729
14-3-3_epsilon-M-C	0.143925841
14-3-3_zeta-R-V	1.120115675
4E-BP1-R-V	0.940325106
4E-BP1_pS65-R-V	0.116104609
4E-BP1_pT37_T46-R-V	0
4E-BP1_pT70-R-V	0.608010964
53BP1-R-E	-1.195156978
A-Raf_pS299-R-C	-0.0964983490000001
ACC_pS79-R-V	0.034755623
ACC1-R-E	0.0132189709999999
Acetyl-a-Tubulin-Lys40-R-C	-0.970266905
ACVRL1-R-C	0.273079356
ADAR1-M-V	0.141972414
Akt-R-V	-1.359312513
Akt_pS473-R-V	-0.75854442
Akt_pT308-R-V	0.0912244390000001
alpha-Catenin-M-V	-0.0751301690000001
AMPK_alpha-R-C	-0.058038432
AMPK_pT172-R-V	-0.330249186
Annexin-1-M-E	1.689931061
Annexin_VII-M-V	0.177146863
AR-R-V	-0.1063147
DIRAS3-M-E	0.039255796
ASNS-R-V	-0.488206831
ATM-R-E	-0.49549507
B-Raf-M-C	-0.681926009
Bad_pS112-R-V	-0.227694692
Bak-R-C	-0.0419192739999998
Bap1-c-4-M-E	-0.361091089
Bax-R-V	0.417832888
Bcl-2-M-V	-0.384597025
Bcl-xL-R-V	0.218818032
Beclin-G-C	-0.258522049
beta-Catenin-R-V	-0.83084831
Bid-R-C	0.048730334
Bim-R-V	-0.838490375
BRCA2-R-C	0.0708249090000002
c-Jun_pS73-R-V	-0.500030125
c-Kit-R-V	0.180840308
c-Met-M-E	-0.362134144
c-Met_pY1235-R-V	0.318865964
c-Myc-R-C	-0.315814482
C-Raf-R-V	-0.520432208
C-Raf_pS338-R-V	0.271562461
Caspase-7_cleavedD198-R-C	-0.390433531
Caspase-8-M-E	-0.236725104
Caveolin-1-R-V	1.057170956
CD20-R-C	-0.084258277
CD31-M-V	0.173620105
CD49b-M-V	0.00639638799999998
CDK1-R-V	-0.0222815539999999
Chk1-M-C	0.184211892
Chk1_pS345-R-C	0.118306343
Chk2-M-E	-0.581470147
Chk2_pT68-R-C	0.336361342
cIAP-R-V	0.102346925
Claudin-7-R-V	0.169058131
Collagen_VI-R-V	0.573419916
Cyclin_B1-R-V	0.647013721
Cyclin_D1-R-V	0.211134707
Cyclin_E1-M-V	0.520410035
Cyclin_E2-R-C	0.00675297099999994
DJ-1-R-E	0.280573822
Dvl3-R-V	0.310248281
E-Cadherin-R-V	-0.425382728
eEF2-R-C	0.075676932
eEF2K-R-V	-0.513039656
EGFR-R-V	0.513598582
EGFR_pY1068-R-C	0.217240636
EGFR_pY1173-R-V	0.157058368
eIF4E-R-V	0.647883433
eIF4G-R-C	-0.174256455
ER-alpha-R-V	-0.673253148
ER-alpha_pS118-R-V	-0.147041282
ERCC1-M-V	-0.409275392
ERK2-R-E	-0.911760991
ETS-1-R-V	0.0368664110000001
FASN-R-V	-0.333136313
Fibronectin-R-V	0.550006468
FoxM1-R-V	-0.333644088
FOXO3a-R-C	-0.085607427
FOXO3a_pS318_S321-R-C	0.00233663099999992
G6PD-M-V	-0.0829494310000001
GAB2-R-V	-0.701677289
GAPDH-M-C	0.496881674
GATA3-M-V	-0.611423759
GSK3-alpha-beta-M-V	0.255497254
GSK3-alpha-beta_pS21_S9-R-V	-0.724054361
GSK3_pS9-R-V	-1.634946577
HER2-M-V	-1.645523467
HER2_pY1248-R-C	-0.123086568
