Sample REF	D29EE792-E846-4EF2-A5EB-EB3C44AACD84
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0856596809999999
14-3-3_epsilon-M-C	-0.0427034639999999
14-3-3_zeta-R-V	-0.245246549
4E-BP1-R-V	0.374738658
4E-BP1_pS65-R-V	-0.308159803
4E-BP1_pT37_T46-R-V	-0.095703912
4E-BP1_pT70-R-V	0.103348222
53BP1-R-E	-0.043056274
A-Raf_pS299-R-C	-0.04738644
ACC_pS79-R-V	-0.237802021
ACC1-R-E	-0.471191597
Acetyl-a-Tubulin-Lys40-R-C	-0.0911255039999999
ACVRL1-R-C	0.00862962999999992
ADAR1-M-V	0.092520178
Akt-R-V	0.138240438
Akt_pS473-R-V	0.988692047
Akt_pT308-R-V	0.41459212
alpha-Catenin-M-V	0.081947379
AMPK_alpha-R-C	-0.383998666
AMPK_pT172-R-V	-0.129946527
Annexin-1-M-E	-1.396869757
Annexin_VII-M-V	0.170375129
AR-R-V	0.25709224
DIRAS3-M-E	-0.156493283
ASNS-R-V	0.422775664
ATM-R-E	-0.135792467
B-Raf-M-C	-0.277860133
Bad_pS112-R-V	-0.017831512
Bak-R-C	0.212913678
Bap1-c-4-M-E	0.304829993
Bax-R-V	-0.252742871
Bcl-2-M-V	1.349360892
Bcl-xL-R-V	-0.155571044
Beclin-G-C	0.029064245
beta-Catenin-R-V	-0.0249485869999999
Bid-R-C	-0.07388052
Bim-R-V	0.157885062
BRCA2-R-C	-0.033001587
c-Jun_pS73-R-V	0.092300587
c-Kit-R-V	-0.20700701
c-Met-M-E	-0.00126091399999997
c-Met_pY1235-R-V	-0.000633768000000062
c-Myc-R-C	-0.393119739
C-Raf-R-V	-0.064702444
C-Raf_pS338-R-V	-0.012185107
Caspase-7_cleavedD198-R-C	0.043322563
Caspase-8-M-E	-0.222755829
Caveolin-1-R-V	-0.960696361
CD20-R-C	0.048387583
CD31-M-V	0.192291887
CD49b-M-V	0.027544539
CDK1-R-V	0.370633679
Chk1-M-C	0.166778942
Chk1_pS345-R-C	0.16972096
Chk2-M-E	0.371826466
Chk2_pT68-R-C	0.09847721
cIAP-R-V	0.127750369
Claudin-7-R-V	-1.68958387
Collagen_VI-R-V	-0.1977765
Cyclin_B1-R-V	0.684225325
Cyclin_D1-R-V	0.225326851
Cyclin_E1-M-V	0.0721548529999998
Cyclin_E2-R-C	0.08045602
DJ-1-R-E	-0.046735564
Dvl3-R-V	0.123315066
E-Cadherin-R-V	-0.034187255
eEF2-R-C	-0.098370176
eEF2K-R-V	0.656313322
EGFR-R-V	-0.00454970599999996
