Sample REF	D459FFAC-DA2A-48F3-AE6F-FB3205338C3E
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.115093586
14-3-3_epsilon-M-C	-0.162903096
14-3-3_zeta-R-V	-0.127318729
4E-BP1-R-V	0.186738864
4E-BP1_pS65-R-V	-0.19244865
4E-BP1_pT37_T46-R-V	0.139076207
4E-BP1_pT70-R-V	-0.107816775
53BP1-R-E	0.121455524
A-Raf_pS299-R-C	-0.054069338
ACC_pS79-R-V	-0.642411237
ACC1-R-E	-0.59510248
Acetyl-a-Tubulin-Lys40-R-C	0.0845917670000001
ACVRL1-R-C	-0.076303545
ADAR1-M-V	-0.044068588
Akt-R-V	0.509100007
Akt_pS473-R-V	0.565528686
Akt_pT308-R-V	0.303574933
alpha-Catenin-M-V	-0.0460860760000001
AMPK_alpha-R-C	0.157581281
AMPK_pT172-R-V	-0.041178127
Annexin-1-M-E	-0.110130122
Annexin_VII-M-V	-0.149658644
AR-R-V	-0.0142301210000001
DIRAS3-M-E	-0.00537867100000003
ASNS-R-V	-0.659119559
ATM-R-E	0.482854476
B-Raf-M-C	0.080391042
Bad_pS112-R-V	0.050212614
Bak-R-C	0.179213596
Bap1-c-4-M-E	-0.0648770700000001
Bax-R-V	-0.226165069
Bcl-2-M-V	-0.268364607
Bcl-xL-R-V	0.000750578000000029
Beclin-G-C	0.0857040520000001
beta-Catenin-R-V	0.042905735
Bid-R-C	-0.00820455900000003
Bim-R-V	-0.355309252
BRCA2-R-C	0.131644222
c-Jun_pS73-R-V	0.616207635
c-Kit-R-V	1.028989346
c-Met-M-E	-0.108717235
c-Met_pY1235-R-V	-0.0359183230000001
c-Myc-R-C	-0.398302861
C-Raf-R-V	-0.197712171
C-Raf_pS338-R-V	-0.133986228
Caspase-7_cleavedD198-R-C	-0.562078481
Caspase-8-M-E	-0.26718535
Caveolin-1-R-V	0.824581707
CD20-R-C	-0.0306755030000001
CD31-M-V	-0.247199348
CD49b-M-V	0.065850235
CDK1-R-V	0.243616341
Chk1-M-C	0.138160224
Chk1_pS345-R-C	-0.151100632
Chk2-M-E	-0.509871782
Chk2_pT68-R-C	-0.118338492
cIAP-R-V	-0.044003606
Claudin-7-R-V	-0.424523005
Collagen_VI-R-V	-0.0273619
Cyclin_B1-R-V	0.129522749
Cyclin_D1-R-V	-0.105862159
Cyclin_E1-M-V	-0.544248942
Cyclin_E2-R-C	-0.077012801
DJ-1-R-E	-0.016890746
Dvl3-R-V	0.428400334
E-Cadherin-R-V	-0.247614827
eEF2-R-C	0.061383763
eEF2K-R-V	0.579651314
EGFR-R-V	0.501190632
EGFR_pY1068-R-C	0.0105686070000002
EGFR_pY1173-R-V	-0.080217977
eIF4E-R-V	-0.331705246
eIF4G-R-C	0.130122371
ER-alpha-R-V	-0.206351336
ER-alpha_pS118-R-V	-0.0620142189999999
ERCC1-M-V	0.0617337499999999
ERK2-R-E	0.029376648
ETS-1-R-V	-0.00618462100000003
FASN-R-V	-0.843315426
Fibronectin-R-V	1.66425239
FoxM1-R-V	0.297457951
FOXO3a-R-C	-0.017580648
FOXO3a_pS318_S321-R-C	0.09932417
G6PD-M-V	-0.209187827
GAB2-R-V	0.389990454
GAPDH-M-C	0.282669507
GATA3-M-V	0.177686501
GSK3-alpha-beta-M-V	0.0553259129999999
GSK3-alpha-beta_pS21_S9-R-V	-0.153916826
GSK3_pS9-R-V	0.128931596
HER2-M-V	0.058717224
HER2_pY1248-R-C	-0.0184804979999999
HER3-R-V	0.069581071
HER3_pY1289-R-C	0.114891129
Heregulin-R-V	0.249439827
HSP70-R-C	-0.08611632
IGFBP2-R-V	1.160035291
INPP4B-R-V	-0.0608546149999998
IRS1-R-V	0.404228741
JNK_pT183_pY185-R-V	-0.0456193689999999
JNK2-R-C	0.0697965240000001
Ku80-R-C	-0.059258554
Lck-R-V	-0.339892645
LKB1-M-E	-0.0200328230000001
MAPK_pT202_Y204-R-V	0.297228785
MEK1-R-V	0.023583135
MEK1_pS217_S221-R-V	0.00634677799999997
MIG-6-M-V	0.030462389
Mre11-R-C	-0.012704133
MSH2-M-V	-0.0206950490000004
MSH6-R-C	-0.151290231
mTOR-R-V	0.012408673
mTOR_pS2448-R-C	-0.0838389079999999
MYH11-R-V	1.819376878
Myosin-IIa_pS1943-R-V	0.474223576
N-Cadherin-R-V	-0.15017808
N-Ras-M-V	-0.083974027
NDRG1_pT346-R-V	1.3020046
NF-kB-p65_pS536-R-C	0.200068654
NF2-R-C	-0.030146539
Notch1-R-V	0.631723644
P-Cadherin-R-C	-0.211971308
p21-R-V	-0.190305807
p27-R-V	-0.021206501
p27_pT157-R-C	0.014527173
p27_pT198-R-V	-0.00824273600000003
p38_MAPK-R-V	0.00602665699999996
p38_pT180_Y182-R-V	-0.196498179
p53-R-E	0.029081921
p62-LCK-ligand-M-C	-0.492262545
p70S6K-R-V	-0.125844613
p70S6K_pT389-R-V	-0.21151362
p90RSK-R-C	0.030368969
p90RSK_pT359_S363-R-C	0.276226689
PAI-1-M-E	0.463930591
PARP_cleaved-M-E	-0.108079373
Paxillin-R-C	0.73298637
PCNA-M-C	-0.302835027
PDCD4-R-C	0.484707934
PDK1-R-V	0.037546079
PDK1_pS241-R-V	0.080921504
PEA15-R-V	0.136195195
PEA15_pS116-R-V	0.185377404
PI3K-p110-alpha-R-C	0.161034785
PI3K-p85-R-V	0.252914367
PKC-alpha-M-V	0.336413602
PKC-alpha_pS657-R-C	0.515326804
PKC-delta_pS664-R-V	-0.0916018250000001
PKC-pan_BetaII_pS660-R-V	0.183462058
PR-R-V	-0.0674456299999999
PRAS40_pT246-R-V	0.10220927
PRDX1-R-V	-0.375826873
PREX1-R-E	-0.31268426
PTEN-R-V	0.711053264
Rab11-R-E	-0.165257283
Rab25-R-V	0.10776131
Rad50-M-V	-0.020107467
Rad51-R-V	-0.181315553
Raptor-R-V	0.140795122
Rb-M-E	-0.200904958
Rb_pS807_S811-R-V	0.198774948
RBM15-R-V	0.204063713
Rictor-R-C	1.639834216
Rictor_pT1135-R-V	-0.110642339
S6-R-E	0.076439265
S6_pS235_S236-R-V	0.329716351
S6_pS240_S244-R-V	0.0976478329999999
SCD-M-V	-0.129752518
SETD2-R-E	-0.0791697649999998
SF2-M-V	-0.0468187260000001
Shc_pY317-R-E	-0.0758642739999997
Smac-M-E	-0.20557388
Smad1-R-V	-0.061857461
Smad3-R-V	0.029891779
Smad4-M-V	-0.006993585
Snail-M-E	-0.0899146869999998
Src-M-V	0.143107197
Src_pY416-R-C	0.0897942280000002
Src_pY527-R-V	-0.212899681
STAT3_pY705-R-V	0.116260779
STAT5-alpha-R-V	-0.00309645500000003
Stathmin-R-V	-0.084079652
Syk-M-V	0.00379654900000007
TAZ-R-V	0.259369326
TIGAR-R-V	-0.146646938
Transglutaminase-M-V	-0.140207308
TFRC-R-V	-1.144064328
TSC1-R-C	0.272446334
TTF1-R-V	0.110251567
Tuberin-R-E	0.34695737
Tuberin_pT1462-R-V	-0.010935149
VEGFR2-R-V	0.211194901
EPPK1-M-E	0.480835912
XBP1-G-C	0.294528307
XRCC1-R-E	-0.360853319
YAP-R-E	0.440900753
YAP_pS127-R-E	0.557095967
YB-1-R-V	0.51131079
YB-1_pS102-R-V	0.114037119
JAB1-M-C	-0.118684045
PARP1-R-V	0.0943898649999999
A-Raf-R-V	-0.025807753
ARID1A-R-C	0.177782779
B-Raf_pS445-R-V	-0.213784167
Bcl2A1-R-V	0
BRD4-R-V	0.464767146
c-Abl-R-V	0.176077014
Caspase-3-R-C	-0.119671096
CD26-R-V	0.016925139
Chk1_pS296-R-V	0.036088052
COG3-R-V	0.024450753
DUSP4-R-V	-0.280861602
ERCC5-R-C	0.040107366
IGF1R_pY1135_Y1136-R-V	-0.02506264
IRF-1-R-C	-0.054829395
Jak2-R-V	0.047413761
p16_INK4a-R-V	-0.232732602
SHP-2_pY542-R-C	0.324369878
CDK1_pY15-R-C	-0.117539173
