Sample REF	D4ECE36C-3B7F-467F-AB01-BFA1F7DE7684
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.164552867
14-3-3_epsilon-M-C	0.015632158
14-3-3_zeta-R-V	0.175466274
4E-BP1-R-V	0.3698667
4E-BP1_pS65-R-V	-0.141412597
4E-BP1_pT37_T46-R-V	-0.420376121
4E-BP1_pT70-R-V	-0.173704963
53BP1-R-E	0.177709632
A-Raf_pS299-R-C	-0.129008682
ACC_pS79-R-V	0.745343509
ACC1-R-E	0.437941281
Acetyl-a-Tubulin-Lys40-R-C	-0.166040031
ACVRL1-R-C	0.087895822
ADAR1-M-V	-0.0369430769999999
Akt-R-V	0.42188681
Akt_pS473-R-V	-0.687181498
Akt_pT308-R-V	-0.59585242
alpha-Catenin-M-V	0.291002457
AMPK_alpha-R-C	0.00798633499999996
AMPK_pT172-R-V	0.536191092
Annexin-1-M-E	0.84323022
Annexin_VII-M-V	0.211151691
AR-R-V	-0.119952014
DIRAS3-M-E	-0.0353673410000001
ASNS-R-V	-0.703353199
ATM-R-E	0.0983105060000001
B-Raf-M-C	0.068543455
Bad_pS112-R-V	0.109181341
Bak-R-C	-0.0337399029999999
Bap1-c-4-M-E	0.04440069
Bax-R-V	-0.136642614
Bcl-2-M-V	-0.102343906
Bcl-xL-R-V	0.187668809
Beclin-G-C	0.214971454
beta-Catenin-R-V	0.646457724
Bid-R-C	-0.146889121
Bim-R-V	0.093056367
BRCA2-R-C	-0.126576667
c-Jun_pS73-R-V	0.0597459259999999
c-Kit-R-V	-0.208844382
c-Met-M-E	0.162394665
c-Met_pY1235-R-V	-0.0947478980000001
c-Myc-R-C	-0.158946986
C-Raf-R-V	-0.184106174
C-Raf_pS338-R-V	-0.168974173
Caspase-7_cleavedD198-R-C	0.381006325
Caspase-8-M-E	0.110901585
Caveolin-1-R-V	-0.220655031
CD20-R-C	-0.0827713530000001
CD31-M-V	0.022052489
CD49b-M-V	-0.051315798
CDK1-R-V	0.0115434079999998
Chk1-M-C	-0.289613975
Chk1_pS345-R-C	-0.107249646
Chk2-M-E	-0.0276195110000002
Chk2_pT68-R-C	-0.107770343
cIAP-R-V	-0.109084858
Claudin-7-R-V	0.907209065
Collagen_VI-R-V	-0.178735651
Cyclin_B1-R-V	-0.089213754
Cyclin_D1-R-V	-0.210202045
Cyclin_E1-M-V	0.282460452
Cyclin_E2-R-C	-0.118303528
DJ-1-R-E	-0.210296275
Dvl3-R-V	0.278173145
E-Cadherin-R-V	0.571813275
eEF2-R-C	-0.168884794
eEF2K-R-V	0.508196024
EGFR-R-V	0.607951917
EGFR_pY1068-R-C	0.0959307520000003
EGFR_pY1173-R-V	-0.0969944930000001
eIF4E-R-V	0.056080335
eIF4G-R-C	0.233958156
ER-alpha-R-V	-0.0953243150000001
ER-alpha_pS118-R-V	-0.127809208
ERCC1-M-V	0.0190260079999999
ERK2-R-E	0.254385256
ETS-1-R-V	-0.142729838
FASN-R-V	-0.094096049
Fibronectin-R-V	0.0267580179999999
FoxM1-R-V	0.18007914
FOXO3a-R-C	-0.0289824730000004
FOXO3a_pS318_S321-R-C	-0.029386007
G6PD-M-V	0.185305016
GAB2-R-V	0.532438657
GAPDH-M-C	-0.223817305
GATA3-M-V	-0.191918062
GSK3-alpha-beta-M-V	0.140227157
GSK3-alpha-beta_pS21_S9-R-V	-0.815500458
GSK3_pS9-R-V	-0.872395974
HER2-M-V	0.319337356
HER2_pY1248-R-C	0.063212937
HER3-R-V	0.17662357
HER3_pY1289-R-C	-0.05941283
Heregulin-R-V	-0.133244357
HSP70-R-C	-0.269930461
IGFBP2-R-V	1.119562021
INPP4B-R-V	0.0950721710000001
IRS1-R-V	-0.0794410560000001
JNK_pT183_pY185-R-V	-0.164013284
JNK2-R-C	0.35237201
Ku80-R-C	-0.028056
Lck-R-V	0.106363718
LKB1-M-E	-0.127093681
MAPK_pT202_Y204-R-V	-0.215780082
MEK1-R-V	0.498459627
MEK1_pS217_S221-R-V	-0.021047254
MIG-6-M-V	0.034040958
Mre11-R-C	-0.058385013
MSH2-M-V	0.0150232339999998
MSH6-R-C	0.076398637
mTOR-R-V	0.290018387
mTOR_pS2448-R-C	-0.0182681029999999
MYH11-R-V	0.869134359
Myosin-IIa_pS1943-R-V	-0.724544849
N-Cadherin-R-V	-0.212737188
N-Ras-M-V	-0.034711873
NDRG1_pT346-R-V	-0.684945076
NF-kB-p65_pS536-R-C	-0.215780082
NF2-R-C	-0.069242982
Notch1-R-V	0.322022581
P-Cadherin-R-C	0.0896490629999997
p21-R-V	-1.726004509
p27-R-V	0.0215872809999999
p27_pT157-R-C	0
p27_pT198-R-V	-0.00323841000000005
p38_MAPK-R-V	0.263552762
p38_pT180_Y182-R-V	-0.838072657
p53-R-E	0.00991186200000022
p62-LCK-ligand-M-C	-0.0192759949999999
p70S6K-R-V	0.040934065
p70S6K_pT389-R-V	-0.233302659
p90RSK-R-C	0.284100342
p90RSK_pT359_S363-R-C	-0.0567779010000001
PAI-1-M-E	0.101910967
PARP_cleaved-M-E	0.0834403639999998
Paxillin-R-C	-0.0269756930000001
PCNA-M-C	-0.111577417
PDCD4-R-C	0.128367018
PDK1-R-V	0.193480666
PDK1_pS241-R-V	0.350490312
PEA15-R-V	0.227375966
PEA15_pS116-R-V	-0.042824631
PI3K-p110-alpha-R-C	0.288497355
PI3K-p85-R-V	0.468967691
PKC-alpha-M-V	0.22683248
PKC-alpha_pS657-R-C	0.47331694
PKC-delta_pS664-R-V	-0.0236255680000002
PKC-pan_BetaII_pS660-R-V	0.19215391
PR-R-V	-0.102562111
PRAS40_pT246-R-V	-0.19253144
PRDX1-R-V	-0.063582339
PREX1-R-E	0.130371941
PTEN-R-V	0.667920704
Rab11-R-E	-0.00644719800000002
Rab25-R-V	0.494258312
Rad50-M-V	-0.127746176
Rad51-R-V	-0.15911436
Raptor-R-V	0.042965558
Rb-M-E	-0.119615685
Rb_pS807_S811-R-V	-0.400506194
RBM15-R-V	0.131916489
Rictor-R-C	0.416359086
Rictor_pT1135-R-V	-0.140299613
S6-R-E	0.083349289
S6_pS235_S236-R-V	-0.164141089
S6_pS240_S244-R-V	0.249226449
SCD-M-V	0.064729175
SETD2-R-E	0.56105283
SF2-M-V	-0.21561156
Shc_pY317-R-E	0.314526587
Smac-M-E	-0.0647193170000001
Smad1-R-V	-0.161788679
Smad3-R-V	0.101009392
Smad4-M-V	-0.050852803
Snail-M-E	0.306453049
Src-M-V	0.303608672
Src_pY416-R-C	-0.181689995
Src_pY527-R-V	0.153246296
STAT3_pY705-R-V	0.165840514
STAT5-alpha-R-V	0.803527368
Stathmin-R-V	-0.1666484
Syk-M-V	0.694109086
TAZ-R-V	-0.0958646630000001
TIGAR-R-V	0.134703794
Transglutaminase-M-V	-0.408378451
TFRC-R-V	0.401822099
TSC1-R-C	0.388222608
TTF1-R-V	0.022230439
Tuberin-R-E	0.43775176
Tuberin_pT1462-R-V	-0.175502969
VEGFR2-R-V	-0.100387677
EPPK1-M-E	0.514174083
XBP1-G-C	-0.067398176
XRCC1-R-E	-0.204152759
YAP-R-E	-0.078928435
YAP_pS127-R-E	-0.325537309
YB-1-R-V	0.080490526
YB-1_pS102-R-V	0.0755527119999999
JAB1-M-C	0.0100829599999998
PARP1-R-V	-0.487012071
A-Raf-R-V	0.284818793
ARID1A-R-C	0.0754494549999999
B-Raf_pS445-R-V	-0.0920465610000001
Bcl2A1-R-V	-0.107485538
BRD4-R-V	0.360224322
c-Abl-R-V	-0.049895267
Caspase-3-R-C	-0.0408656240000001
CD26-R-V	-0.0103879190000001
Chk1_pS296-R-V	-0.200296028
COG3-R-V	0.145575897
DUSP4-R-V	-0.165691824
ERCC5-R-C	-0.352909844
IGF1R_pY1135_Y1136-R-V	-0.121936913
IRF-1-R-C	0.309219587
Jak2-R-V	0.26635105
p16_INK4a-R-V	0.259855282
SHP-2_pY542-R-C	0.211151403
CDK1_pY15-R-C	-0.309872718
