Sample REF	D4F30F80-47CD-44E7-A1C9-419484388AF4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.285847598
14-3-3_epsilon-M-C	-0.05979134
14-3-3_zeta-R-V	-0.0474781460000001
4E-BP1-R-V	0.340700817
4E-BP1_pS65-R-V	-0.06797525
4E-BP1_pT37_T46-R-V	0.384288412
4E-BP1_pT70-R-V	0.193074281
53BP1-R-E	0.042046296
A-Raf_pS299-R-C	0.058048361
ACC_pS79-R-V	0.376677785
ACC1-R-E	0.293270819
Acetyl-a-Tubulin-Lys40-R-C	-1.3944055
ACVRL1-R-C	0.030569124
ADAR1-M-V	0.357875448
Akt-R-V	0.0176993790000001
Akt_pS473-R-V	-0.0315260570000001
Akt_pT308-R-V	-0.130436657
alpha-Catenin-M-V	0.0844296370000001
AMPK_alpha-R-C	-0.253362101
AMPK_pT172-R-V	0.0662004799999999
Annexin-1-M-E	0.024319563
Annexin_VII-M-V	-0.150245564
AR-R-V	-0.103708541
DIRAS3-M-E	-0.021787896
ASNS-R-V	0.57141254
ATM-R-E	-0.325215732
B-Raf-M-C	0.020922484
Bad_pS112-R-V	0.01308337
Bak-R-C	-0.0922748859999999
Bap1-c-4-M-E	0.219681457
Bax-R-V	-0.0759226060000001
Bcl-2-M-V	-0.352464736
Bcl-xL-R-V	-0.204913028
Beclin-G-C	-0.01243652
beta-Catenin-R-V	0.269436724
Bid-R-C	-0.096914349
Bim-R-V	0.307723492
BRCA2-R-C	-0.0481518800000001
c-Jun_pS73-R-V	0.071825446
c-Kit-R-V	-0.065987857
c-Met-M-E	-0.0165246270000002
c-Met_pY1235-R-V	0.0129864479999999
c-Myc-R-C	0.067274064
C-Raf-R-V	-0.117650257
C-Raf_pS338-R-V	-0.129458627
Caspase-7_cleavedD198-R-C	-0.115772558
Caspase-8-M-E	-0.122473493
Caveolin-1-R-V	-0.530319026
CD20-R-C	-0.063976787
CD31-M-V	0.063464166
CD49b-M-V	0.462536242
CDK1-R-V	0.261542141
Chk1-M-C	0.141767743
Chk1_pS345-R-C	0.0186755489999999
Chk2-M-E	0.343979443
Chk2_pT68-R-C	-0.0550224
cIAP-R-V	-0.244800998
Claudin-7-R-V	1.375175345
Collagen_VI-R-V	-0.193519302
Cyclin_B1-R-V	0.5358324
Cyclin_D1-R-V	-0.423687252
Cyclin_E1-M-V	0.00993863499999981
Cyclin_E2-R-C	0.028001951
DJ-1-R-E	-0.307381496
Dvl3-R-V	0.212117694
E-Cadherin-R-V	0.121337844
eEF2-R-C	-0.035093392
eEF2K-R-V	0.562370485
EGFR-R-V	0.072187785
EGFR_pY1068-R-C	3.014893145
EGFR_pY1173-R-V	0.064182296
eIF4E-R-V	0.255566095
eIF4G-R-C	0.447079251
ER-alpha-R-V	0.244315162
ER-alpha_pS118-R-V	-0.073278266
ERCC1-M-V	-0.00295447699999996
ERK2-R-E	-0.151693107
ETS-1-R-V	-0.168142337
FASN-R-V	0.149555841
Fibronectin-R-V	-0.502378775
FoxM1-R-V	0.580869449
FOXO3a-R-C	0.0881334009999998
FOXO3a_pS318_S321-R-C	-0.226425994
G6PD-M-V	-0.0168114180000002
GAB2-R-V	-0.243376984
GAPDH-M-C	-0.488299266
GATA3-M-V	0.207051741
GSK3-alpha-beta-M-V	-0.131847707
GSK3-alpha-beta_pS21_S9-R-V	0.048400916
GSK3_pS9-R-V	0.290983085
HER2-M-V	3.704285084
HER2_pY1248-R-C	3.801955112
HER3-R-V	0.326925979
HER3_pY1289-R-C	0.054424722
Heregulin-R-V	-0.070118979
HSP70-R-C	-0.061426292
IGFBP2-R-V	-0.116055345
INPP4B-R-V	0.736854818
IRS1-R-V	-0.236183711
JNK_pT183_pY185-R-V	0.010114184
JNK2-R-C	-0.365199114
Ku80-R-C	-0.194542786
Lck-R-V	-0.29173859
LKB1-M-E	-0.122989213
MAPK_pT202_Y204-R-V	0.278684738
MEK1-R-V	0.40631734
MEK1_pS217_S221-R-V	-0.004887645
MIG-6-M-V	-0.030794516
Mre11-R-C	-0.070722869
MSH2-M-V	0.30473595
MSH6-R-C	0.134041585
mTOR-R-V	-0.461000013
mTOR_pS2448-R-C	-0.107314749
MYH11-R-V	-0.625748079
Myosin-IIa_pS1943-R-V	-0.165660892
N-Cadherin-R-V	-0.168435153
N-Ras-M-V	-0.019520324
NDRG1_pT346-R-V	0.239084684
NF-kB-p65_pS536-R-C	0.748035822
NF2-R-C	0.0256847109999999
Notch1-R-V	0.33486108
P-Cadherin-R-C	-0.0719348970000001
p21-R-V	-2.044527438
p27-R-V	-0.183762271
p27_pT157-R-C	-0.079287623
p27_pT198-R-V	0.056865921
p38_MAPK-R-V	-0.069569381
p38_pT180_Y182-R-V	0.398824736
p53-R-E	0.115226531
