Sample REF	D61E568A-FB64-4C66-A46D-B835AB2B7F46
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0132497049999999
14-3-3_epsilon-M-C	0.0177247530000001
14-3-3_zeta-R-V	-0.125516421
4E-BP1-R-V	0.0489170930000001
4E-BP1_pS65-R-V	0.608325946
4E-BP1_pT37_T46-R-V	0.777047137
4E-BP1_pT70-R-V	0.271284635
53BP1-R-E	-0.121729024
A-Raf_pS299-R-C	-0.0408439429999999
ACC_pS79-R-V	-0.257934575
ACC1-R-E	-0.013010353
Acetyl-a-Tubulin-Lys40-R-C	0.325088458
ACVRL1-R-C	0.076987702
ADAR1-M-V	0.026713945
Akt-R-V	0.25603648
Akt_pS473-R-V	0.395210578
Akt_pT308-R-V	0.101657398
alpha-Catenin-M-V	-0.212650587
AMPK_alpha-R-C	0.127759533
AMPK_pT172-R-V	-0.517497356
Annexin-1-M-E	0.314264086
Annexin_VII-M-V	-0.0245834340000001
AR-R-V	-0.220530613
DIRAS3-M-E	-0.147475721
ASNS-R-V	-0.112477262
ATM-R-E	0.185748958
B-Raf-M-C	-0.215658532
Bad_pS112-R-V	0.115768126
Bak-R-C	-0.0214201359999998
Bap1-c-4-M-E	0.179448058
Bax-R-V	0.157325794
Bcl-2-M-V	-0.38811086
Bcl-xL-R-V	0.211849617
Beclin-G-C	0.0908039110000001
beta-Catenin-R-V	-0.396759266
Bid-R-C	-0.065227627
Bim-R-V	0.735875023
BRCA2-R-C	-0.0317220850000001
c-Jun_pS73-R-V	0.660758871
c-Kit-R-V	-0.257254391
c-Met-M-E	0.0300350359999998
c-Met_pY1235-R-V	-0.04487323
c-Myc-R-C	0.291389579
C-Raf-R-V	-0.089044765
C-Raf_pS338-R-V	-0.031582164
Caspase-7_cleavedD198-R-C	1.928420256
Caspase-8-M-E	0.0798296930000001
Caveolin-1-R-V	-0.420245494
CD20-R-C	-0.169127091
CD31-M-V	0.085470676
CD49b-M-V	0.057834233
CDK1-R-V	0.282135243
Chk1-M-C	-0.179809766
Chk1_pS345-R-C	0.018236752
Chk2-M-E	0.18599375
Chk2_pT68-R-C	-0.0597443939999999
cIAP-R-V	2.039998582
Claudin-7-R-V	-0.798960792
Collagen_VI-R-V	-0.184052242
Cyclin_B1-R-V	0.662138805
Cyclin_D1-R-V	0.0672381670000001
Cyclin_E1-M-V	0.300311879
Cyclin_E2-R-C	0.0619831770000001
