Sample REF	D724F57C-3058-4E1F-9B5F-F899F7388CF2
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.078492724
14-3-3_epsilon-M-C	-0.033800908
14-3-3_zeta-R-V	-0.225599981
4E-BP1-R-V	0.100238092
4E-BP1_pS65-R-V	-0.043275114
4E-BP1_pT37_T46-R-V	0.607153663
4E-BP1_pT70-R-V	0.022840687
53BP1-R-E	0.388435761
A-Raf_pS299-R-C	0.042519319
ACC_pS79-R-V	-0.236395369
ACC1-R-E	-0.305149458
Acetyl-a-Tubulin-Lys40-R-C	0.708051741
ACVRL1-R-C	0.051815515
ADAR1-M-V	0.0102688000000001
Akt-R-V	0.265925051
Akt_pS473-R-V	1.672086679
Akt_pT308-R-V	1.156671669
alpha-Catenin-M-V	0.00125343299999991
AMPK_alpha-R-C	-0.0369344939999999
AMPK_pT172-R-V	-0.178154111
Annexin-1-M-E	0.058597471
Annexin_VII-M-V	-0.126480865
AR-R-V	-0.073194553
DIRAS3-M-E	0.130558719
ASNS-R-V	0.00210931599999997
ATM-R-E	0.109450505
B-Raf-M-C	-0.026915065
Bad_pS112-R-V	0.138375168
Bak-R-C	0.297157147
Bap1-c-4-M-E	-0.262424191
Bax-R-V	-0.233309123
Bcl-2-M-V	-0.422690886
Bcl-xL-R-V	-0.193751505
Beclin-G-C	0.342778319
beta-Catenin-R-V	0.432186317
Bid-R-C	0.062331551
Bim-R-V	-0.124077588
BRCA2-R-C	0.054012045
c-Jun_pS73-R-V	0.24381899
c-Kit-R-V	-0.0446546659999999
c-Met-M-E	0.000534176999999914
c-Met_pY1235-R-V	-0.028471683
c-Myc-R-C	0.168240093
C-Raf-R-V	-0.185503447
C-Raf_pS338-R-V	0.049232012
Caspase-7_cleavedD198-R-C	-0.359643271
Caspase-8-M-E	0.000376130000000141
Caveolin-1-R-V	0.544498199
CD20-R-C	-0.083742007
CD31-M-V	-0.190757475
CD49b-M-V	0.204780601
CDK1-R-V	-0.0780104979999999
Chk1-M-C	-0.32452061
Chk1_pS345-R-C	0.0248074909999999
Chk2-M-E	-0.313463976
Chk2_pT68-R-C	-0.0345570989999999
cIAP-R-V	-0.24011961
Claudin-7-R-V	-0.184605348
Collagen_VI-R-V	-0.052304274
Cyclin_B1-R-V	-0.265058738
