Sample REF	D8E06BD2-30E2-48A5-B1CD-4F056E6CB193
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.150173906
14-3-3_epsilon-M-C	0.0560266979999999
14-3-3_zeta-R-V	0.671577501
4E-BP1-R-V	0.181716699
4E-BP1_pS65-R-V	-0.507710417
4E-BP1_pT37_T46-R-V	-1.211670919
4E-BP1_pT70-R-V	-0.622389758
53BP1-R-E	-1.86954344
A-Raf_pS299-R-C	-0.170815078
ACC_pS79-R-V	-0.244982967
ACC1-R-E	0.193918134
Acetyl-a-Tubulin-Lys40-R-C	0.220650737
ACVRL1-R-C	-0.0085025299999999
ADAR1-M-V	-0.0428221479999999
Akt-R-V	0.141499801
Akt_pS473-R-V	-0.98671555
Akt_pT308-R-V	-0.525143227
alpha-Catenin-M-V	-0.0892397789999999
AMPK_alpha-R-C	0.138449237
AMPK_pT172-R-V	0.357132835
Annexin-1-M-E	0.743632237
Annexin_VII-M-V	0.054376464
AR-R-V	0.00338069200000002
DIRAS3-M-E	0.146029039
ASNS-R-V	-0.178829461
ATM-R-E	0.204580409
B-Raf-M-C	-1.823047382
Bad_pS112-R-V	-0.609886547
Bak-R-C	0.0522149869999999
Bap1-c-4-M-E	-0.436650569
Bax-R-V	0.068263127
Bcl-2-M-V	-0.119863841
Bcl-xL-R-V	0.139103855
Beclin-G-C	-0.122825179
beta-Catenin-R-V	-0.388915438
Bid-R-C	0.0988525600000001
Bim-R-V	0.3941231
BRCA2-R-C	0.142448828
c-Jun_pS73-R-V	-0.822799161
c-Kit-R-V	-0.283095338
c-Met-M-E	-0.027053566
c-Met_pY1235-R-V	0.104094468
c-Myc-R-C	0.314792619
C-Raf-R-V	-0.204363338
C-Raf_pS338-R-V	0.067840689
Caspase-7_cleavedD198-R-C	-0.501204792
Caspase-8-M-E	-0.211099848
Caveolin-1-R-V	-0.770251542
CD20-R-C	0.168922603
CD31-M-V	0.109124395
CD49b-M-V	0.364917857
CDK1-R-V	0.0754879429999999
Chk1-M-C	0.15475819
Chk1_pS345-R-C	-0.19292031
Chk2-M-E	0.333831377
Chk2_pT68-R-C	0.110040862
cIAP-R-V	-0.0141249729999999
Claudin-7-R-V	0.344708701
Collagen_VI-R-V	0.165942739
Cyclin_B1-R-V	0.256233886
Cyclin_D1-R-V	-0.31202421
Cyclin_E1-M-V	0.297666761
Cyclin_E2-R-C	0.063032742
DJ-1-R-E	0.026641397
Dvl3-R-V	-0.033312054
E-Cadherin-R-V	0.273719389
eEF2-R-C	0.697514568
eEF2K-R-V	-1.114231319
EGFR-R-V	-0.094655355
EGFR_pY1068-R-C	-0.507507873
EGFR_pY1173-R-V	0.087495697
eIF4E-R-V	-0.217720583
eIF4G-R-C	-1.674908549
ER-alpha-R-V	-0.956730104
ER-alpha_pS118-R-V	0.0535695430000001
ERCC1-M-V	-0.416209385
ERK2-R-E	0.294156251
ETS-1-R-V	0.0690381150000001
FASN-R-V	0.730544432
Fibronectin-R-V	0.415767842
FoxM1-R-V	0.410893699
FOXO3a-R-C	0.00397152199999984
FOXO3a_pS318_S321-R-C	-0.300035008
G6PD-M-V	0.159089819
GAB2-R-V	-0.578630918
GAPDH-M-C	0.305744253
GATA3-M-V	0.40776643
GSK3-alpha-beta-M-V	0.472648374
GSK3-alpha-beta_pS21_S9-R-V	-0.949674227
GSK3_pS9-R-V	-0.838078897
HER2-M-V	-1.057870741
HER2_pY1248-R-C	-0.498865045
HER3-R-V	-0.294929369
HER3_pY1289-R-C	0.255280011
Heregulin-R-V	0.775763132
HSP70-R-C	-0.318817422
IGFBP2-R-V	-0.417105597
INPP4B-R-V	-0.015192938
IRS1-R-V	-0.0399889259999999
JNK_pT183_pY185-R-V	-0.139868163
JNK2-R-C	-1.601416629
Ku80-R-C	-1.02691609
Lck-R-V	0.406689624
LKB1-M-E	0.0932481390000001
MAPK_pT202_Y204-R-V	-0.823554493
MEK1-R-V	-0.4284066
MEK1_pS217_S221-R-V	0.01003242
MIG-6-M-V	0.207939026
Mre11-R-C	0.087894009
MSH2-M-V	0.0439572189999999
MSH6-R-C	-0.09881859
mTOR-R-V	0.0345656000000001
mTOR_pS2448-R-C	-0.466267873
MYH11-R-V	0.338445684
Myosin-IIa_pS1943-R-V	0.061191385
N-Cadherin-R-V	-0.0262329359999999
N-Ras-M-V	0.212083437
NDRG1_pT346-R-V	-1.736456738
NF-kB-p65_pS536-R-C	-0.921968794
NF2-R-C	-0.044643409
Notch1-R-V	-0.351956407
P-Cadherin-R-C	0.111406374
p21-R-V	-1.582128135
p27-R-V	-0.172071688
p27_pT157-R-C	0.079354928
p27_pT198-R-V	0.07405047
p38_MAPK-R-V	0.039694454
p38_pT180_Y182-R-V	-0.664348233
p53-R-E	0.0517158100000004
p62-LCK-ligand-M-C	-0.312772144
p70S6K-R-V	-1.329770631
p70S6K_pT389-R-V	-0.204621837
p90RSK-R-C	0.01523345
p90RSK_pT359_S363-R-C	-0.518982774
PAI-1-M-E	0.619015731
PARP_cleaved-M-E	0.143254056
Paxillin-R-C	-1.788740005
PCNA-M-C	0.01261647
PDCD4-R-C	-0.610522565
PDK1-R-V	-0.089706713
PDK1_pS241-R-V	-0.607752644
PEA15-R-V	0.253431711
PEA15_pS116-R-V	-0.339251705
PI3K-p110-alpha-R-C	0.209819408
PI3K-p85-R-V	0.184653654
PKC-alpha-M-V	-0.017635906
PKC-alpha_pS657-R-C	0.101888021
PKC-delta_pS664-R-V	0.027205455
PKC-pan_BetaII_pS660-R-V	-0.458615894
PR-R-V	0.058304414
PRAS40_pT246-R-V	-0.260223671
PRDX1-R-V	0.539494538
PREX1-R-E	-0.00654429700000003
PTEN-R-V	-0.391637283
Rab11-R-E	0.26490161
Rab25-R-V	1.078885069
Rad50-M-V	-0.04518892
Rad51-R-V	-0.0845740340000001
Raptor-R-V	0.11353778
Rb-M-E	-0.024452436
Rb_pS807_S811-R-V	-0.719793423
RBM15-R-V	-0.117223534
Rictor-R-C	-0.168374584
Rictor_pT1135-R-V	0.148478454
S6-R-E	0.159896797
S6_pS235_S236-R-V	-1.184076139
S6_pS240_S244-R-V	-0.654642429
SCD-M-V	0.064386423
SETD2-R-E	0.397958641
SF2-M-V	-1.018555539
Shc_pY317-R-E	-0.189000212
Smac-M-E	0.0238637370000001
Smad1-R-V	-0.09883905
Smad3-R-V	0.127049439
Smad4-M-V	-0.164491956
Snail-M-E	-0.131872339
Src-M-V	0.424059505
Src_pY416-R-C	-0.903995087
Src_pY527-R-V	-0.879167511
STAT3_pY705-R-V	0.250620934
STAT5-alpha-R-V	-0.742100621
Stathmin-R-V	-0.031550049
Syk-M-V	0.0743606590000001
TAZ-R-V	0.085775812
TIGAR-R-V	0.012799409
Transglutaminase-M-V	0.395698544
TFRC-R-V	1.399069425
TSC1-R-C	0.183599447
TTF1-R-V	0.125166009
Tuberin-R-E	-0.163062923
Tuberin_pT1462-R-V	-0.19921692
VEGFR2-R-V	0.441134433
EPPK1-M-E	1.21807762
XBP1-G-C	-0.480375491
XRCC1-R-E	-0.0445924919999999
YAP-R-E	-0.106616337
YAP_pS127-R-E	-1.210540801
YB-1-R-V	-0.118243564
YB-1_pS102-R-V	-0.063164829
JAB1-M-C	0.0907899659999998
PARP1-R-V	0.788349923
A-Raf-R-V	0.0359861
ARID1A-R-C	-1.609611005
B-Raf_pS445-R-V	-0.163574253
Bcl2A1-R-V	0.0789331130000001
BRD4-R-V	-0.632893042
c-Abl-R-V	0.12627379
Caspase-3-R-C	0.123483894
CD26-R-V	0
Chk1_pS296-R-V	0.112987534
COG3-R-V	-0.704237293
DUSP4-R-V	0.482885061
ERCC5-R-C	-0.694712347
IGF1R_pY1135_Y1136-R-V	0.0628891990000001
IRF-1-R-C	-0.5842708
Jak2-R-V	0.191779823
p16_INK4a-R-V	0.664540932
SHP-2_pY542-R-C	-0.430722194
CDK1_pY15-R-C	-0.220645774
