Sample REF	D9039497-FD01-4832-966C-FCE8F17A7971
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0991935730000001
14-3-3_epsilon-M-C	0.128256818
14-3-3_zeta-R-V	0.265883828
4E-BP1-R-V	-0.271438823
4E-BP1_pS65-R-V	0.350797869
4E-BP1_pT37_T46-R-V	-1.533695037
4E-BP1_pT70-R-V	-0.127990822
53BP1-R-E	-0.880364619
A-Raf_pS299-R-C	-0.168393591
ACC_pS79-R-V	0.0721156610000001
ACC1-R-E	0.282916381
Acetyl-a-Tubulin-Lys40-R-C	0.898438812
ACVRL1-R-C	0.163353477
ADAR1-M-V	-0.00324808400000004
Akt-R-V	-0.246085966
Akt_pS473-R-V	-1.132370745
Akt_pT308-R-V	-0.564461016
alpha-Catenin-M-V	-0.239934194
AMPK_alpha-R-C	-0.0619576089999999
AMPK_pT172-R-V	-0.141585001
Annexin-1-M-E	1.222181102
Annexin_VII-M-V	0.120681013
AR-R-V	-0.189305955
DIRAS3-M-E	0.042512396
ASNS-R-V	0.199109668
ATM-R-E	-0.0257194039999999
B-Raf-M-C	-0.202153357
Bad_pS112-R-V	-0.549329513
Bak-R-C	0.203548069
Bap1-c-4-M-E	-0.0617449370000001
Bax-R-V	-0.00265016699999993
Bcl-2-M-V	-0.516550566
Bcl-xL-R-V	-0.0633201559999999
Beclin-G-C	0.046998324
beta-Catenin-R-V	-0.506995481
Bid-R-C	0.0176455400000001
Bim-R-V	0.0467098830000001
BRCA2-R-C	0.0642991890000001
c-Jun_pS73-R-V	-0.527684485
c-Kit-R-V	-0.066799291
c-Met-M-E	0.176460388
c-Met_pY1235-R-V	0.116595074
c-Myc-R-C	0.0764640020000001
C-Raf-R-V	0.127095179
C-Raf_pS338-R-V	0.216973262
Caspase-7_cleavedD198-R-C	1.55592994
Caspase-8-M-E	0.0995805920000003
Caveolin-1-R-V	1.35035187
CD20-R-C	0.0404023580000001
CD31-M-V	0.159024681
CD49b-M-V	0.504878875
CDK1-R-V	-0.13026871
Chk1-M-C	1.181693871
Chk1_pS345-R-C	-0.353078221
Chk2-M-E	-0.222465603
Chk2_pT68-R-C	0.042584651
cIAP-R-V	0.0340541320000001
Claudin-7-R-V	-0.8172389
Collagen_VI-R-V	0.10164209
Cyclin_B1-R-V	0.260899002
Cyclin_D1-R-V	-0.0570776299999999
Cyclin_E1-M-V	0.421559393
Cyclin_E2-R-C	0.0528541440000002
DJ-1-R-E	0.099414725
Dvl3-R-V	0.0421484580000001
E-Cadherin-R-V	-0.989804982
eEF2-R-C	0.486769791
eEF2K-R-V	-0.547007325
EGFR-R-V	-0.128725872
EGFR_pY1068-R-C	-0.445509056
EGFR_pY1173-R-V	0.013159356
eIF4E-R-V	0.242558515
eIF4G-R-C	-0.623143105
ER-alpha-R-V	-1.121254587
ER-alpha_pS118-R-V	-0.146463736
ERCC1-M-V	-0.0926784739999998
ERK2-R-E	0.291177144
ETS-1-R-V	0
FASN-R-V	0.861953472
Fibronectin-R-V	-0.23866868
