Sample REF	D909165F-5AF8-4C45-8925-C8BA473B43F4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0660639540000001
14-3-3_epsilon-M-C	-0.00371611900000002
14-3-3_zeta-R-V	-0.417197049
4E-BP1-R-V	-0.228358995
4E-BP1_pS65-R-V	-0.306830387
4E-BP1_pT37_T46-R-V	-1.042047136
4E-BP1_pT70-R-V	-0.227012807
53BP1-R-E	0.5997453
A-Raf_pS299-R-C	-0.155087664
ACC_pS79-R-V	0.076819906
ACC1-R-E	0.070542428
Acetyl-a-Tubulin-Lys40-R-C	0.956570962
ACVRL1-R-C	0.0270763199999999
ADAR1-M-V	-0.049810173
Akt-R-V	0.107252934
Akt_pS473-R-V	-0.775423069
Akt_pT308-R-V	-0.440821444
alpha-Catenin-M-V	0.398074634
AMPK_alpha-R-C	0.532188954
AMPK_pT172-R-V	0.779719049
Annexin-1-M-E	0.568347529
Annexin_VII-M-V	0.257159045
AR-R-V	0.055493307
DIRAS3-M-E	0.176986832
ASNS-R-V	0.139934613
ATM-R-E	-0.096217492
B-Raf-M-C	0.134479307
Bad_pS112-R-V	-0.527037594
Bak-R-C	0.133580321
Bap1-c-4-M-E	0.168661819
Bax-R-V	0.165861232
Bcl-2-M-V	-0.326413714
Bcl-xL-R-V	0.245564347
Beclin-G-C	0.471590562
beta-Catenin-R-V	0.898175074
Bid-R-C	-0.059867636
Bim-R-V	-0.459924206
BRCA2-R-C	0.052004854
c-Jun_pS73-R-V	-0.509858738
c-Kit-R-V	0.131961112
c-Met-M-E	0.412699169
c-Met_pY1235-R-V	0.027836427
c-Myc-R-C	-0.533819054
C-Raf-R-V	-0.015961296
C-Raf_pS338-R-V	-0.143307062
Caspase-7_cleavedD198-R-C	-0.600167651
Caspase-8-M-E	0.183078074
Caveolin-1-R-V	-0.031239835
CD20-R-C	0.026087034
CD31-M-V	0.18045722
CD49b-M-V	-0.102193054
CDK1-R-V	-0.017172132
Chk1-M-C	-0.153376448
Chk1_pS345-R-C	-0.159220287
Chk2-M-E	0.0124539579999998
Chk2_pT68-R-C	-0.0693188220000001
cIAP-R-V	-0.104919873
Claudin-7-R-V	0.942122256
Collagen_VI-R-V	-0.323159615
Cyclin_B1-R-V	-0.090598019
Cyclin_D1-R-V	-0.037388168
Cyclin_E1-M-V	-0.0791740500000002
Cyclin_E2-R-C	0.019292767
DJ-1-R-E	0.00381143499999992
Dvl3-R-V	0.431723392
E-Cadherin-R-V	0.616924822
eEF2-R-C	-0.102755356
eEF2K-R-V	0.153278478
EGFR-R-V	-0.314407953
EGFR_pY1068-R-C	-0.297938444
EGFR_pY1173-R-V	-0.029611119
eIF4E-R-V	-0.0683049570000001
eIF4G-R-C	0.10508733
ER-alpha-R-V	1.046435166
ER-alpha_pS118-R-V	0.105195938
ERCC1-M-V	0.0939606120000001
ERK2-R-E	0.122223478
ETS-1-R-V	0.025188887
FASN-R-V	-0.048411259
Fibronectin-R-V	0.396208073
FoxM1-R-V	-0.210680994
FOXO3a-R-C	0.492999053
FOXO3a_pS318_S321-R-C	-0.122502939
G6PD-M-V	-0.0443998180000003
GAB2-R-V	0.239688972
GAPDH-M-C	-0.467668023
GATA3-M-V	0.0240763460000002
GSK3-alpha-beta-M-V	-0.150111027
GSK3-alpha-beta_pS21_S9-R-V	-0.775002273
GSK3_pS9-R-V	-1.140842665
HER2-M-V	0.425499785
HER2_pY1248-R-C	0.165904668
HER3-R-V	0.099800146
HER3_pY1289-R-C	-0.107968527
Heregulin-R-V	0.498624765
HSP70-R-C	-0.046277735
IGFBP2-R-V	1.707475129
INPP4B-R-V	0.722162676
IRS1-R-V	0.108090459
JNK_pT183_pY185-R-V	-0.170672423
JNK2-R-C	0.200798969
Ku80-R-C	0.17343248
Lck-R-V	-0.0553550140000001
LKB1-M-E	0.053125254
MAPK_pT202_Y204-R-V	-0.543282743
MEK1-R-V	-0.180984517
MEK1_pS217_S221-R-V	-0.21345539
MIG-6-M-V	0.040990293
Mre11-R-C	0.032971974
MSH2-M-V	0.597558892
MSH6-R-C	0.533576614
mTOR-R-V	-0.0244196679999999
mTOR_pS2448-R-C	-0.282791641
MYH11-R-V	0.989622646
Myosin-IIa_pS1943-R-V	0.201179309
N-Cadherin-R-V	0.045497076
N-Ras-M-V	0.0289711739999999
NDRG1_pT346-R-V	-2.343189585
NF-kB-p65_pS536-R-C	-0.675359426
NF2-R-C	0.089439307
Notch1-R-V	-0.296847323
P-Cadherin-R-C	0.218086957
p21-R-V	-0.20249046
p27-R-V	0.074115909
p27_pT157-R-C	-0.129711943
p27_pT198-R-V	-0.042915561
p38_MAPK-R-V	-0.15104806
p38_pT180_Y182-R-V	-1.437206771
p53-R-E	0.209182818
p62-LCK-ligand-M-C	0.482202442
p70S6K-R-V	-0.18190904
p70S6K_pT389-R-V	0.00558178499999995
p90RSK-R-C	0.15580887
p90RSK_pT359_S363-R-C	-0.263723274
