Sample REF	D91C5622-88A7-4D01-ACA5-14A0123D0ADF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.558572698
14-3-3_epsilon-M-C	0.0240874709999997
14-3-3_zeta-R-V	-0.549817573
4E-BP1-R-V	-1.371098771
4E-BP1_pS65-R-V	0.0819866719999999
4E-BP1_pT37_T46-R-V	-0.0874437940000001
4E-BP1_pT70-R-V	-0.00165208800000005
53BP1-R-E	-0.984200279
A-Raf_pS299-R-C	-0.111716186
ACC_pS79-R-V	-1.169537427
ACC1-R-E	-1.478091657
Acetyl-a-Tubulin-Lys40-R-C	0.013139033
ACVRL1-R-C	0.616583544
ADAR1-M-V	0.0787221319999999
Akt-R-V	-0.982136093
Akt_pS473-R-V	0.368425242
Akt_pT308-R-V	0.303566421
alpha-Catenin-M-V	0.0285639219999997
AMPK_alpha-R-C	-0.145527345
AMPK_pT172-R-V	-0.573469724
Annexin-1-M-E	-0.688196253
Annexin_VII-M-V	0.0987027229999998
AR-R-V	0.0404020569999999
DIRAS3-M-E	0.411263436
ASNS-R-V	-0.811544514
ATM-R-E	-0.614088061
B-Raf-M-C	-1.627544947
Bad_pS112-R-V	-0.600687421
Bak-R-C	0.170286797
Bap1-c-4-M-E	-0.338580877
Bax-R-V	-0.7459788
Bcl-2-M-V	0.519656592
Bcl-xL-R-V	0.140021843
Beclin-G-C	0.396310675
beta-Catenin-R-V	-2.031827313
Bid-R-C	0.450585782
Bim-R-V	-1.088213021
BRCA2-R-C	0.493167986
c-Jun_pS73-R-V	0.302647124
c-Kit-R-V	0.217344037
c-Met-M-E	0.196974874
c-Met_pY1235-R-V	0.407316251
c-Myc-R-C	1.234342581
C-Raf-R-V	-0.520113646
C-Raf_pS338-R-V	0.223474037
Caspase-7_cleavedD198-R-C	-0.320191045
Caspase-8-M-E	-0.128214605
Caveolin-1-R-V	2.158914459
CD20-R-C	0.23645554
CD31-M-V	0.319939317
CD49b-M-V	-0.252286962
CDK1-R-V	0.470556638
Chk1-M-C	-0.183790242
Chk1_pS345-R-C	0.132208816
Chk2-M-E	-0.341160286
Chk2_pT68-R-C	0.458782567
cIAP-R-V	-0.138336487
Claudin-7-R-V	-1.623706285
Collagen_VI-R-V	1.356829724
Cyclin_B1-R-V	-1.717530751
Cyclin_D1-R-V	0.489563729
Cyclin_E1-M-V	0.033893482
Cyclin_E2-R-C	-0.2192473
DJ-1-R-E	0.209995278
Dvl3-R-V	-0.769925102
E-Cadherin-R-V	-3.177446425
eEF2-R-C	-0.870234028
eEF2K-R-V	-0.336894361
EGFR-R-V	-0.0171362920000001
EGFR_pY1068-R-C	0.322964555
EGFR_pY1173-R-V	0.403798949
eIF4E-R-V	-0.509905615
eIF4G-R-C	-0.661186096
ER-alpha-R-V	0.31094727
ER-alpha_pS118-R-V	-0.142939197
ERCC1-M-V	0.207778212
ERK2-R-E	-0.159795583
ETS-1-R-V	0.341817731
FASN-R-V	-1.123716982
Fibronectin-R-V	0.860458673
FoxM1-R-V	0.420411628
FOXO3a-R-C	0.460925176
FOXO3a_pS318_S321-R-C	0.225477586
G6PD-M-V	0.374019881
GAB2-R-V	-0.0402647180000001
GAPDH-M-C	-0.705614925
GATA3-M-V	0.28140323
GSK3-alpha-beta-M-V	-0.565169367
GSK3-alpha-beta_pS21_S9-R-V	-0.83790887
GSK3_pS9-R-V	-0.691387065
HER2-M-V	0.0333670409999999
HER2_pY1248-R-C	0
HER3-R-V	0.221902564
HER3_pY1289-R-C	0.028253252
Heregulin-R-V	0.953690373
