Sample REF	DA2D285B-32D4-475C-8195-DCEF5563578C
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.161084451
14-3-3_epsilon-M-C	-0.068776842
14-3-3_zeta-R-V	-0.371303518
4E-BP1-R-V	0.056305262
4E-BP1_pS65-R-V	-0.0298702040000001
4E-BP1_pT37_T46-R-V	0.259651788
4E-BP1_pT70-R-V	0.035286171
53BP1-R-E	-0.119123549
A-Raf_pS299-R-C	0.428930507
ACC_pS79-R-V	0.515412123
ACC1-R-E	0.117518212
Acetyl-a-Tubulin-Lys40-R-C	0.13439279
ACVRL1-R-C	-0.192837116
ADAR1-M-V	-0.0367511290000001
Akt-R-V	0.163240344
Akt_pS473-R-V	0.254254634
Akt_pT308-R-V	0.0641354789999999
alpha-Catenin-M-V	0.278301781
AMPK_alpha-R-C	-0.183211798
AMPK_pT172-R-V	-0.127495411
Annexin-1-M-E	0.281464211
Annexin_VII-M-V	0.0327291659999999
AR-R-V	0.026679104
DIRAS3-M-E	-0.196739396
ASNS-R-V	-0.605293178
ATM-R-E	0.259763679
B-Raf-M-C	0.13591222
Bad_pS112-R-V	0.563159582
Bak-R-C	-0.115552452
Bap1-c-4-M-E	-0.749099512
Bax-R-V	-0.0528201490000001
Bcl-2-M-V	0.0192808210000001
Bcl-xL-R-V	-0.172538417
Beclin-G-C	0.243602528
beta-Catenin-R-V	0.571708684
Bid-R-C	-0.249298495
Bim-R-V	-0.821048235
BRCA2-R-C	-0.10579476
c-Jun_pS73-R-V	0.0731366479999999
c-Kit-R-V	-0.0504547829999999
c-Met-M-E	0.227338454
c-Met_pY1235-R-V	-0.126985482
c-Myc-R-C	-0.346761022
C-Raf-R-V	-0.110957466
C-Raf_pS338-R-V	-0.112441533
Caspase-7_cleavedD198-R-C	-0.5265814
Caspase-8-M-E	-0.154284896
Caveolin-1-R-V	0.744005074
CD20-R-C	-0.052254385
CD31-M-V	0.078248897
CD49b-M-V	-0.032364368
CDK1-R-V	0.206638771
Chk1-M-C	0.577703965
Chk1_pS345-R-C	0.667388205
Chk2-M-E	0.223071116
Chk2_pT68-R-C	-0.204196537
cIAP-R-V	-0.102765472
Claudin-7-R-V	-0.461638802
Collagen_VI-R-V	-0.143427924
Cyclin_B1-R-V	0.246054068
Cyclin_D1-R-V	-0.2623044
Cyclin_E1-M-V	0.101211837
Cyclin_E2-R-C	0.0909800399999999
DJ-1-R-E	-0.278784142
Dvl3-R-V	0.029067318
E-Cadherin-R-V	0.848169823
eEF2-R-C	0.0434176359999999
eEF2K-R-V	0.539528188
EGFR-R-V	0.821416576
EGFR_pY1068-R-C	0.357297139
EGFR_pY1173-R-V	-0.144024575
eIF4E-R-V	-0.03743803
eIF4G-R-C	0.0902911149999998
ER-alpha-R-V	0.510145787
ER-alpha_pS118-R-V	0.056274539
ERCC1-M-V	0.209548065
ERK2-R-E	0.0369879329999999
ETS-1-R-V	-0.0951815020000001
FASN-R-V	0.181642053
Fibronectin-R-V	-0.0903930000000001
FoxM1-R-V	1.164036096
FOXO3a-R-C	0.0752224899999999
FOXO3a_pS318_S321-R-C	0.22251634
G6PD-M-V	-0.183493911
GAB2-R-V	0.380787383
GAPDH-M-C	-0.00396413900000003
GATA3-M-V	-0.177798091
GSK3-alpha-beta-M-V	-0.146226837
GSK3-alpha-beta_pS21_S9-R-V	0.288186778
GSK3_pS9-R-V	0.29748304
HER2-M-V	0.422827387
HER2_pY1248-R-C	0.219379648
HER3-R-V	0.354589443
HER3_pY1289-R-C	-0.146773819
Heregulin-R-V	-0.0787494630000001
HSP70-R-C	-0.416536888
IGFBP2-R-V	0.998538148
INPP4B-R-V	-0.223624108
IRS1-R-V	-0.194266466
JNK_pT183_pY185-R-V	-0.108623575
JNK2-R-C	0.05894974
Ku80-R-C	-0.0265528819999999
Lck-R-V	-0.240741331
LKB1-M-E	-0.130736548
MAPK_pT202_Y204-R-V	0.554350659
MEK1-R-V	-0.0163622710000001
MEK1_pS217_S221-R-V	-0.146423084
MIG-6-M-V	-0.0281413970000001
Mre11-R-C	-0.05781625
MSH2-M-V	0.32548403
MSH6-R-C	-0.00193029599999994
mTOR-R-V	0.0654333930000001
mTOR_pS2448-R-C	0.206793637
MYH11-R-V	1.015519076
Myosin-IIa_pS1943-R-V	-0.078089366
N-Cadherin-R-V	-0.119953059
N-Ras-M-V	-0.129665493
NDRG1_pT346-R-V	1.438574317
NF-kB-p65_pS536-R-C	0.597458972
NF2-R-C	0.0127717089999999
Notch1-R-V	0.558584826
P-Cadherin-R-C	0.0137164609999999
p21-R-V	0.100431792
p27-R-V	-0.077837626
p27_pT157-R-C	-0.122232571
p27_pT198-R-V	-0.026329479
p38_MAPK-R-V	-0.208547558
p38_pT180_Y182-R-V	-0.116485384
p53-R-E	0.0470266890000003
p62-LCK-ligand-M-C	0.108087376
p70S6K-R-V	0.542770702
p70S6K_pT389-R-V	0.095437185
p90RSK-R-C	-0.170588678
p90RSK_pT359_S363-R-C	0.365370429
PAI-1-M-E	-0.997920688
PARP_cleaved-M-E	0.130858708
Paxillin-R-C	-0.291065963
PCNA-M-C	-0.18925926
PDCD4-R-C	0.60274555
PDK1-R-V	0.0118490459999999
PDK1_pS241-R-V	0.061414184
PEA15-R-V	0.081458287
PEA15_pS116-R-V	0.102654863
PI3K-p110-alpha-R-C	-0.0781591020000001
PI3K-p85-R-V	0.045349026
PKC-alpha-M-V	0.3276993
PKC-alpha_pS657-R-C	0.0444718359999999
PKC-delta_pS664-R-V	0.114691963
PKC-pan_BetaII_pS660-R-V	0.368465592
PR-R-V	-0.065353564
PRAS40_pT246-R-V	-0.017314278
PRDX1-R-V	0.0136315239999999
PREX1-R-E	0.123279335
PTEN-R-V	0.400596998
Rab11-R-E	-0.089548159
Rab25-R-V	-0.0266934650000001
Rad50-M-V	0.0414528710000001
Rad51-R-V	-0.100657609
Raptor-R-V	-0.0262122260000001
Rb-M-E	-0.0306767480000002
Rb_pS807_S811-R-V	1.547069102
RBM15-R-V	0.211219663
Rictor-R-C	0.055457929
Rictor_pT1135-R-V	-0.0374872930000001
S6-R-E	-0.186218183
S6_pS235_S236-R-V	0.259685828
S6_pS240_S244-R-V	0.039839485
SCD-M-V	-0.011003666
SETD2-R-E	0.00364856300000016
SF2-M-V	0.49560668
Shc_pY317-R-E	0.136637082
Smac-M-E	-0.0414703360000001
Smad1-R-V	-0.09318484
Smad3-R-V	-0.156906985
Smad4-M-V	-0.0134584070000001
Snail-M-E	0.122430101
Src-M-V	-0.0187887370000001
Src_pY416-R-C	-0.234488247
Src_pY527-R-V	-0.179341105
STAT3_pY705-R-V	-0.036946654
STAT5-alpha-R-V	0.954845554
Stathmin-R-V	-0.30114044
Syk-M-V	0.977462359
TAZ-R-V	-0.26192618
TIGAR-R-V	0
Transglutaminase-M-V	-0.124440264
TFRC-R-V	0.182825084
TSC1-R-C	-0.0751055250000001
TTF1-R-V	-0.027354677
Tuberin-R-E	0.42480034
Tuberin_pT1462-R-V	0.147198348
VEGFR2-R-V	-0.257603477
EPPK1-M-E	0.055739024
XBP1-G-C	0.168600878
XRCC1-R-E	-0.0664644170000001
YAP-R-E	-0.187737758
YAP_pS127-R-E	-0.162739897
YB-1-R-V	-0.244434519
YB-1_pS102-R-V	0.344659195
JAB1-M-C	0.160186094
PARP1-R-V	-0.036688308
A-Raf-R-V	-0.121070659
ARID1A-R-C	0.0686582579999999
B-Raf_pS445-R-V	-0.017565854
Bcl2A1-R-V	-0.279508926
BRD4-R-V	-0.180409258
c-Abl-R-V	-0.218030969
Caspase-3-R-C	-0.208463475
CD26-R-V	-0.179916564
Chk1_pS296-R-V	-0.103053309
COG3-R-V	0.037476921
DUSP4-R-V	-0.187544755
ERCC5-R-C	0.28746882
IGF1R_pY1135_Y1136-R-V	-0.248131953
IRF-1-R-C	0.00904091200000001
Jak2-R-V	0.0608731720000001
p16_INK4a-R-V	-0.139768818
SHP-2_pY542-R-C	-0.00472937699999998
CDK1_pY15-R-C	0.029506186
