Sample REF	DA5131EF-4E20-4519-BE27-4C016B087F14
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.127407547
14-3-3_epsilon-M-C	-0.0241403759999999
14-3-3_zeta-R-V	0.207754342
4E-BP1-R-V	-0.0358912869999998
4E-BP1_pS65-R-V	-0.124184117
4E-BP1_pT37_T46-R-V	-0.139915992
4E-BP1_pT70-R-V	0.0159520330000002
53BP1-R-E	-0.571945307
A-Raf_pS299-R-C	0.0150829510000002
ACC_pS79-R-V	-0.520632999
ACC1-R-E	-0.837967876
Acetyl-a-Tubulin-Lys40-R-C	0.00667624400000033
ACVRL1-R-C	0.100723604
ADAR1-M-V	-0.113249805
Akt-R-V	0.166820036
Akt_pS473-R-V	-0.0179108549999998
Akt_pT308-R-V	0.0191789620000002
alpha-Catenin-M-V	-0.0123351719999998
AMPK_alpha-R-C	0.0866996690000003
AMPK_pT172-R-V	0.56319055
Annexin-1-M-E	-0.0635946429999996
Annexin_VII-M-V	0.123982441
AR-R-V	0.0219019740000002
DIRAS3-M-E	0.212250335
ASNS-R-V	-0.672588809
ATM-R-E	0.272564048
B-Raf-M-C	-0.115140579
Bad_pS112-R-V	-0.333095444
Bak-R-C	0.175765347
Bap1-c-4-M-E	-0.555984217
Bax-R-V	-0.0555319599999998
Bcl-2-M-V	0.213138529000001
Bcl-xL-R-V	-0.109149249
Beclin-G-C	-0.125467369
beta-Catenin-R-V	-0.37181883
Bid-R-C	0.156860495
Bim-R-V	-0.403047665
BRCA2-R-C	0.112371772
c-Jun_pS73-R-V	-0.191029696
c-Kit-R-V	0.606881094
c-Met-M-E	-0.0327571349999998
c-Met_pY1235-R-V	0.0812957790000002
c-Myc-R-C	0.426501677
C-Raf-R-V	-0.0143803249999997
C-Raf_pS338-R-V	0.0621491860000002
Caspase-7_cleavedD198-R-C	-0.162396524
Caspase-8-M-E	0.0591120880000002
Caveolin-1-R-V	1.397156727
CD20-R-C	0.00649122100000032
CD31-M-V	0.184298559
CD49b-M-V	-0.194978569
CDK1-R-V	0.073188198
Chk1-M-C	-0.387728992
Chk1_pS345-R-C	-0.19445224
Chk2-M-E	-0.306186257
Chk2_pT68-R-C	0.0558972780000002
cIAP-R-V	0.0569390880000002
Claudin-7-R-V	0.0735707310000002
Collagen_VI-R-V	0.18454336
Cyclin_B1-R-V	-0.457898036
Cyclin_D1-R-V	0.261744991
Cyclin_E1-M-V	-0.37533199
Cyclin_E2-R-C	-0.110200529
DJ-1-R-E	0.133171538
Dvl3-R-V	-0.451847675
E-Cadherin-R-V	-1.121718742
eEF2-R-C	-0.0413744949999998
eEF2K-R-V	-1.019679552
EGFR-R-V	-0.352409511
EGFR_pY1068-R-C	-0.400558114999999
EGFR_pY1173-R-V	0.102621893
eIF4E-R-V	-0.195147197
eIF4G-R-C	-0.860570061
ER-alpha-R-V	0.189565941
ER-alpha_pS118-R-V	-0.236169266
ERCC1-M-V	-0.111140983
ERK2-R-E	0.122861317
ETS-1-R-V	-0.0253991139999998
FASN-R-V	-0.844269827
Fibronectin-R-V	1.072649893
FoxM1-R-V	-0.136674059
FOXO3a-R-C	0.171527856
FOXO3a_pS318_S321-R-C	0.0786436320000004
G6PD-M-V	-0.105461216
GAB2-R-V	0.104309245
GAPDH-M-C	-0.200170806
GATA3-M-V	-0.120918651
