Sample REF	DE361C5C-452A-4E8B-AC77-E037AC111087
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0176986299999999
14-3-3_epsilon-M-C	0.106922263
14-3-3_zeta-R-V	-0.0693297939999999
4E-BP1-R-V	0.928740953
4E-BP1_pS65-R-V	0.049426799
4E-BP1_pT37_T46-R-V	0.665442692
4E-BP1_pT70-R-V	0.60116053
53BP1-R-E	0.248520186
A-Raf_pS299-R-C	-0.187682156
ACC_pS79-R-V	-0.393854521
ACC1-R-E	-0.513321443
Acetyl-a-Tubulin-Lys40-R-C	0.879475295
ACVRL1-R-C	0.050717772
ADAR1-M-V	0.406593443
Akt-R-V	0.228551613
Akt_pS473-R-V	0.331007237
Akt_pT308-R-V	0.54329668
alpha-Catenin-M-V	-0.041456918
AMPK_alpha-R-C	0.0673947860000002
AMPK_pT172-R-V	0.00116467300000012
Annexin-1-M-E	-0.857106289
Annexin_VII-M-V	0.0522031479999999
AR-R-V	0.074446528
DIRAS3-M-E	-0.00354647399999997
ASNS-R-V	0.381111026
ATM-R-E	-0.717654055
B-Raf-M-C	0.682305562
Bad_pS112-R-V	-0.318886283
Bak-R-C	0.139324169
Bap1-c-4-M-E	0.31145687
Bax-R-V	-0.0573410619999999
Bcl-2-M-V	0.148870859
Bcl-xL-R-V	-0.0568770599999999
Beclin-G-C	0.545156117
beta-Catenin-R-V	0.373121705
Bid-R-C	-0.036392444
Bim-R-V	-0.172631603
BRCA2-R-C	-0.11662851
c-Jun_pS73-R-V	-0.14729657
c-Kit-R-V	0.355915823
c-Met-M-E	-0.140404599
c-Met_pY1235-R-V	0.028020637
c-Myc-R-C	0.436023003
C-Raf-R-V	0.239348197
C-Raf_pS338-R-V	-0.065006846
Caspase-7_cleavedD198-R-C	0.543595417
Caspase-8-M-E	-0.0057009939999999
Caveolin-1-R-V	-0.562451178
CD20-R-C	0.00561020400000001
CD31-M-V	0.00323700300000018
CD49b-M-V	-0.63360813
CDK1-R-V	0.11456317
Chk1-M-C	0.0131360239999998
Chk1_pS345-R-C	-0.03745915
Chk2-M-E	0.322894346
Chk2_pT68-R-C	0.0597872830000001
cIAP-R-V	-0.051404567
Claudin-7-R-V	1.415695309
Collagen_VI-R-V	-0.170021558
Cyclin_B1-R-V	0.635892456
Cyclin_D1-R-V	-0.08292472
Cyclin_E1-M-V	0.888177962
Cyclin_E2-R-C	-0.0238619899999999
DJ-1-R-E	-0.00686227199999995
Dvl3-R-V	0.288833404
E-Cadherin-R-V	0.343161932
eEF2-R-C	0.0174914210000001
eEF2K-R-V	0.53108993
EGFR-R-V	-0.598248867
EGFR_pY1068-R-C	-0.350845943
EGFR_pY1173-R-V	0.047457085
eIF4E-R-V	-0.068506273
eIF4G-R-C	0.602773522
ER-alpha-R-V	-0.474121951
ER-alpha_pS118-R-V	0.097634014
ERCC1-M-V	0.423655674
ERK2-R-E	-0.037009639
ETS-1-R-V	0.204595635
FASN-R-V	0.982664517
Fibronectin-R-V	-0.107550343
FoxM1-R-V	0.22619884
FOXO3a-R-C	0
FOXO3a_pS318_S321-R-C	-0.087336604
G6PD-M-V	-0.0935178920000002
GAB2-R-V	0.877355424
GAPDH-M-C	0.553494485
GATA3-M-V	1.860296738
GSK3-alpha-beta-M-V	-0.209337343
GSK3-alpha-beta_pS21_S9-R-V	-0.309544124
GSK3_pS9-R-V	-0.039816415
HER2-M-V	0.225077601
HER2_pY1248-R-C	-0.0983680049999999
HER3-R-V	0.00187757900000007
HER3_pY1289-R-C	-0.049285436
Heregulin-R-V	0.0240384659999999
HSP70-R-C	0.035048524
IGFBP2-R-V	2.267957918
INPP4B-R-V	-0.200837824
IRS1-R-V	0.526209609
JNK_pT183_pY185-R-V	-0.177946717
JNK2-R-C	-0.0991874489999999
Ku80-R-C	0.114891416
Lck-R-V	-0.564323579
LKB1-M-E	-0.016223967
MAPK_pT202_Y204-R-V	-0.839172591
MEK1-R-V	-0.629016627
MEK1_pS217_S221-R-V	-0.193548792
MIG-6-M-V	0.0386048700000001
Mre11-R-C	-0.00220366599999988
MSH2-M-V	0.250510741
MSH6-R-C	0.157779232
mTOR-R-V	0.025340608
mTOR_pS2448-R-C	-0.611618947
MYH11-R-V	-3.106902701
Myosin-IIa_pS1943-R-V	-0.396627621
N-Cadherin-R-V	-0.137038912
N-Ras-M-V	0.00992708200000003
NDRG1_pT346-R-V	-1.940124174
NF-kB-p65_pS536-R-C	0.180629753
NF2-R-C	-0.095337669
Notch1-R-V	-0.0590958940000001
P-Cadherin-R-C	0.169781898
p21-R-V	-0.255045725
p27-R-V	-0.220818515
p27_pT157-R-C	0.124847746
p27_pT198-R-V	0.130414193
p38_MAPK-R-V	0.157112445
p38_pT180_Y182-R-V	-0.464619386
p53-R-E	1.682327272
p62-LCK-ligand-M-C	0.195723211
p70S6K-R-V	-0.356940207
p70S6K_pT389-R-V	0.22317447
p90RSK-R-C	-0.10125559
p90RSK_pT359_S363-R-C	-0.321217949
PAI-1-M-E	-0.594282757
PARP_cleaved-M-E	-0.095711908
Paxillin-R-C	0.4698371
PCNA-M-C	-0.283396103
PDCD4-R-C	-0.830642821
PDK1-R-V	0.00786227000000006
PDK1_pS241-R-V	0.0534123670000001
PEA15-R-V	-0.117987937
PEA15_pS116-R-V	0.000380568000000081
PI3K-p110-alpha-R-C	0.266073133
PI3K-p85-R-V	-0.38021047
PKC-alpha-M-V	-0.379319042
PKC-alpha_pS657-R-C	-0.299032616
PKC-delta_pS664-R-V	-0.0987574849999999
PKC-pan_BetaII_pS660-R-V	-0.411336509
PR-R-V	-0.044255822
PRAS40_pT246-R-V	0.228387325
PRDX1-R-V	-0.214944079
