Sample REF	E396C1F2-2B80-413F-822F-056FA27A5C88
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.060093431
14-3-3_epsilon-M-C	-0.012524597
14-3-3_zeta-R-V	-0.265718859
4E-BP1-R-V	-0.167307489
4E-BP1_pS65-R-V	0.111449461
4E-BP1_pT37_T46-R-V	0.798757236
4E-BP1_pT70-R-V	-0.017707236
53BP1-R-E	-0.065773657
A-Raf_pS299-R-C	0.274069024
ACC_pS79-R-V	0.655025183
ACC1-R-E	0.261941358
Acetyl-a-Tubulin-Lys40-R-C	0.118148413
ACVRL1-R-C	-0.095800328
ADAR1-M-V	-0.0620229360000001
Akt-R-V	0.078941303
Akt_pS473-R-V	2.57260376
Akt_pT308-R-V	1.861187128
alpha-Catenin-M-V	0.0577355469999999
AMPK_alpha-R-C	0.0631105470000001
AMPK_pT172-R-V	-0.404592508
Annexin-1-M-E	-0.737705787
Annexin_VII-M-V	0.04302814
AR-R-V	0.113097878
DIRAS3-M-E	-0.154546364
ASNS-R-V	0.324916193
ATM-R-E	-0.241555175
B-Raf-M-C	0.179064491
Bad_pS112-R-V	0.580791355
Bak-R-C	-0.0144411499999998
Bap1-c-4-M-E	0.0521911810000001
Bax-R-V	-0.056988661
Bcl-2-M-V	-0.23705107
Bcl-xL-R-V	-0.124271141
Beclin-G-C	0.216706048
beta-Catenin-R-V	0.296745873
Bid-R-C	-0.033682287
Bim-R-V	-0.280295434
BRCA2-R-C	-0.154140532
c-Jun_pS73-R-V	0.363582153
c-Kit-R-V	0.60497748
c-Met-M-E	-0.000269491000000177
c-Met_pY1235-R-V	-0.144414778
c-Myc-R-C	-0.154779734
C-Raf-R-V	-0.19280497
C-Raf_pS338-R-V	0.028137386
Caspase-7_cleavedD198-R-C	-0.316146278
Caspase-8-M-E	-0.0169539710000001
Caveolin-1-R-V	-0.910373347
CD20-R-C	-0.056375172
CD31-M-V	-0.136687273
CD49b-M-V	0.208783211
CDK1-R-V	-0.14652516
Chk1-M-C	0.00989889399999988
Chk1_pS345-R-C	0.245552426
Chk2-M-E	-0.755130375
Chk2_pT68-R-C	-0.130655639
cIAP-R-V	0.012772288
Claudin-7-R-V	-1.003422202
Collagen_VI-R-V	-0.119317054
Cyclin_B1-R-V	-0.18609051
Cyclin_D1-R-V	0.118799441
Cyclin_E1-M-V	0.200676518
Cyclin_E2-R-C	-0.23074109
DJ-1-R-E	-0.127606478
Dvl3-R-V	-0.092126281
E-Cadherin-R-V	0.804834775
eEF2-R-C	-0.031504441
eEF2K-R-V	0.700854876
EGFR-R-V	0.132907074
EGFR_pY1068-R-C	0.0783314970000001
EGFR_pY1173-R-V	-0.082303836
eIF4E-R-V	0.031422256
eIF4G-R-C	0.106556362
ER-alpha-R-V	1.439498691
ER-alpha_pS118-R-V	0.166794126
ERCC1-M-V	-0.0157747139999999
ERK2-R-E	0.066043893
ETS-1-R-V	-0.092583661
FASN-R-V	0.0827979820000001
Fibronectin-R-V	-0.117203164
FoxM1-R-V	-0.102015581
FOXO3a-R-C	-0.137673746
FOXO3a_pS318_S321-R-C	0.171667205
G6PD-M-V	0.0205008509999999
GAB2-R-V	-0.153647387
GAPDH-M-C	0.240564213
GATA3-M-V	0.694542043
GSK3-alpha-beta-M-V	-0.0125947200000001
GSK3-alpha-beta_pS21_S9-R-V	0.811162191
GSK3_pS9-R-V	1.023469036
HER2-M-V	0.044708893
HER2_pY1248-R-C	0
HER3-R-V	-0.395634808
HER3_pY1289-R-C	-0.115145968
Heregulin-R-V	-0.279616617
HSP70-R-C	-0.335662142
IGFBP2-R-V	0.915822206
INPP4B-R-V	-0.00454785799999968
IRS1-R-V	-0.0777173329999999
JNK_pT183_pY185-R-V	0.300746656
JNK2-R-C	0.253167443
Ku80-R-C	0.230674134
Lck-R-V	-0.010713781
LKB1-M-E	-0.0555669130000001
MAPK_pT202_Y204-R-V	1.215727109
MEK1-R-V	0.186597728
MEK1_pS217_S221-R-V	0.179531744
MIG-6-M-V	0.00282605599999997
Mre11-R-C	-0.144694268
MSH2-M-V	-0.0838244450000004
MSH6-R-C	0.049614434
mTOR-R-V	0.242679534
mTOR_pS2448-R-C	0.414041029
MYH11-R-V	0.723177359
