Sample REF	E473C4E8-6073-41A2-9ABD-7E02564303CB
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.978919262
14-3-3_epsilon-M-C	-0.114072857
14-3-3_zeta-R-V	0.017347134
4E-BP1-R-V	0.022067498
4E-BP1_pS65-R-V	0.072059374
4E-BP1_pT37_T46-R-V	0.049556022
4E-BP1_pT70-R-V	0.551631121
53BP1-R-E	-0.079064031
A-Raf_pS299-R-C	-0.077809824
ACC_pS79-R-V	0.747180349
ACC1-R-E	1.425755157
Acetyl-a-Tubulin-Lys40-R-C	-0.248910894
ACVRL1-R-C	0.173765209
ADAR1-M-V	0.148999287
Akt-R-V	-0.47560564
Akt_pS473-R-V	-0.420368748
Akt_pT308-R-V	-0.139365458
alpha-Catenin-M-V	-0.02179135
AMPK_alpha-R-C	-0.041939708
AMPK_pT172-R-V	-0.388408234
Annexin-1-M-E	-0.497688471
Annexin_VII-M-V	0.0344828839999999
AR-R-V	0.18874662
DIRAS3-M-E	0.044101629
ASNS-R-V	-0.105388353
ATM-R-E	-0.193434164
B-Raf-M-C	0.011964861
Bad_pS112-R-V	-0.264249085
Bak-R-C	-0.161656081
Bap1-c-4-M-E	-0.278120919
Bax-R-V	-0.181648451
Bcl-2-M-V	0.060073354
Bcl-xL-R-V	0.257332019
Beclin-G-C	-0.246073431
beta-Catenin-R-V	-0.521295219
Bid-R-C	0.199580791
Bim-R-V	0.501862806
BRCA2-R-C	0.196072456
c-Jun_pS73-R-V	-0.285743169
c-Kit-R-V	0.1345993
c-Met-M-E	-0.311440809
c-Met_pY1235-R-V	0.063751324
c-Myc-R-C	0.01289747
C-Raf-R-V	0.015972619
C-Raf_pS338-R-V	0.16225804
Caspase-7_cleavedD198-R-C	0.979118978
Caspase-8-M-E	-0.0510605869999999
Caveolin-1-R-V	0.492926529
CD20-R-C	-0.033754769
CD31-M-V	0.194832762
CD49b-M-V	-0.18591807
CDK1-R-V	-0.0450639160000002
Chk1-M-C	-0.296632186
Chk1_pS345-R-C	-0.268835389
Chk2-M-E	-0.143077615
Chk2_pT68-R-C	0.242506962
cIAP-R-V	0.090389984
Claudin-7-R-V	-0.10413078
Collagen_VI-R-V	0.063998388
Cyclin_B1-R-V	-0.461553971
Cyclin_D1-R-V	1.013447583
Cyclin_E1-M-V	-0.409955452
Cyclin_E2-R-C	-0.0880391
DJ-1-R-E	0.163254916
Dvl3-R-V	0.031068779
E-Cadherin-R-V	-0.862580377
eEF2-R-C	0.0264569000000001
eEF2K-R-V	-0.696997611
EGFR-R-V	0.0126613699999999
EGFR_pY1068-R-C	0.0154614430000004
EGFR_pY1173-R-V	-0.00823158399999996
eIF4E-R-V	0.284449489
eIF4G-R-C	-0.0121939230000004
ER-alpha-R-V	1.709757981
ER-alpha_pS118-R-V	0.086227666
ERCC1-M-V	-0.173922781
ERK2-R-E	-0.176793343
ETS-1-R-V	0
FASN-R-V	0.874962134
Fibronectin-R-V	-0.272156665
FoxM1-R-V	-0.169535963
FOXO3a-R-C	0.112621152
FOXO3a_pS318_S321-R-C	0.16239872
G6PD-M-V	-0.116244013
GAB2-R-V	-0.0698887529999999
GAPDH-M-C	-0.320444675
GATA3-M-V	0.241031642
GSK3-alpha-beta-M-V	-0.232981735
GSK3-alpha-beta_pS21_S9-R-V	-0.082274822
GSK3_pS9-R-V	-0.624757053
HER2-M-V	0.0289228990000001
HER2_pY1248-R-C	0.529292256
HER3-R-V	0.0573227060000001
HER3_pY1289-R-C	-0.018688425
Heregulin-R-V	0.0439399630000001
HSP70-R-C	1.148016309
