Sample REF	E7F7A921-F39C-4DB0-AC65-0A6AE9578FC6
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.1265793
14-3-3_epsilon-M-C	-0.26501182
14-3-3_zeta-R-V	0.130276369
4E-BP1-R-V	-0.060661084
4E-BP1_pS65-R-V	0.205399146
4E-BP1_pT37_T46-R-V	0.829888418
4E-BP1_pT70-R-V	-0.013465177
53BP1-R-E	-0.089674127
A-Raf_pS299-R-C	-0.095192571
ACC_pS79-R-V	-0.112627668
ACC1-R-E	-0.469842007
Acetyl-a-Tubulin-Lys40-R-C	-0.087652369
ACVRL1-R-C	-0.0462516530000001
ADAR1-M-V	0.238109333
Akt-R-V	-0.397362262
Akt_pS473-R-V	1.142817514
Akt_pT308-R-V	0.710468859
alpha-Catenin-M-V	-0.00958816200000001
AMPK_alpha-R-C	-0.140424467
AMPK_pT172-R-V	-0.312598233
Annexin-1-M-E	-0.681832983
Annexin_VII-M-V	-0.079393907
AR-R-V	-0.0999391559999999
DIRAS3-M-E	0.10911972
ASNS-R-V	-0.27990082
ATM-R-E	-0.507204291
B-Raf-M-C	-0.392256409
Bad_pS112-R-V	-0.097025892
Bak-R-C	0.00594050400000024
Bap1-c-4-M-E	0.164001619
Bax-R-V	-0.305231477
Bcl-2-M-V	0.0966958259999999
Bcl-xL-R-V	-0.152178933
Beclin-G-C	-0.203338693
beta-Catenin-R-V	-0.717959681
Bid-R-C	0.018940387
Bim-R-V	0.103750535
BRCA2-R-C	0.045466126
c-Jun_pS73-R-V	0.67084834
c-Kit-R-V	0.0138904719999999
c-Met-M-E	-0.0152542060000003
c-Met_pY1235-R-V	0.07861509
c-Myc-R-C	0.47550481
C-Raf-R-V	-0.261126911
C-Raf_pS338-R-V	0.069442706
Caspase-7_cleavedD198-R-C	-0.789284903
Caspase-8-M-E	-0.245902228
Caveolin-1-R-V	-0.46906219
CD20-R-C	0.0346107769999999
CD31-M-V	0.253628987
CD49b-M-V	0.266596289
CDK1-R-V	0.198176351
Chk1-M-C	0.0287337479999996
Chk1_pS345-R-C	0.005521098
Chk2-M-E	0.212112324
Chk2_pT68-R-C	0.087785907
cIAP-R-V	-0.110595998
Claudin-7-R-V	-0.923929319
Collagen_VI-R-V	0.0688907049999999
Cyclin_B1-R-V	0.248546994
Cyclin_D1-R-V	0
Cyclin_E1-M-V	0.0328929259999997
Cyclin_E2-R-C	0.313016906
DJ-1-R-E	-0.215400972
Dvl3-R-V	-0.453613657
E-Cadherin-R-V	-0.472116419
eEF2-R-C	-0.104215384
eEF2K-R-V	-0.356536671
EGFR-R-V	-0.132088466
EGFR_pY1068-R-C	0.617137067
EGFR_pY1173-R-V	0.046459768
eIF4E-R-V	-0.00992606699999998
