Sample REF	E86D642C-A5D4-4D95-9BD0-16FEB48F2960
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0865337440000001
14-3-3_epsilon-M-C	0.024749384
14-3-3_zeta-R-V	-0.240556516
4E-BP1-R-V	-0.0741845679999999
4E-BP1_pS65-R-V	-0.198244943
4E-BP1_pT37_T46-R-V	-0.275938337
4E-BP1_pT70-R-V	-0.10286077
53BP1-R-E	-0.172654662
A-Raf_pS299-R-C	0.209484808
ACC_pS79-R-V	0.140467949
ACC1-R-E	0.140223122
Acetyl-a-Tubulin-Lys40-R-C	0.730037664
ACVRL1-R-C	0.154432541
ADAR1-M-V	-0.0379103439999998
Akt-R-V	-0.135432951
Akt_pS473-R-V	0.410370594
Akt_pT308-R-V	0.243835101
alpha-Catenin-M-V	0.114420866
AMPK_alpha-R-C	0.0795509780000001
AMPK_pT172-R-V	0.115667737
Annexin-1-M-E	0.0757244660000002
Annexin_VII-M-V	0.0521692069999999
AR-R-V	-0.204148793
DIRAS3-M-E	-0.0816993499999999
ASNS-R-V	0.463670932
ATM-R-E	0.221186801
B-Raf-M-C	0.197499465
Bad_pS112-R-V	-0.101597155
Bak-R-C	-0.0289643189999998
Bap1-c-4-M-E	0.068185708
Bax-R-V	0.0489669520000001
Bcl-2-M-V	0.0838639060000003
Bcl-xL-R-V	-0.0146055519999999
Beclin-G-C	0.497347991
beta-Catenin-R-V	0.0184536160000001
Bid-R-C	-0.171885831
Bim-R-V	-0.185604902
BRCA2-R-C	-0.0371382079999999
c-Jun_pS73-R-V	-0.215427759
c-Kit-R-V	-0.125183507
c-Met-M-E	0.24662621
c-Met_pY1235-R-V	-0.0678675209999999
c-Myc-R-C	0.760219799
C-Raf-R-V	-0.00144752399999992
C-Raf_pS338-R-V	0.036497658
Caspase-7_cleavedD198-R-C	0.598748114
Caspase-8-M-E	0.120540032
Caveolin-1-R-V	-0.585046176
CD20-R-C	-0.101957293
CD31-M-V	0.173528298
CD49b-M-V	0.037035146
CDK1-R-V	0.137047744
Chk1-M-C	-0.22394818
Chk1_pS345-R-C	0
Chk2-M-E	0.290950454
Chk2_pT68-R-C	-0.0421575499999999
cIAP-R-V	-0.0225408919999999
Claudin-7-R-V	0.423558924
Collagen_VI-R-V	0.371679901
Cyclin_B1-R-V	0.0106543480000001
Cyclin_D1-R-V	0.0229341040000001
Cyclin_E1-M-V	0.159655385
Cyclin_E2-R-C	-0.15028562
DJ-1-R-E	0.0747663120000001
Dvl3-R-V	-0.226713071
E-Cadherin-R-V	0.372395172
eEF2-R-C	-0.132961096
eEF2K-R-V	-0.42123989
EGFR-R-V	-0.313482214
EGFR_pY1068-R-C	-0.136720423
