Sample REF	E8A1C40D-96A1-4505-9E4B-42CC804182E2
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.00730584600000006
14-3-3_epsilon-M-C	-0.100096588
14-3-3_zeta-R-V	-0.21840105
4E-BP1-R-V	0.055744599
4E-BP1_pS65-R-V	-0.32208655
4E-BP1_pT37_T46-R-V	-0.0631584220000001
4E-BP1_pT70-R-V	-0.159242233
53BP1-R-E	0.686592498
A-Raf_pS299-R-C	-0.159030774
ACC_pS79-R-V	0.0614968769999999
ACC1-R-E	-0.235873025
Acetyl-a-Tubulin-Lys40-R-C	0.231552216
ACVRL1-R-C	-0.12985997
ADAR1-M-V	0.00168562999999999
Akt-R-V	-0.156692022
Akt_pS473-R-V	0.203834758
Akt_pT308-R-V	0.009270106
alpha-Catenin-M-V	0.423446838
AMPK_alpha-R-C	0.233149446
AMPK_pT172-R-V	0.768118576
Annexin-1-M-E	-0.055862872
Annexin_VII-M-V	-0.0499883070000001
AR-R-V	0.0364297699999999
DIRAS3-M-E	-0.03144356
ASNS-R-V	-0.08416613
ATM-R-E	-0.292571444
B-Raf-M-C	-0.271009762
Bad_pS112-R-V	-0.166939312
Bak-R-C	0.0789787260000001
Bap1-c-4-M-E	0.499518627
Bax-R-V	0.00194979200000001
Bcl-2-M-V	-0.391985875
Bcl-xL-R-V	-0.077798597
Beclin-G-C	0.449361626
beta-Catenin-R-V	0.967780445
Bid-R-C	-0.113548481
Bim-R-V	-0.622114746
BRCA2-R-C	0.098469811
c-Jun_pS73-R-V	0.222739724
c-Kit-R-V	-0.32344331
c-Met-M-E	5.577901689
c-Met_pY1235-R-V	-0.0367281890000001
c-Myc-R-C	0.186649644
C-Raf-R-V	-0.098620398
C-Raf_pS338-R-V	-0.0718584820000001
Caspase-7_cleavedD198-R-C	-0.48437125
Caspase-8-M-E	3.801057749
Caveolin-1-R-V	-1.599472963
CD20-R-C	0.0189454849999999
CD31-M-V	0.12509657
CD49b-M-V	-0.474152628
CDK1-R-V	0.199356836
Chk1-M-C	-0.0512298870000001
Chk1_pS345-R-C	0
Chk2-M-E	0.789705829
Chk2_pT68-R-C	-0.259073183
cIAP-R-V	-0.312849345
Claudin-7-R-V	1.27685309
Collagen_VI-R-V	-0.59130206
Cyclin_B1-R-V	0.034431536
Cyclin_D1-R-V	1.010152264
Cyclin_E1-M-V	-0.22201754
Cyclin_E2-R-C	-0.114581263
DJ-1-R-E	-0.356313105
Dvl3-R-V	0.029555706
E-Cadherin-R-V	1.080489634
eEF2-R-C	0.166378887
eEF2K-R-V	0.253675001
EGFR-R-V	-0.352810213
EGFR_pY1068-R-C	0.0164290520000003
EGFR_pY1173-R-V	-0.114977352
eIF4E-R-V	0.070334738
eIF4G-R-C	0.320023087
ER-alpha-R-V	-0.470540144
ER-alpha_pS118-R-V	-0.174076325
ERCC1-M-V	0.067213026
ERK2-R-E	-0.0390212139999999
ETS-1-R-V	0.246281722
FASN-R-V	0.079941233
Fibronectin-R-V	-0.251351262
FoxM1-R-V	0.19161317
FOXO3a-R-C	0.227041462
FOXO3a_pS318_S321-R-C	0.258832785
G6PD-M-V	-0.117433898
GAB2-R-V	-0.290921846
GAPDH-M-C	0.056873701
GATA3-M-V	0.379151876
GSK3-alpha-beta-M-V	-0.211860412
GSK3-alpha-beta_pS21_S9-R-V	-0.40185499
GSK3_pS9-R-V	-0.244921253
HER2-M-V	0.797228313
HER2_pY1248-R-C	0.103928709
HER3-R-V	0.647313477
HER3_pY1289-R-C	-0.042651303
Heregulin-R-V	-0.00405344400000007
HSP70-R-C	-0.06943698
IGFBP2-R-V	1.767521919
INPP4B-R-V	0.441678205
IRS1-R-V	0.059035722
JNK_pT183_pY185-R-V	-0.0246457309999999
JNK2-R-C	0.552517662
Ku80-R-C	0.178505365
Lck-R-V	0.229605422
LKB1-M-E	-0.13249901
MAPK_pT202_Y204-R-V	-0.464322751
MEK1-R-V	-0.286880089
MEK1_pS217_S221-R-V	-0.219064106
MIG-6-M-V	-0.00792696900000001
Mre11-R-C	-0.077755046
MSH2-M-V	0.959567715
MSH6-R-C	1.354462164
mTOR-R-V	0.0467156300000002
mTOR_pS2448-R-C	-0.0351552219999999
MYH11-R-V	-1.838734657
Myosin-IIa_pS1943-R-V	-0.131849979
N-Cadherin-R-V	0.157412317
N-Ras-M-V	-0.063696597
NDRG1_pT346-R-V	-0.105430706
NF-kB-p65_pS536-R-C	0.295821475
NF2-R-C	0.049773234
Notch1-R-V	-0.39137897
P-Cadherin-R-C	0.359004376
p21-R-V	-1.380485025
p27-R-V	0.326625942
p27_pT157-R-C	-0.196827582
p27_pT198-R-V	-0.135894096
p38_MAPK-R-V	-0.379187057
p38_pT180_Y182-R-V	-0.379953827
p53-R-E	0.0703118560000002
p62-LCK-ligand-M-C	0.243150762
p70S6K-R-V	-0.238414527
p70S6K_pT389-R-V	0.192318756
p90RSK-R-C	0.043500823
p90RSK_pT359_S363-R-C	0.261328453
PAI-1-M-E	-0.605919244
PARP_cleaved-M-E	4.132999748
Paxillin-R-C	-0.414163237
PCNA-M-C	0.240912394
PDCD4-R-C	0.040675351
PDK1-R-V	-0.330139068
PDK1_pS241-R-V	-0.434001285
PEA15-R-V	-0.456920517
PEA15_pS116-R-V	0.874540279
PI3K-p110-alpha-R-C	0.383960478
PI3K-p85-R-V	-0.152042414
PKC-alpha-M-V	0.472271503
PKC-alpha_pS657-R-C	0.710886494
PKC-delta_pS664-R-V	0.429424752
PKC-pan_BetaII_pS660-R-V	0.259989194
PR-R-V	-0.014077912
PRAS40_pT246-R-V	-0.023703285
PRDX1-R-V	-0.571080619
PREX1-R-E	-0.462210355
PTEN-R-V	0.310910659
Rab11-R-E	0.226215307
Rab25-R-V	1.127854869
Rad50-M-V	-0.16454467
Rad51-R-V	0.124712955
Raptor-R-V	-0.060918286
Rb-M-E	2.442677774
Rb_pS807_S811-R-V	0.357652635
RBM15-R-V	0.154352929
Rictor-R-C	-0.804249737
Rictor_pT1135-R-V	-0.081210648
S6-R-E	-0.331104287
S6_pS235_S236-R-V	-0.169891563
S6_pS240_S244-R-V	0.085104313
SCD-M-V	1.27284305
SETD2-R-E	4.571334705
SF2-M-V	0.249879009
Shc_pY317-R-E	0.0234315660000002
Smac-M-E	1.955373112
Smad1-R-V	-0.083709877
Smad3-R-V	0.030801713
Smad4-M-V	-0.233564554
Snail-M-E	7.07767643
Src-M-V	-0.00270973100000005
Src_pY416-R-C	-0.315995986
Src_pY527-R-V	-0.120117133
STAT3_pY705-R-V	-0.390515218
STAT5-alpha-R-V	-0.469492161
Stathmin-R-V	-0.219503376
Syk-M-V	0.171746304
TAZ-R-V	-0.0307369900000001
TIGAR-R-V	0.291246132
Transglutaminase-M-V	-0.506589113
TFRC-R-V	1.334023486
TSC1-R-C	0.354722734
TTF1-R-V	0.331605038
Tuberin-R-E	0.152988538
Tuberin_pT1462-R-V	0.165350876
VEGFR2-R-V	-0.477619277
EPPK1-M-E	0.466111237
XBP1-G-C	0.658249556
XRCC1-R-E	0.0157823610000001
YAP-R-E	-0.461424688
YAP_pS127-R-E	-1.354699922
YB-1-R-V	0.0725627240000001
YB-1_pS102-R-V	-0.00900025800000004
JAB1-M-C	0.27644942
PARP1-R-V	-0.037579951
A-Raf-R-V	-0.064468045
ARID1A-R-C	0.31539961
B-Raf_pS445-R-V	-0.275503896
Bcl2A1-R-V	-0.093752576
BRD4-R-V	0.199528428
c-Abl-R-V	-0.303119166
Caspase-3-R-C	-0.0498639160000001
CD26-R-V	-0.243848275
Chk1_pS296-R-V	-0.259741131
COG3-R-V	0.114398822
DUSP4-R-V	1.343452368
ERCC5-R-C	0.160966131
IGF1R_pY1135_Y1136-R-V	-0.189488742
IRF-1-R-C	-0.288199083
Jak2-R-V	-0.113972379
p16_INK4a-R-V	0.075060908
SHP-2_pY542-R-C	-0.133346588
CDK1_pY15-R-C	0.035269186
