Sample REF	E8E61B42-4CF6-470E-8067-18CC5A90FDF4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.00736101699999991
14-3-3_epsilon-M-C	0.0835764480000001
14-3-3_zeta-R-V	-0.00761484199999996
4E-BP1-R-V	0.112169016
4E-BP1_pS65-R-V	0.376679458
4E-BP1_pT37_T46-R-V	0.685729945
4E-BP1_pT70-R-V	0.535763822
53BP1-R-E	-0.034784575
A-Raf_pS299-R-C	0.049891567
ACC_pS79-R-V	-0.0640802819999999
ACC1-R-E	0.493775281
Acetyl-a-Tubulin-Lys40-R-C	0.576082681
ACVRL1-R-C	0.250554981
ADAR1-M-V	0.152282596
Akt-R-V	-0.338558094
Akt_pS473-R-V	-0.282058406
Akt_pT308-R-V	0.65472396
alpha-Catenin-M-V	0.0675918640000002
AMPK_alpha-R-C	-0.147130676
AMPK_pT172-R-V	-1.324048003
Annexin-1-M-E	0.10161932
Annexin_VII-M-V	-0.263431026
AR-R-V	-0.083396874
DIRAS3-M-E	-0.03652728
ASNS-R-V	0.823893367
ATM-R-E	-0.513293342
B-Raf-M-C	-0.019514446
Bad_pS112-R-V	0.309203156
Bak-R-C	0.0208567530000001
Bap1-c-4-M-E	0.322075381
Bax-R-V	-0.158610959
Bcl-2-M-V	-0.575460369
Bcl-xL-R-V	-0.021454173
Beclin-G-C	-0.0340264299999999
beta-Catenin-R-V	0.310682847
Bid-R-C	-0.082982596
Bim-R-V	0.415898532
BRCA2-R-C	0.129198294
c-Jun_pS73-R-V	0.215483247
c-Kit-R-V	-0.41385084
c-Met-M-E	-0.214366622
c-Met_pY1235-R-V	0.101810086
c-Myc-R-C	-0.182580683
C-Raf-R-V	0.115473463
C-Raf_pS338-R-V	-0.065427753
Caspase-7_cleavedD198-R-C	0.366592599
Caspase-8-M-E	-0.102429423
Caveolin-1-R-V	0.509011567
CD20-R-C	-0.021454173
CD31-M-V	-0.0735283980000001
CD49b-M-V	-0.092811505
CDK1-R-V	-0.204550548
Chk1-M-C	0.070264871
Chk1_pS345-R-C	-0.203629877
Chk2-M-E	-0.112028214
Chk2_pT68-R-C	0.0278461080000001
cIAP-R-V	0.993325833
Claudin-7-R-V	-0.203655205
Collagen_VI-R-V	0.039305138
Cyclin_B1-R-V	0.217348483
