Sample REF	E932E7D1-9C9C-446B-B772-CAA451D3A27E
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0234726310000001
14-3-3_epsilon-M-C	-0.177226174
14-3-3_zeta-R-V	-0.286615031
4E-BP1-R-V	-0.403509508
4E-BP1_pS65-R-V	0.00740694400000003
4E-BP1_pT37_T46-R-V	0.364586774
4E-BP1_pT70-R-V	-0.277069457
53BP1-R-E	0.169034982
A-Raf_pS299-R-C	-0.034299644
ACC_pS79-R-V	-0.409488405
ACC1-R-E	-0.228363641
Acetyl-a-Tubulin-Lys40-R-C	0.246886595
ACVRL1-R-C	-0.209014748
ADAR1-M-V	0.057792802
Akt-R-V	0.151254904
Akt_pS473-R-V	0.638575223
Akt_pT308-R-V	0.195926978
alpha-Catenin-M-V	-0.0753524280000001
AMPK_alpha-R-C	0.31353901
AMPK_pT172-R-V	0.585132492
Annexin-1-M-E	-0.831834866
Annexin_VII-M-V	0.0436108079999999
AR-R-V	0.0881036359999999
DIRAS3-M-E	0.106971997
ASNS-R-V	-0.168400989
ATM-R-E	0.626596016
B-Raf-M-C	0.127537566
Bad_pS112-R-V	0.082662379
Bak-R-C	-0.0203520969999998
Bap1-c-4-M-E	0.121789664
Bax-R-V	-0.0750263860000001
Bcl-2-M-V	0.0729570250000001
Bcl-xL-R-V	0.433138452
Beclin-G-C	0.144782581
beta-Catenin-R-V	0.177986918
Bid-R-C	-0.107123525
Bim-R-V	0.294863763
BRCA2-R-C	-0.0338566380000002
c-Jun_pS73-R-V	0.640657264
c-Kit-R-V	0.873568504
c-Met-M-E	-0.0644606639999999
c-Met_pY1235-R-V	-0.0613725970000001
c-Myc-R-C	-0.561799052
C-Raf-R-V	-0.011326938
C-Raf_pS338-R-V	0.025512402
Caspase-7_cleavedD198-R-C	-0.379636171
Caspase-8-M-E	0.0653725350000002
Caveolin-1-R-V	2.262050007
CD20-R-C	-0.0888663749999999
CD31-M-V	-0.14065157
CD49b-M-V	-0.454667374
CDK1-R-V	-0.248872161
Chk1-M-C	0.0383275489999998
Chk1_pS345-R-C	-0.187959377
Chk2-M-E	0.103833486
Chk2_pT68-R-C	-0.099559553
cIAP-R-V	0.114478665
Claudin-7-R-V	0.795712754
Collagen_VI-R-V	-0.215760643
Cyclin_B1-R-V	-0.576972939
Cyclin_D1-R-V	-0.110645111
Cyclin_E1-M-V	-0.587937395
Cyclin_E2-R-C	-0.251994843
DJ-1-R-E	0.072723782
Dvl3-R-V	-0.375368992
E-Cadherin-R-V	-0.00356862199999997
eEF2-R-C	-0.301799892
eEF2K-R-V	-0.423174353
EGFR-R-V	-0.0355608989999999
EGFR_pY1068-R-C	0.048966886
EGFR_pY1173-R-V	-0.069729983
eIF4E-R-V	-0.315990392
eIF4G-R-C	-0.161765102
ER-alpha-R-V	1.768338228
ER-alpha_pS118-R-V	0.00741136200000014
ERCC1-M-V	-0.0107356689999999
ERK2-R-E	-0.002577775
ETS-1-R-V	0
FASN-R-V	-0.354084314
Fibronectin-R-V	-0.36085127
FoxM1-R-V	-0.181916371
FOXO3a-R-C	-0.16935949
FOXO3a_pS318_S321-R-C	0.105095169
G6PD-M-V	-0.315686609
GAB2-R-V	0.223245864
GAPDH-M-C	-0.129901716
GATA3-M-V	-0.270671014
GSK3-alpha-beta-M-V	0.136181404
GSK3-alpha-beta_pS21_S9-R-V	0.012981754
GSK3_pS9-R-V	-0.623633578
HER2-M-V	0.31141281
HER2_pY1248-R-C	0.307789017
HER3-R-V	0.653273146
HER3_pY1289-R-C	0.203510839
Heregulin-R-V	-0.137478513
HSP70-R-C	-0.439837338
IGFBP2-R-V	-0.335747818
INPP4B-R-V	-0.157707521
IRS1-R-V	-0.105239721
JNK_pT183_pY185-R-V	0.191652876
JNK2-R-C	0.047954901
Ku80-R-C	0.151460511
Lck-R-V	-0.167644015
LKB1-M-E	0.012880309
MAPK_pT202_Y204-R-V	1.314741382
MEK1-R-V	0.083444537
MEK1_pS217_S221-R-V	0.235840996
MIG-6-M-V	-0.00138010799999999
Mre11-R-C	-0.063113591
MSH2-M-V	-0.147619455
MSH6-R-C	-0.314128944
mTOR-R-V	0.253233042
mTOR_pS2448-R-C	0.0793007320000002
MYH11-R-V	0.650343194
Myosin-IIa_pS1943-R-V	0.397862529
N-Cadherin-R-V	-0.03204003
N-Ras-M-V	0.00188410800000002
NDRG1_pT346-R-V	-0.912575834
NF-kB-p65_pS536-R-C	0.089208979
NF2-R-C	0.067468679
Notch1-R-V	-0.375156066
P-Cadherin-R-C	-0.05684408
p21-R-V	0.011542864
p27-R-V	0.320702916
p27_pT157-R-C	-0.038710361
p27_pT198-R-V	-0.016228819
p38_MAPK-R-V	0.074843462
p38_pT180_Y182-R-V	0.115322756
p53-R-E	-0.184731917
p62-LCK-ligand-M-C	0.144572204
p70S6K-R-V	-0.059217895
p70S6K_pT389-R-V	-0.104063895
p90RSK-R-C	-0.47537675
p90RSK_pT359_S363-R-C	0.0601657080000001
PAI-1-M-E	0.55772411
PARP_cleaved-M-E	-0.0773002660000001
Paxillin-R-C	-0.00457554599999999
PCNA-M-C	0.031375193
PDCD4-R-C	0.618640185
PDK1-R-V	-0.051134256
PDK1_pS241-R-V	-0.053438711
PEA15-R-V	0.070234209
PEA15_pS116-R-V	-0.085539305
PI3K-p110-alpha-R-C	0.021930623
PI3K-p85-R-V	0.155797429
PKC-alpha-M-V	0.169596375
PKC-alpha_pS657-R-C	0.417411076
PKC-delta_pS664-R-V	-0.161419701
PKC-pan_BetaII_pS660-R-V	0.0618687
PR-R-V	0.086184588
PRAS40_pT246-R-V	0.0507675920000001
PRDX1-R-V	-0.432088511
PREX1-R-E	-0.234262588
PTEN-R-V	0.807641184
Rab11-R-E	0.077810615
Rab25-R-V	0.960339284
Rad50-M-V	0.11221596
Rad51-R-V	-0.274145226
Raptor-R-V	-0.00424912999999999
Rb-M-E	-0.0703404390000001
Rb_pS807_S811-R-V	0.268679157
RBM15-R-V	-0.199627043
Rictor-R-C	-0.059563623
Rictor_pT1135-R-V	-0.197226384
S6-R-E	-0.32669911
S6_pS235_S236-R-V	0.0908518750000001
S6_pS240_S244-R-V	-0.227085141
SCD-M-V	-0.13220463
SETD2-R-E	-0.129048759
SF2-M-V	-0.0396574289999997
Shc_pY317-R-E	0.215314274
Smac-M-E	0.324566304
Smad1-R-V	0.066659578
Smad3-R-V	0.0995410560000001
Smad4-M-V	0.0810820249999998
Snail-M-E	0.106922966
Src-M-V	0.225430344
Src_pY416-R-C	-0.634632837
Src_pY527-R-V	0.408741054
STAT3_pY705-R-V	0.497821982
STAT5-alpha-R-V	0.015083927
Stathmin-R-V	-0.195249848
Syk-M-V	-0.735487578
TAZ-R-V	0.526572102
TIGAR-R-V	2.581844008
Transglutaminase-M-V	0.337346635
TFRC-R-V	-0.712051575
TSC1-R-C	0.620180169
TTF1-R-V	-0.212735842
Tuberin-R-E	-0.065906533
Tuberin_pT1462-R-V	-0.124018899
VEGFR2-R-V	0.67611312
EPPK1-M-E	-1.300604734
XBP1-G-C	0.114450896
XRCC1-R-E	0.171818403
YAP-R-E	0.128555148
YAP_pS127-R-E	0.376941921
YB-1-R-V	0.139666023
YB-1_pS102-R-V	-0.251828234
JAB1-M-C	-0.007348413
PARP1-R-V	-0.047462262
A-Raf-R-V	0.020880849
ARID1A-R-C	-0.18654127
B-Raf_pS445-R-V	0.163786555
Bcl2A1-R-V	-0.266140199
BRD4-R-V	0.310002941
c-Abl-R-V	-0.00592272199999999
Caspase-3-R-C	-0.144773695
CD26-R-V	0.867383932
Chk1_pS296-R-V	-0.0481896489999999
COG3-R-V	-0.00413941699999998
DUSP4-R-V	-0.329847395
ERCC5-R-C	0.360078236
IGF1R_pY1135_Y1136-R-V	-0.046977352
IRF-1-R-C	0.038035953
Jak2-R-V	-0.232124788
p16_INK4a-R-V	0.127772611
SHP-2_pY542-R-C	0.331721963
CDK1_pY15-R-C	-0.172344235
