Sample REF	E9FE952A-0600-4871-B650-997628E6A1C0
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.059161435
14-3-3_epsilon-M-C	0.0319125519999999
14-3-3_zeta-R-V	-0.00923538000000002
4E-BP1-R-V	-0.145593106
4E-BP1_pS65-R-V	-0.197567431
4E-BP1_pT37_T46-R-V	-0.457200042
4E-BP1_pT70-R-V	-0.380287326
53BP1-R-E	-0.230877436
A-Raf_pS299-R-C	-0.144726645
ACC_pS79-R-V	-0.110137453
ACC1-R-E	-0.522933258
Acetyl-a-Tubulin-Lys40-R-C	1.08783778
ACVRL1-R-C	0.191428522
ADAR1-M-V	0.172973171
Akt-R-V	0.160199963
Akt_pS473-R-V	-0.324495297
Akt_pT308-R-V	-0.207824064
alpha-Catenin-M-V	-0.102454615
AMPK_alpha-R-C	-0.074412249
AMPK_pT172-R-V	0.225906673
Annexin-1-M-E	0.019933302
Annexin_VII-M-V	0.34888385
AR-R-V	0.0272089219999999
DIRAS3-M-E	-0.082066118
ASNS-R-V	0.228328044
ATM-R-E	1.021881299
B-Raf-M-C	-0.069652196
Bad_pS112-R-V	-0.221810727
Bak-R-C	0.112472636
Bap1-c-4-M-E	0.041519836
Bax-R-V	-0.05357324
Bcl-2-M-V	0.705635793
Bcl-xL-R-V	0.08754568
Beclin-G-C	0.144176428
beta-Catenin-R-V	-0.308053736
Bid-R-C	-0.165265096
Bim-R-V	0.212503212
BRCA2-R-C	-0.073619799
c-Jun_pS73-R-V	-0.18248591
c-Kit-R-V	0.50912255
c-Met-M-E	0.0733658879999997
c-Met_pY1235-R-V	0.0543827339999999
c-Myc-R-C	0.314278672
C-Raf-R-V	0.246896256
C-Raf_pS338-R-V	-0.00943788100000004
Caspase-7_cleavedD198-R-C	1.362196084
Caspase-8-M-E	0.0925154320000001
Caveolin-1-R-V	0.994764269
CD20-R-C	0.0506931230000001
CD31-M-V	0.320250866
CD49b-M-V	0.0770589989999999
CDK1-R-V	0.073540581
Chk1-M-C	0.0919910209999999
Chk1_pS345-R-C	-0.157159128
Chk2-M-E	0.0279190309999999
Chk2_pT68-R-C	-0.116746576
cIAP-R-V	0.00503078699999998
Claudin-7-R-V	-0.201521703
Collagen_VI-R-V	-0.023591051
Cyclin_B1-R-V	-0.151446787
Cyclin_D1-R-V	-0.133608842
Cyclin_E1-M-V	-0.109379291
Cyclin_E2-R-C	-0.011898153
DJ-1-R-E	0.067793205
Dvl3-R-V	-0.070433186
E-Cadherin-R-V	-0.361519905
eEF2-R-C	0.101845765
eEF2K-R-V	-0.131584431
EGFR-R-V	-0.184586839
EGFR_pY1068-R-C	-0.255062954
EGFR_pY1173-R-V	-0.0206165250000001
eIF4E-R-V	-0.136621233
eIF4G-R-C	0.143185644
ER-alpha-R-V	0.402551526
ER-alpha_pS118-R-V	-0.135938196
ERCC1-M-V	0.00235094599999996
ERK2-R-E	0.00317504099999999
ETS-1-R-V	0.234529284
FASN-R-V	-0.368680563
Fibronectin-R-V	-0.0945694960000001
FoxM1-R-V	0.0158282439999999
FOXO3a-R-C	0.24116916
FOXO3a_pS318_S321-R-C	0.00518310999999994
G6PD-M-V	0.136052488
GAB2-R-V	0.415440293
GAPDH-M-C	0.289850551
GATA3-M-V	0.265067405
GSK3-alpha-beta-M-V	-0.158531091
GSK3-alpha-beta_pS21_S9-R-V	-0.333138658
GSK3_pS9-R-V	-0.649256952
HER2-M-V	-0.192086324
HER2_pY1248-R-C	-0.191443893
HER3-R-V	-0.028262508
HER3_pY1289-R-C	-0.0540319890000001
Heregulin-R-V	-0.0483186760000001
HSP70-R-C	-0.143091098
IGFBP2-R-V	-0.70700088
INPP4B-R-V	0.164813296
IRS1-R-V	-0.046772493
JNK_pT183_pY185-R-V	-0.157883657
JNK2-R-C	0.217331159
Ku80-R-C	-0.050652145
Lck-R-V	0.891351527
LKB1-M-E	0.00951813199999996
MAPK_pT202_Y204-R-V	-0.190439409
MEK1-R-V	0.278742872
MEK1_pS217_S221-R-V	-0.051525005
MIG-6-M-V	0.150685706
Mre11-R-C	0.130943484
MSH2-M-V	-0.0289228980000003
MSH6-R-C	-0.139104649
mTOR-R-V	0.130739415
mTOR_pS2448-R-C	0.0169153580000001
MYH11-R-V	1.993829179
Myosin-IIa_pS1943-R-V	0.03951834
N-Cadherin-R-V	-0.108471249
N-Ras-M-V	-0.06651005
NDRG1_pT346-R-V	-0.482720275
NF-kB-p65_pS536-R-C	-0.142612869
NF2-R-C	-0.0302136970000001
Notch1-R-V	0.155739576
P-Cadherin-R-C	0.124652299
p21-R-V	-0.045395408
p27-R-V	0.33064553
p27_pT157-R-C	-0.139142012
p27_pT198-R-V	0.320808266
p38_MAPK-R-V	0.18909839
p38_pT180_Y182-R-V	-0.364576642
p53-R-E	0.0566348720000001
p62-LCK-ligand-M-C	-0.0660358249999999
p70S6K-R-V	0.206826496
p70S6K_pT389-R-V	-0.019525161
p90RSK-R-C	0.052145388
p90RSK_pT359_S363-R-C	-0.245158676
PAI-1-M-E	0.274065187
PARP_cleaved-M-E	0.147546276
Paxillin-R-C	-0.0665102990000001
PCNA-M-C	-0.0762812350000001
PDCD4-R-C	-0.0927222080000001
PDK1-R-V	-0.036180497
PDK1_pS241-R-V	0.042151713
PEA15-R-V	0.029055546
PEA15_pS116-R-V	0.118359679
PI3K-p110-alpha-R-C	0.052531055
PI3K-p85-R-V	0.564908978
PKC-alpha-M-V	0.593470766
PKC-alpha_pS657-R-C	0.824924644
PKC-delta_pS664-R-V	0.40630298
PKC-pan_BetaII_pS660-R-V	0.545395179
PR-R-V	0.087911528
PRAS40_pT246-R-V	-0.304850602
PRDX1-R-V	-0.086885593
PREX1-R-E	0.533956128
PTEN-R-V	0.296604018
Rab11-R-E	-0.01177159
Rab25-R-V	-0.115984238
Rad50-M-V	0.0678430330000001
Rad51-R-V	-0.10209383
Raptor-R-V	0.139974932
Rb-M-E	0.0246070269999998
Rb_pS807_S811-R-V	-0.564343888
RBM15-R-V	-0.070802113
Rictor-R-C	1.31172354
Rictor_pT1135-R-V	0.05195255
S6-R-E	-0.089629555
S6_pS235_S236-R-V	-0.890603549
S6_pS240_S244-R-V	-0.463001645
SCD-M-V	0.0210675379999999
SETD2-R-E	1.776009472
SF2-M-V	0.00652963600000023
Shc_pY317-R-E	-0.259272916
Smac-M-E	-0.138003752
Smad1-R-V	-0.146218846
Smad3-R-V	-0.022873754
Smad4-M-V	0
Snail-M-E	0.0681475600000003
Src-M-V	-0.26916681
Src_pY416-R-C	-0.179433571
Src_pY527-R-V	-0.354795248
STAT3_pY705-R-V	0.332635707
STAT5-alpha-R-V	0.868524079
Stathmin-R-V	-0.164704018
Syk-M-V	0.153366057
TAZ-R-V	0.193434746
TIGAR-R-V	-0.087353364
Transglutaminase-M-V	0.093063072
