Sample REF	EAD0873A-0639-48FC-B340-C009F8FC6984
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0282939200000001
14-3-3_epsilon-M-C	-0.133078133
14-3-3_zeta-R-V	-0.16978293
4E-BP1-R-V	0.00258657500000004
4E-BP1_pS65-R-V	-0.125262594
4E-BP1_pT37_T46-R-V	0.01007771
4E-BP1_pT70-R-V	-0.0592277199999999
53BP1-R-E	-0.340579705
A-Raf_pS299-R-C	-0.0877898899999999
ACC_pS79-R-V	-0.259992957
ACC1-R-E	-0.432038352
Acetyl-a-Tubulin-Lys40-R-C	-0.446830911
ACVRL1-R-C	0.021754262
ADAR1-M-V	-0.012609586
Akt-R-V	0.151599123
Akt_pS473-R-V	-0.689461594
Akt_pT308-R-V	-0.358147955
alpha-Catenin-M-V	-0.186827225
AMPK_alpha-R-C	-0.216077046
AMPK_pT172-R-V	-0.243824384
Annexin-1-M-E	-0.532704828
Annexin_VII-M-V	0.144205053
AR-R-V	-0.211095361
DIRAS3-M-E	0.018264094
ASNS-R-V	-0.848385725
ATM-R-E	0.558771791
B-Raf-M-C	0.262294643
Bad_pS112-R-V	-0.113839356
Bak-R-C	-0.0599064649999999
Bap1-c-4-M-E	-0.611262249
Bax-R-V	-0.245075916
Bcl-2-M-V	0.0750497750000003
Bcl-xL-R-V	-0.253918051
Beclin-G-C	-0.124852916
beta-Catenin-R-V	-0.200514258
Bid-R-C	-0.0549213499999999
Bim-R-V	0.42350798
BRCA2-R-C	-0.20574182
c-Jun_pS73-R-V	-0.111156165
c-Kit-R-V	0.184969902
c-Met-M-E	-0.337015122
c-Met_pY1235-R-V	-0.0729333430000001
c-Myc-R-C	0.0787882070000001
C-Raf-R-V	0.249651086
C-Raf_pS338-R-V	0.037682334
Caspase-7_cleavedD198-R-C	1.816738988
Caspase-8-M-E	0.137197174
Caveolin-1-R-V	-0.663281254
CD20-R-C	-0.0165696989999999
CD31-M-V	-0.0104192160000001
CD49b-M-V	0.224052485
CDK1-R-V	0.112135034
Chk1-M-C	0.585145696
Chk1_pS345-R-C	-0.148583069
Chk2-M-E	0.0325132909999999
Chk2_pT68-R-C	-0.0408262719999999
cIAP-R-V	-0.0984645319999999
Claudin-7-R-V	-1.574739984
Collagen_VI-R-V	0.056690889
Cyclin_B1-R-V	0.359676936
Cyclin_D1-R-V	-0.296710325
Cyclin_E1-M-V	-0.111565907
Cyclin_E2-R-C	-0.0902876679999999
DJ-1-R-E	-0.146187462
Dvl3-R-V	0.177482493
E-Cadherin-R-V	-0.810898411
eEF2-R-C	0.0297918930000001
eEF2K-R-V	-0.321520127
EGFR-R-V	3.465909707
EGFR_pY1068-R-C	2.674648205
EGFR_pY1173-R-V	0.494878109
eIF4E-R-V	0.0308119570000001
eIF4G-R-C	0.243649744
ER-alpha-R-V	-0.547411302
ER-alpha_pS118-R-V	-0.133186132
ERCC1-M-V	-0.0119653869999998
ERK2-R-E	0.177087954
ETS-1-R-V	0.019808742
FASN-R-V	-0.715583751
Fibronectin-R-V	-0.0731074169999999
FoxM1-R-V	0.853833558
FOXO3a-R-C	0.0633675259999997
FOXO3a_pS318_S321-R-C	-0.188117372
G6PD-M-V	-0.0136259740000002
GAB2-R-V	0.130413478
GAPDH-M-C	0.121450171
GATA3-M-V	0.17788053
GSK3-alpha-beta-M-V	0.130290628
GSK3-alpha-beta_pS21_S9-R-V	-0.140234606
GSK3_pS9-R-V	-0.485714573
HER2-M-V	-0.40331788
HER2_pY1248-R-C	0.677561259
HER3-R-V	0.274550468
HER3_pY1289-R-C	-0.128158336
Heregulin-R-V	0.208887514
HSP70-R-C	-0.554562728
IGFBP2-R-V	-0.333588586
INPP4B-R-V	-0.245381933
IRS1-R-V	0.253244443
JNK_pT183_pY185-R-V	-0.227081689
JNK2-R-C	0
Ku80-R-C	0.0639227570000001
Lck-R-V	0.680671265
LKB1-M-E	-0.0242031619999999
MAPK_pT202_Y204-R-V	-0.092916931
MEK1-R-V	0.046504684
MEK1_pS217_S221-R-V	0.012643767
MIG-6-M-V	0.142068227
Mre11-R-C	-0.0130463119999999
MSH2-M-V	-0.0246891870000001
MSH6-R-C	0.052530476
mTOR-R-V	-0.046112071
mTOR_pS2448-R-C	-0.316877684
MYH11-R-V	-0.154581978
Myosin-IIa_pS1943-R-V	0.276613461
N-Cadherin-R-V	-0.0941389399999999
N-Ras-M-V	-0.0359348309999999
NDRG1_pT346-R-V	0.0204203649999999
