Sample REF	ED4A2082-B683-4D56-A7D3-1136F0F1764F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.208236447
14-3-3_epsilon-M-C	0.0804666589999998
14-3-3_zeta-R-V	0.110468648
4E-BP1-R-V	0.221479825
4E-BP1_pS65-R-V	0.0269508779999998
4E-BP1_pT37_T46-R-V	0.187490397
4E-BP1_pT70-R-V	0.236295609
53BP1-R-E	-0.0860434470000002
A-Raf_pS299-R-C	0.0765959609999998
ACC_pS79-R-V	-0.0389661570000002
ACC1-R-E	-0.35737196
Acetyl-a-Tubulin-Lys40-R-C	-0.196986036
ACVRL1-R-C	-0.138360505
ADAR1-M-V	-0.00697214600000018
Akt-R-V	-0.388064759
Akt_pS473-R-V	1.58213781
Akt_pT308-R-V	1.623102894
alpha-Catenin-M-V	0.31591038
AMPK_alpha-R-C	-0.0794367200000001
AMPK_pT172-R-V	0.42991
Annexin-1-M-E	1.179476612
Annexin_VII-M-V	-0.155828441
AR-R-V	-0.0270023740000002
DIRAS3-M-E	-0.0943328270000002
ASNS-R-V	-0.19329777
ATM-R-E	-0.297818616
B-Raf-M-C	0.386701293
Bad_pS112-R-V	0.0929959919999999
Bak-R-C	-0.0967141460000001
Bap1-c-4-M-E	0.158508487
Bax-R-V	0.0456625559999999
Bcl-2-M-V	0.100114031
Bcl-xL-R-V	-0.123094118
Beclin-G-C	-0.13706653
beta-Catenin-R-V	1.146244801
Bid-R-C	-0.105220766
Bim-R-V	0.0810726159999998
BRCA2-R-C	-0.150466704
c-Jun_pS73-R-V	-0.231877255
c-Kit-R-V	0.137942572
c-Met-M-E	2.050062841
c-Met_pY1235-R-V	-0.0347775160000002
c-Myc-R-C	-0.234654942
C-Raf-R-V	0.142850255
C-Raf_pS338-R-V	-0.00412676200000017
Caspase-7_cleavedD198-R-C	-0.534374147
Caspase-8-M-E	1.397673713
Caveolin-1-R-V	-0.868460676
CD20-R-C	0.000993600999999789
CD31-M-V	0.0764871429999998
CD49b-M-V	0.0497770499999998
CDK1-R-V	0.0970297479999997
Chk1-M-C	-0.118152755000001
Chk1_pS345-R-C	0.249597436
Chk2-M-E	0.116691933
Chk2_pT68-R-C	0.0147625109999999
cIAP-R-V	-0.0875459490000001
Claudin-7-R-V	1.574324973
Collagen_VI-R-V	-0.0785284610000002
Cyclin_B1-R-V	0.672728106
Cyclin_D1-R-V	-0.184739325
Cyclin_E1-M-V	0.207701436
Cyclin_E2-R-C	0.0632984409999999
DJ-1-R-E	0.0168672359999998
Dvl3-R-V	0.105202524
E-Cadherin-R-V	0.895278753
eEF2-R-C	0.111354314
eEF2K-R-V	0.691730493
EGFR-R-V	0.405586825
EGFR_pY1068-R-C	0.296184507
EGFR_pY1173-R-V	-0.0745221340000002
eIF4E-R-V	0.318261276
eIF4G-R-C	0.552933911
ER-alpha-R-V	0.198512525
ER-alpha_pS118-R-V	-0.0702965030000001
ERCC1-M-V	-0.294094487
ERK2-R-E	-0.18740916
ETS-1-R-V	-0.160652523
FASN-R-V	-0.403324905
Fibronectin-R-V	-0.385075479
FoxM1-R-V	0.22635819
FOXO3a-R-C	0.157227157
FOXO3a_pS318_S321-R-C	0.134480359
