Sample REF	ED5836F8-2919-4EC1-85ED-0859F071B5A9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.102730634
14-3-3_epsilon-M-C	0.283305934
14-3-3_zeta-R-V	0.44882477
4E-BP1-R-V	0.349027348
4E-BP1_pS65-R-V	0.027006373
4E-BP1_pT37_T46-R-V	-0.060091005
4E-BP1_pT70-R-V	0.08846197
53BP1-R-E	0.169701723
A-Raf_pS299-R-C	0.058659893
ACC_pS79-R-V	-0.467270372
ACC1-R-E	0.523484195
Acetyl-a-Tubulin-Lys40-R-C	-1.812341521
ACVRL1-R-C	0.410557832
ADAR1-M-V	0.077237081
Akt-R-V	-0.865693294
Akt_pS473-R-V	-0.369264608
Akt_pT308-R-V	-0.390546459
alpha-Catenin-M-V	0.0262588080000001
AMPK_alpha-R-C	0.118348194
AMPK_pT172-R-V	-0.554549843
Annexin-1-M-E	0.362231652
Annexin_VII-M-V	0.212480498
AR-R-V	0.257647987
DIRAS3-M-E	0.041432405
ASNS-R-V	-1.31745208
ATM-R-E	-0.535315476
B-Raf-M-C	0.238013959
Bad_pS112-R-V	-0.1827562
Bak-R-C	-0.03753667
Bap1-c-4-M-E	0.375947396
Bax-R-V	0.256626626
Bcl-2-M-V	0.151313287
Bcl-xL-R-V	0.100587828
Beclin-G-C	0.170524294
beta-Catenin-R-V	-0.347552953
Bid-R-C	-0.067964787
Bim-R-V	1.373935331
BRCA2-R-C	0.13903391
c-Jun_pS73-R-V	0.295934789
c-Kit-R-V	0.702117373
c-Met-M-E	0.439463441
c-Met_pY1235-R-V	0.066756209
c-Myc-R-C	-0.011157641
C-Raf-R-V	-0.209155731
C-Raf_pS338-R-V	-0.097600251
Caspase-7_cleavedD198-R-C	0.298236741
Caspase-8-M-E	0.415624873
Caveolin-1-R-V	1.230386635
CD20-R-C	0.00625099699999992
CD31-M-V	0.146768154
CD49b-M-V	-0.0291380850000001
CDK1-R-V	-0.0437361790000002
Chk1-M-C	-0.135293179
Chk1_pS345-R-C	-0.212544438
Chk2-M-E	-0.0866509599999999
Chk2_pT68-R-C	-0.032397802
cIAP-R-V	0.063893773
Claudin-7-R-V	0.880287745
Collagen_VI-R-V	0.025358703
Cyclin_B1-R-V	0.603793881
Cyclin_D1-R-V	-0.366153722
Cyclin_E1-M-V	-0.330545129
Cyclin_E2-R-C	0.165267975
DJ-1-R-E	0.70612362
Dvl3-R-V	-0.418670512
E-Cadherin-R-V	0.33692636
eEF2-R-C	-0.213982848
eEF2K-R-V	-0.175296308
EGFR-R-V	0.267834941
EGFR_pY1068-R-C	0.166995068
EGFR_pY1173-R-V	-0.00635749199999996
eIF4E-R-V	0.462412786
eIF4G-R-C	0.27584593
ER-alpha-R-V	1.693271887
ER-alpha_pS118-R-V	0.120535605
ERCC1-M-V	-0.265714586
ERK2-R-E	-0.811812921
ETS-1-R-V	0
FASN-R-V	0.353463518
Fibronectin-R-V	0.485246959
FoxM1-R-V	-0.162141419
FOXO3a-R-C	0.0806800380000001
FOXO3a_pS318_S321-R-C	0.1187471
G6PD-M-V	-0.174703627
GAB2-R-V	-0.364670448
GAPDH-M-C	0.561755903
GATA3-M-V	0.226562217
GSK3-alpha-beta-M-V	-0.0133531040000001
