Sample REF	F287E787-B947-4C1D-9B34-66D426732136
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.209974993
14-3-3_epsilon-M-C	0.0193154969999999
14-3-3_zeta-R-V	-0.070138138
4E-BP1-R-V	0.222610882
4E-BP1_pS65-R-V	-0.134564854
4E-BP1_pT37_T46-R-V	0.0685270959999998
4E-BP1_pT70-R-V	-0.214565854
53BP1-R-E	0.405578468
A-Raf_pS299-R-C	0.0279538549999999
ACC_pS79-R-V	0.011070169
ACC1-R-E	-0.0696789040000002
Acetyl-a-Tubulin-Lys40-R-C	-0.221444975
ACVRL1-R-C	-0.0820401980000001
ADAR1-M-V	0.215783794
Akt-R-V	-0.0957423120000002
Akt_pS473-R-V	-0.0102359830000002
Akt_pT308-R-V	-0.396271182
alpha-Catenin-M-V	-0.00925151300000004
AMPK_alpha-R-C	-0.294422859
AMPK_pT172-R-V	0.0560001849999999
Annexin-1-M-E	1.223069514
Annexin_VII-M-V	-0.593430766
AR-R-V	0.00411948999999989
DIRAS3-M-E	-0.1233359
ASNS-R-V	-0.0137183360000001
ATM-R-E	-1.006669941
B-Raf-M-C	0.296313958
Bad_pS112-R-V	0.501973936
Bak-R-C	0.323639784
Bap1-c-4-M-E	0.663515607
Bax-R-V	0.0423861069999999
Bcl-2-M-V	-0.465335899
Bcl-xL-R-V	-0.149776817
Beclin-G-C	0.142350444
beta-Catenin-R-V	0.206840154
Bid-R-C	-0.180099072
Bim-R-V	0.522689457
BRCA2-R-C	-0.220593497
c-Jun_pS73-R-V	0.679694256
c-Kit-R-V	-0.266302027
c-Met-M-E	0.179152138
c-Met_pY1235-R-V	0.0446220489999999
c-Myc-R-C	-0.00163474600000002
C-Raf-R-V	0.0192139449999998
C-Raf_pS338-R-V	0.033837295
Caspase-7_cleavedD198-R-C	0.307698609
Caspase-8-M-E	-0.130176449
Caveolin-1-R-V	-0.608987885
CD20-R-C	0.146215961
CD31-M-V	-0.104960051
CD49b-M-V	0.583902619
CDK1-R-V	0.0548150469999998
Chk1-M-C	-0.308418642
Chk1_pS345-R-C	0.290609238
Chk2-M-E	0.0177656239999998
Chk2_pT68-R-C	-0.0453490120000001
cIAP-R-V	0.22263846
Claudin-7-R-V	1.246411331
Collagen_VI-R-V	-0.546357318
Cyclin_B1-R-V	0.772539566
Cyclin_D1-R-V	-0.486936351
Cyclin_E1-M-V	0.176522398
Cyclin_E2-R-C	0.24594714
DJ-1-R-E	-0.128061643
Dvl3-R-V	0.129560046
E-Cadherin-R-V	0.430684241
eEF2-R-C	-0.174330462
eEF2K-R-V	0.275054077
EGFR-R-V	-0.0251092570000001
EGFR_pY1068-R-C	0.329717044
EGFR_pY1173-R-V	-0.0224959410000001
eIF4E-R-V	-0.0490214940000001
eIF4G-R-C	0.646450898
ER-alpha-R-V	-0.703488717
ER-alpha_pS118-R-V	0.0908829019999999
ERCC1-M-V	0.215752026
ERK2-R-E	-0.187323299
ETS-1-R-V	-0.0631164890000001
FASN-R-V	0.871302527
Fibronectin-R-V	-0.61643023
FoxM1-R-V	0.81346428
FOXO3a-R-C	-0.0347430330000001
FOXO3a_pS318_S321-R-C	0.195899453
G6PD-M-V	-0.158209282
GAB2-R-V	0.034133016
GAPDH-M-C	0.381454515
GATA3-M-V	-0.271431075
GSK3-alpha-beta-M-V	0.0877737919999999
GSK3-alpha-beta_pS21_S9-R-V	0.376001088
GSK3_pS9-R-V	0.240985074
HER2-M-V	0.344529813
HER2_pY1248-R-C	0.195512738
HER3-R-V	1.434394149
HER3_pY1289-R-C	-0.0356920560000001
Heregulin-R-V	-0.127903332
HSP70-R-C	-0.0140139460000001
IGFBP2-R-V	0.8338917
INPP4B-R-V	-0.282631158
IRS1-R-V	-0.115345724
JNK_pT183_pY185-R-V	0
JNK2-R-C	0.342214946
Ku80-R-C	-0.041318321
Lck-R-V	-0.00570503700000002
LKB1-M-E	-0.177481607
MAPK_pT202_Y204-R-V	0.767263643
MEK1-R-V	0.693951095
MEK1_pS217_S221-R-V	0.187527423
