Sample REF	F2BA7AA4-9BFA-463E-A2A8-EC141BC66ACA
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0258595240000001
14-3-3_epsilon-M-C	0.01644279
14-3-3_zeta-R-V	0.0695341110000001
4E-BP1-R-V	-0.129953893
4E-BP1_pS65-R-V	-0.092252339
4E-BP1_pT37_T46-R-V	0.259452739
4E-BP1_pT70-R-V	-0.054100085
53BP1-R-E	-0.385783418
A-Raf_pS299-R-C	0.094088677
ACC_pS79-R-V	-0.237625231
ACC1-R-E	-0.183184929
Acetyl-a-Tubulin-Lys40-R-C	-0.672461061
ACVRL1-R-C	0.043534206
ADAR1-M-V	-0.0467594539999999
Akt-R-V	-0.275861897
Akt_pS473-R-V	0.876926879
Akt_pT308-R-V	0.522476313
alpha-Catenin-M-V	0.0112238149999998
AMPK_alpha-R-C	-0.123874193
AMPK_pT172-R-V	0.016916071
Annexin-1-M-E	0.969742003
Annexin_VII-M-V	-0.0376723420000001
AR-R-V	-0.262713043
DIRAS3-M-E	0.162103586
ASNS-R-V	-0.729845116
ATM-R-E	-0.402590065
B-Raf-M-C	-0.38196335
Bad_pS112-R-V	0.0770713390000001
Bak-R-C	0.166222528
Bap1-c-4-M-E	-0.433246988
Bax-R-V	-0.082452289
Bcl-2-M-V	-0.280079218
Bcl-xL-R-V	0.028559718
Beclin-G-C	-0.221163406
beta-Catenin-R-V	0.119077375
Bid-R-C	0.119355533
Bim-R-V	-0.466714937
BRCA2-R-C	0.101152429
c-Jun_pS73-R-V	0.414928917
c-Kit-R-V	0.0562869470000001
c-Met-M-E	1.483222281
c-Met_pY1235-R-V	0.0313913170000001
c-Myc-R-C	0.366458159
C-Raf-R-V	-0.207710386
C-Raf_pS338-R-V	0.0767665220000001
Caspase-7_cleavedD198-R-C	-0.360486519
Caspase-8-M-E	0.973914883
Caveolin-1-R-V	-0.547456996
CD20-R-C	-0.119332879
CD31-M-V	-0.0277943909999999
CD49b-M-V	0.0165732960000001
CDK1-R-V	0.277498224
Chk1-M-C	-0.285032793
Chk1_pS345-R-C	-0.109063769
Chk2-M-E	-0.20496319
Chk2_pT68-R-C	0.038319053
cIAP-R-V	-0.088274236
Claudin-7-R-V	-0.015633618
Collagen_VI-R-V	0.167967385
Cyclin_B1-R-V	0.199702628
Cyclin_D1-R-V	0.272248571
Cyclin_E1-M-V	-0.387403767
Cyclin_E2-R-C	-0.205857341
DJ-1-R-E	0.021179965
Dvl3-R-V	-0.0774793939999999
E-Cadherin-R-V	-0.784938786
eEF2-R-C	-0.273121305
eEF2K-R-V	-1.12652499
EGFR-R-V	-0.260402753
EGFR_pY1068-R-C	0.250069485
EGFR_pY1173-R-V	0.01904192
eIF4E-R-V	0.00491484300000006
eIF4G-R-C	0.0364738719999999
ER-alpha-R-V	-0.122327628
ER-alpha_pS118-R-V	-0.197219982
ERCC1-M-V	-0.229008716
ERK2-R-E	-0.184236939
ETS-1-R-V	-0.03193866
FASN-R-V	-0.455288861
Fibronectin-R-V	1.35667724
FoxM1-R-V	-0.0545121079999998
FOXO3a-R-C	0.0159896159999998
FOXO3a_pS318_S321-R-C	0.163058869
G6PD-M-V	-0.268627499
GAB2-R-V	-0.097107663
GAPDH-M-C	0
GATA3-M-V	-0.0562032519999999
GSK3-alpha-beta-M-V	0.010843877
GSK3-alpha-beta_pS21_S9-R-V	0.447466838
GSK3_pS9-R-V	0.644243342
HER2-M-V	-0.487183205
HER2_pY1248-R-C	0.0827045740000001
HER3-R-V	-0.251017674
HER3_pY1289-R-C	0.075686385
Heregulin-R-V	0.50321129
HSP70-R-C	0.880887215
IGFBP2-R-V	0.508404549
INPP4B-R-V	-0.293034161
IRS1-R-V	0.038585349
JNK_pT183_pY185-R-V	0.363650455
JNK2-R-C	-0.241231626
Ku80-R-C	-0.57535184
Lck-R-V	-0.140790335
LKB1-M-E	0.113459662
MAPK_pT202_Y204-R-V	1.472321774
MEK1-R-V	0.237308873
MEK1_pS217_S221-R-V	0.339296136
MIG-6-M-V	0.0444240270000001
Mre11-R-C	0.0860286220000001
MSH2-M-V	-0.32001422
MSH6-R-C	-0.908318739
mTOR-R-V	-0.61985122
mTOR_pS2448-R-C	-0.135144977
MYH11-R-V	1.301498498
Myosin-IIa_pS1943-R-V	0.403880139
N-Cadherin-R-V	0.0261237030000001
N-Ras-M-V	0.158445111
NDRG1_pT346-R-V	1.329513551
NF-kB-p65_pS536-R-C	-0.10852007
NF2-R-C	-0.031121332
Notch1-R-V	-0.139226955
P-Cadherin-R-C	-0.257273176
p21-R-V	0.678895111
p27-R-V	-0.160293294
p27_pT157-R-C	-0.165922755
p27_pT198-R-V	-0.191162157
p38_MAPK-R-V	0.231557781
p38_pT180_Y182-R-V	0.885656891
p53-R-E	0.0744669530000001
p62-LCK-ligand-M-C	-0.0721298950000001
p70S6K-R-V	-0.329622259
p70S6K_pT389-R-V	-0.0913253789999998
p90RSK-R-C	-0.38921129
p90RSK_pT359_S363-R-C	0.345966509
PAI-1-M-E	0.860004899
PARP_cleaved-M-E	1.62479731
Paxillin-R-C	0.48090163
PCNA-M-C	-0.317033468
PDCD4-R-C	0.559946791
PDK1-R-V	-0.233829432
PDK1_pS241-R-V	-0.245588966
PEA15-R-V	0.146993286
PEA15_pS116-R-V	-0.280873772
PI3K-p110-alpha-R-C	0.047419061
PI3K-p85-R-V	0.0882989980000001
PKC-alpha-M-V	-0.225491597
PKC-alpha_pS657-R-C	-0.555332865
PKC-delta_pS664-R-V	-0.288227697
PKC-pan_BetaII_pS660-R-V	0.022298819
PR-R-V	-0.0767393369999999
PRAS40_pT246-R-V	-0.0264003749999999
PRDX1-R-V	-0.350380157
PREX1-R-E	0.111395232
PTEN-R-V	0.038229481
Rab11-R-E	0.0385445170000001
Rab25-R-V	0.0678848229999999
Rad50-M-V	-0.0882402749999999
Rad51-R-V	0.178428998
Raptor-R-V	-0.188001787
Rb-M-E	0.559962172
Rb_pS807_S811-R-V	0.476636744
RBM15-R-V	-0.89921729
Rictor-R-C	0.468563182
Rictor_pT1135-R-V	-0.168071294
S6-R-E	-0.507034228
S6_pS235_S236-R-V	1.048710687
S6_pS240_S244-R-V	0.377934871
SCD-M-V	0.138325884
SETD2-R-E	3.145031795
SF2-M-V	-0.235484142
Shc_pY317-R-E	0.176490998
Smac-M-E	0.140660326
Smad1-R-V	-0.137574445
Smad3-R-V	0.02417572
Smad4-M-V	-0.21222823
Snail-M-E	1.652203298
Src-M-V	0.0520179000000001
Src_pY416-R-C	0.644184612
Src_pY527-R-V	0.5000682
STAT3_pY705-R-V	0.169670554
STAT5-alpha-R-V	-0.865954023
Stathmin-R-V	0.096007324
Syk-M-V	-0.0507618039999999
TAZ-R-V	0.153135616
TIGAR-R-V	-0.159496106
Transglutaminase-M-V	-0.300645008
TFRC-R-V	-0.412752403
TSC1-R-C	-0.127828216
TTF1-R-V	-0.194911981
Tuberin-R-E	-0.470094625
Tuberin_pT1462-R-V	-0.071346749
VEGFR2-R-V	0.31329799
EPPK1-M-E	-1.074081929
XBP1-G-C	-0.332033113
XRCC1-R-E	-0.427086196
YAP-R-E	0.11798651
YAP_pS127-R-E	0.276641657
YB-1-R-V	0.099200152
YB-1_pS102-R-V	0.407453573
JAB1-M-C	0.04785797
PARP1-R-V	-0.495391523
A-Raf-R-V	0.297087291
ARID1A-R-C	-0.13276981
