Sample REF	F54758E3-15BA-49F2-8F6A-B68B540D499C
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0114096009999999
14-3-3_epsilon-M-C	0.136019685
14-3-3_zeta-R-V	0.181780542
4E-BP1-R-V	0.028218266
4E-BP1_pS65-R-V	0.311073798
4E-BP1_pT37_T46-R-V	0.838081731
4E-BP1_pT70-R-V	0.120403909
53BP1-R-E	-0.89223594
A-Raf_pS299-R-C	0.051188812
ACC_pS79-R-V	-0.321435595
ACC1-R-E	-0.329705242
Acetyl-a-Tubulin-Lys40-R-C	-0.526773619
ACVRL1-R-C	0.0572546419999999
ADAR1-M-V	-0.0931478449999999
Akt-R-V	-0.110797014
Akt_pS473-R-V	0.90963334
Akt_pT308-R-V	0.697494314
alpha-Catenin-M-V	-0.230877411
AMPK_alpha-R-C	0.031869495
AMPK_pT172-R-V	0.0546178349999999
Annexin-1-M-E	0.210154901
Annexin_VII-M-V	-0.00464755600000016
AR-R-V	-0.35523619
DIRAS3-M-E	0.02362824
ASNS-R-V	0.508079216
ATM-R-E	-0.025118026
B-Raf-M-C	-0.048284005
Bad_pS112-R-V	-0.371034529
Bak-R-C	-0.055019285
Bap1-c-4-M-E	-0.20383396
Bax-R-V	-0.028019164
Bcl-2-M-V	-0.257372391
Bcl-xL-R-V	-0.202321702
Beclin-G-C	-0.503749143
beta-Catenin-R-V	-0.644555825
Bid-R-C	0.024298842
Bim-R-V	-0.141078188
BRCA2-R-C	-0.0362115040000002
c-Jun_pS73-R-V	-0.271706128
c-Kit-R-V	-0.058114815
c-Met-M-E	0.10289576
c-Met_pY1235-R-V	-0.078732096
c-Myc-R-C	-0.174909963
C-Raf-R-V	0.149483644
C-Raf_pS338-R-V	0.171219876
Caspase-7_cleavedD198-R-C	1.818304066
Caspase-8-M-E	-0.123852265
Caveolin-1-R-V	0.889572704
CD20-R-C	-0.14509169
CD31-M-V	0.0295725819999998
CD49b-M-V	-0.0291781330000001
CDK1-R-V	0.0692839079999998
Chk1-M-C	-0.100150848
Chk1_pS345-R-C	-0.139169814
Chk2-M-E	-0.306775446
Chk2_pT68-R-C	-0.010092486
cIAP-R-V	0.046947675
Claudin-7-R-V	-0.586977878
Collagen_VI-R-V	0.02055013
Cyclin_B1-R-V	0.402551902
Cyclin_D1-R-V	0.280705977
Cyclin_E1-M-V	-0.486586829
Cyclin_E2-R-C	-0.201291177
DJ-1-R-E	-0.037407828
Dvl3-R-V	-0.0598167800000001
E-Cadherin-R-V	-1.194345513
eEF2-R-C	0.115843714
eEF2K-R-V	-1.505308726
EGFR-R-V	-0.014808346
EGFR_pY1068-R-C	-0.0166799379999996
EGFR_pY1173-R-V	-0.048044153
eIF4E-R-V	-0.198404287
eIF4G-R-C	-0.164904836
ER-alpha-R-V	-0.674472478
ER-alpha_pS118-R-V	-0.210625169
ERCC1-M-V	0.12080233
ERK2-R-E	0.105361569
ETS-1-R-V	0.178635731
FASN-R-V	0.089238783
Fibronectin-R-V	0.324901395
FoxM1-R-V	-0.264806166
FOXO3a-R-C	-0.0203817040000003
FOXO3a_pS318_S321-R-C	-0.190441444
G6PD-M-V	-0.0463503230000002
GAB2-R-V	0.101757827
GAPDH-M-C	0.029460811
GATA3-M-V	0.0990734150000001
GSK3-alpha-beta-M-V	0.116516228
GSK3-alpha-beta_pS21_S9-R-V	0.367818636
GSK3_pS9-R-V	0.967372576
HER2-M-V	-0.743250043
HER2_pY1248-R-C	-0.125682922
HER3-R-V	-0.537706608
HER3_pY1289-R-C	0.163969915
Heregulin-R-V	0.028881951
HSP70-R-C	0.26387598
IGFBP2-R-V	-0.750223572
INPP4B-R-V	0.28140676
IRS1-R-V	-0.0425697810000001
JNK_pT183_pY185-R-V	-0.120396159
JNK2-R-C	-0.0492991219999999
Ku80-R-C	-0.440836961
Lck-R-V	0.726999563
LKB1-M-E	-0.00960507899999991
MAPK_pT202_Y204-R-V	0.626677544
MEK1-R-V	0.093519558
MEK1_pS217_S221-R-V	0.139216989
MIG-6-M-V	0.109320945
Mre11-R-C	-0.005450864
MSH2-M-V	-0.155934021
MSH6-R-C	-0.452776948
mTOR-R-V	0.150989586
mTOR_pS2448-R-C	0.266875619
MYH11-R-V	-0.102017816
Myosin-IIa_pS1943-R-V	0.269478565
N-Cadherin-R-V	0.181780542
N-Ras-M-V	0.154311125
NDRG1_pT346-R-V	0.418680041
NF-kB-p65_pS536-R-C	-0.118478494
NF2-R-C	-0.228254497
Notch1-R-V	-0.559546905
P-Cadherin-R-C	0.035926611
p21-R-V	0.73087955
p27-R-V	-0.218901742
p27_pT157-R-C	-0.043784255
p27_pT198-R-V	-0.076356377
p38_MAPK-R-V	0.437822336
p38_pT180_Y182-R-V	0.00185917099999999
p53-R-E	0.104891164
p62-LCK-ligand-M-C	-0.263501798
p70S6K-R-V	0.048275108
p70S6K_pT389-R-V	0.550885303
p90RSK-R-C	0.021339753
p90RSK_pT359_S363-R-C	0.0643459290000001
PAI-1-M-E	1.96019816
PARP_cleaved-M-E	-0.234646436
Paxillin-R-C	0.212071364
PCNA-M-C	-0.301313173
PDCD4-R-C	-0.10607988
PDK1-R-V	0.191750727
PDK1_pS241-R-V	0.262394965
PEA15-R-V	0.057744677
PEA15_pS116-R-V	-0.00203741600000001
PI3K-p110-alpha-R-C	-0.104093913
PI3K-p85-R-V	0.361637731
PKC-alpha-M-V	0.232169175
PKC-alpha_pS657-R-C	0.408734163
PKC-delta_pS664-R-V	0.121968481
PKC-pan_BetaII_pS660-R-V	0.475372462
PR-R-V	0.00439035900000001
PRAS40_pT246-R-V	-0.125969594
PRDX1-R-V	-0.065242275
PREX1-R-E	0.911554679
PTEN-R-V	0.0555581389999999
Rab11-R-E	-0.0707194839999999
Rab25-R-V	-1.102164639
Rad50-M-V	-0.195979712
Rad51-R-V	0.126624035
Raptor-R-V	0.027119525
Rb-M-E	-0.0458627870000002
Rb_pS807_S811-R-V	0.160293178
RBM15-R-V	-0.161522892
Rictor-R-C	-0.191505002
Rictor_pT1135-R-V	0.130939633
S6-R-E	0.091291718
S6_pS235_S236-R-V	1.388680831
S6_pS240_S244-R-V	1.172215511
SCD-M-V	0.0484309689999999
SETD2-R-E	-0.129874929
SF2-M-V	-0.00598013699999972
Shc_pY317-R-E	0.11781941
Smac-M-E	-0.238487885
Smad1-R-V	-0.220197584
Smad3-R-V	-0.121317384
Smad4-M-V	-0.16521943
Snail-M-E	-0.362588172
Src-M-V	0.028082852
Src_pY416-R-C	1.228119685
Src_pY527-R-V	0.533958805
STAT3_pY705-R-V	0.385436145
STAT5-alpha-R-V	0.380288839
Stathmin-R-V	-0.006931983
Syk-M-V	0.51908671
TAZ-R-V	0.0748400949999999
TIGAR-R-V	-0.0732062900000001
Transglutaminase-M-V	0.577565378
TFRC-R-V	-0.71706468
TSC1-R-C	0.167173388
TTF1-R-V	0.0170799160000001
Tuberin-R-E	0.085739985
Tuberin_pT1462-R-V	0.127412833
VEGFR2-R-V	0.319506556
EPPK1-M-E	0.376608662
XBP1-G-C	-0.553491281
XRCC1-R-E	-0.307343523
YAP-R-E	-0.147461933
YAP_pS127-R-E	-0.989095474
YB-1-R-V	-0.12085543
YB-1_pS102-R-V	-0.12417774
JAB1-M-C	-0.127455222
PARP1-R-V	-0.308470458
A-Raf-R-V	0.175941519
ARID1A-R-C	-0.260427233
B-Raf_pS445-R-V	-0.00120519200000002
Bcl2A1-R-V	0.090187368
BRD4-R-V	-0.492314261
c-Abl-R-V	0.04098428
Caspase-3-R-C	-0.0751961640000001
CD26-R-V	-0.0379948770000001
Chk1_pS296-R-V	0.19017655
COG3-R-V	-0.423749143
DUSP4-R-V	0.317998058
ERCC5-R-C	0.317785255
IGF1R_pY1135_Y1136-R-V	0.0762766390000001
IRF-1-R-C	-0.266210459
Jak2-R-V	0
p16_INK4a-R-V	0.388762311
SHP-2_pY542-R-C	0.65843814
CDK1_pY15-R-C	0.848478313
