Sample REF	F6177AB7-60E5-414C-87A0-80D3AA346E5D
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.549761563
14-3-3_epsilon-M-C	0.13064224
14-3-3_zeta-R-V	0.45302487
4E-BP1-R-V	0.643926927
4E-BP1_pS65-R-V	0.137461723
4E-BP1_pT37_T46-R-V	-0.300031514
4E-BP1_pT70-R-V	0.420607576
53BP1-R-E	-0.438664275
A-Raf_pS299-R-C	-0.0827467069999999
ACC_pS79-R-V	-0.299234398
ACC1-R-E	0.344687222
Acetyl-a-Tubulin-Lys40-R-C	-0.17939135
ACVRL1-R-C	0.656390183
ADAR1-M-V	0.201391988
Akt-R-V	-1.997294228
Akt_pS473-R-V	-1.044266953
Akt_pT308-R-V	-0.219504327
alpha-Catenin-M-V	-0.0280232770000002
AMPK_alpha-R-C	-0.077830112
AMPK_pT172-R-V	-0.232832704
Annexin-1-M-E	0.990537803
Annexin_VII-M-V	0
AR-R-V	-0.457047111
DIRAS3-M-E	0.198826686
ASNS-R-V	-0.174691229
ATM-R-E	-0.556076233
B-Raf-M-C	-0.504639095
Bad_pS112-R-V	-0.437790639
Bak-R-C	-0.0855881069999997
Bap1-c-4-M-E	-1.159801006
Bax-R-V	0.326297713
Bcl-2-M-V	-0.161085601
Bcl-xL-R-V	0.366025035
Beclin-G-C	0.205017073
beta-Catenin-R-V	-0.555125413
Bid-R-C	0.547957311
Bim-R-V	0.319359063
BRCA2-R-C	0.267975821
c-Jun_pS73-R-V	-0.53692824
c-Kit-R-V	0.249673925
c-Met-M-E	-0.720142584
c-Met_pY1235-R-V	0.351477859
c-Myc-R-C	0.685382708
C-Raf-R-V	-0.167388587
C-Raf_pS338-R-V	0.29379429
Caspase-7_cleavedD198-R-C	-0.236123495
Caspase-8-M-E	-0.725525311
Caveolin-1-R-V	0.062663728
CD20-R-C	0.347320869
CD31-M-V	-0.507107132
CD49b-M-V	0.306991495
CDK1-R-V	-0.19726531
Chk1-M-C	-0.927885245
Chk1_pS345-R-C	-0.615402518
Chk2-M-E	-0.220667628
Chk2_pT68-R-C	-0.0347131460000001
cIAP-R-V	0.0828835379999999
Claudin-7-R-V	0.548615552
Collagen_VI-R-V	1.112763446
Cyclin_B1-R-V	0.287320827
Cyclin_D1-R-V	0.651975099
Cyclin_E1-M-V	0.87516246
Cyclin_E2-R-C	0.14638003
DJ-1-R-E	0.400641175
Dvl3-R-V	0.439660759
E-Cadherin-R-V	-1.129861873
eEF2-R-C	0.413917502
eEF2K-R-V	-0.368012979
EGFR-R-V	0.397041612
EGFR_pY1068-R-C	-0.114154013
EGFR_pY1173-R-V	0.330598224
eIF4E-R-V	0.159694624
eIF4G-R-C	-0.243718651
ER-alpha-R-V	-0.76909455
ER-alpha_pS118-R-V	-0.177515091
ERCC1-M-V	-1.104531304
ERK2-R-E	0.0904182650000001
ETS-1-R-V	0.507988863
FASN-R-V	0.741932453
Fibronectin-R-V	2.075945415
FoxM1-R-V	0.109820891
FOXO3a-R-C	-0.247212793
FOXO3a_pS318_S321-R-C	-0.163621625
G6PD-M-V	-0.600972119
GAB2-R-V	0.0497586970000001
GAPDH-M-C	0.521200052
GATA3-M-V	-0.452255581
GSK3-alpha-beta-M-V	-0.0702043870000002
GSK3-alpha-beta_pS21_S9-R-V	-0.488050977
GSK3_pS9-R-V	-1.122970351
HER2-M-V	0.102237578
HER2_pY1248-R-C	0.188918979
HER3-R-V	-0.702864027
HER3_pY1289-R-C	0.391615021
Heregulin-R-V	0.231611487
HSP70-R-C	0.818845519
IGFBP2-R-V	0.35500768
INPP4B-R-V	-0.190145252
IRS1-R-V	0.0768141370000002
JNK_pT183_pY185-R-V	-0.278687599
JNK2-R-C	-0.423915972
Ku80-R-C	-0.667431865
Lck-R-V	-0.097388332
LKB1-M-E	0.264905536
MAPK_pT202_Y204-R-V	0.256943724
MEK1-R-V	0.213362871
MEK1_pS217_S221-R-V	0.36362931
MIG-6-M-V	0.64964323
Mre11-R-C	0.626364308
MSH2-M-V	-0.845447899
MSH6-R-C	-0.635255808
mTOR-R-V	-0.861131118
mTOR_pS2448-R-C	-0.727184039
MYH11-R-V	-0.151194953
Myosin-IIa_pS1943-R-V	0.563250986
N-Cadherin-R-V	0.445026906
N-Ras-M-V	0.359645792
NDRG1_pT346-R-V	0.176201365
NF-kB-p65_pS536-R-C	0.078900338
NF2-R-C	-0.020736943
Notch1-R-V	0.345152747
P-Cadherin-R-C	-0.21715691
p21-R-V	-0.80928116
p27-R-V	0.22117401
p27_pT157-R-C	-0.110546114
p27_pT198-R-V	0.3541712
p38_MAPK-R-V	-0.879373942
p38_pT180_Y182-R-V	-0.985843857
p53-R-E	0.0155815150000003
p62-LCK-ligand-M-C	0.0244607620000001
p70S6K-R-V	-0.568008709
p70S6K_pT389-R-V	0.12601695
p90RSK-R-C	-1.008493882
p90RSK_pT359_S363-R-C	-0.0541607229999999
PAI-1-M-E	2.358790387
PARP_cleaved-M-E	-0.411589714
Paxillin-R-C	0.998864849
PCNA-M-C	-0.052644342
PDCD4-R-C	-0.884564679
PDK1-R-V	-0.128371115
PDK1_pS241-R-V	-0.750999129
PEA15-R-V	0.747060514
PEA15_pS116-R-V	0.25597901
PI3K-p110-alpha-R-C	-0.00392700700000004
PI3K-p85-R-V	-0.251996114
PKC-alpha-M-V	-0.367794775
PKC-alpha_pS657-R-C	-1.019700741
PKC-delta_pS664-R-V	-0.930834236
PKC-pan_BetaII_pS660-R-V	-2.210712881
PR-R-V	0.0714917769999999
PRAS40_pT246-R-V	-0.423436257
PRDX1-R-V	0.808520732
PREX1-R-E	-0.344264227
PTEN-R-V	-1.323027017
Rab11-R-E	0.522413701
Rab25-R-V	0.103829834
Rad50-M-V	0.0095248859999999
Rad51-R-V	0.952368402
Raptor-R-V	0.972394155
Rb-M-E	0.0401752339999999
Rb_pS807_S811-R-V	-0.261695867
RBM15-R-V	-1.269872303
Rictor-R-C	-0.240802676
Rictor_pT1135-R-V	0.538201716
S6-R-E	0.53355972
S6_pS235_S236-R-V	0.42414672
S6_pS240_S244-R-V	0.0407563240000004
SCD-M-V	-0.186433932
SETD2-R-E	0.302083704
SF2-M-V	-3.356014214
Shc_pY317-R-E	-0.0994681349999997
Smac-M-E	-0.0354000590000001
Smad1-R-V	-0.188787661
Smad3-R-V	0.427335475
Smad4-M-V	0.0246598660000001
Snail-M-E	-0.966962678
Src-M-V	-0.0872023259999999
Src_pY416-R-C	-1.909569364
Src_pY527-R-V	-1.083243175
STAT3_pY705-R-V	-0.561266859
STAT5-alpha-R-V	-1.728988512
Stathmin-R-V	0.612488263
Syk-M-V	-0.0298510189999999
TAZ-R-V	0.727561048
TIGAR-R-V	0.259308896
Transglutaminase-M-V	0.156703779
TFRC-R-V	0.862320413
TSC1-R-C	-0.822620114
TTF1-R-V	0.0223294810000001
Tuberin-R-E	-1.86774616
Tuberin_pT1462-R-V	0.356974062
VEGFR2-R-V	0.564733108
EPPK1-M-E	0.340443763
XBP1-G-C	0.964476392
