Sample REF	FA37518B-8DC1-4510-8DF4-6E7021ECC8B5
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.465440357
14-3-3_epsilon-M-C	0.00693619199999995
14-3-3_zeta-R-V	0.81307396
4E-BP1-R-V	0.468084071
4E-BP1_pS65-R-V	-0.054858547
4E-BP1_pT37_T46-R-V	0.401019243
4E-BP1_pT70-R-V	0.267531932
53BP1-R-E	-1.45809576
A-Raf_pS299-R-C	-0.101007095
ACC_pS79-R-V	-0.17045745
ACC1-R-E	0.264539193
Acetyl-a-Tubulin-Lys40-R-C	-0.555303814
ACVRL1-R-C	0.424466398
ADAR1-M-V	-0.123611284
Akt-R-V	-2.372814156
Akt_pS473-R-V	-0.342954123
Akt_pT308-R-V	0.00362337499999987
alpha-Catenin-M-V	-0.199534196
AMPK_alpha-R-C	-0.204977294
AMPK_pT172-R-V	-1.324532074
Annexin-1-M-E	-0.107430122
Annexin_VII-M-V	0.0538746079999999
AR-R-V	-0.0975872360000003
DIRAS3-M-E	0.334743397
ASNS-R-V	-0.0683467000000002
ATM-R-E	-1.676194374
B-Raf-M-C	-1.242362937
Bad_pS112-R-V	-0.437514749
Bak-R-C	0.500766076
Bap1-c-4-M-E	-1.445205684
Bax-R-V	0.481073656
Bcl-2-M-V	0.0292045280000002
Bcl-xL-R-V	0.0709601279999998
Beclin-G-C	-0.830257206
beta-Catenin-R-V	-2.187678037
Bid-R-C	0.453441816
Bim-R-V	0.329029992
BRCA2-R-C	0.498550053
c-Jun_pS73-R-V	-0.964335656
c-Kit-R-V	0.416603064
c-Met-M-E	-0.412253563000001
c-Met_pY1235-R-V	0.435004445
c-Myc-R-C	0.783031538
C-Raf-R-V	-0.398096756
C-Raf_pS338-R-V	0.487318661
Caspase-7_cleavedD198-R-C	1.228777986
Caspase-8-M-E	-0.261371973
Caveolin-1-R-V	0.347961677
CD20-R-C	-0.115983939
CD31-M-V	0.0418565740000001
CD49b-M-V	1.104411111
CDK1-R-V	0.0160439649999997
Chk1-M-C	-0.436489857000001
Chk1_pS345-R-C	-0.277120174
Chk2-M-E	-1.106314112
Chk2_pT68-R-C	0.492338561
cIAP-R-V	-0.10814801
Claudin-7-R-V	0.150635568
Collagen_VI-R-V	1.098166102
Cyclin_B1-R-V	-0.179853922
Cyclin_D1-R-V	0.907740618
Cyclin_E1-M-V	0.439203941
Cyclin_E2-R-C	-0.226901849
DJ-1-R-E	0.516429946
Dvl3-R-V	-0.269712443
E-Cadherin-R-V	-2.53469577
eEF2-R-C	-0.238305408
eEF2K-R-V	-1.034811668
EGFR-R-V	-0.244895683
EGFR_pY1068-R-C	-0.412389074
EGFR_pY1173-R-V	0.381567338
eIF4E-R-V	0.27284627
eIF4G-R-C	-1.706526755
ER-alpha-R-V	-0.436595997
ER-alpha_pS118-R-V	-0.329988897
ERCC1-M-V	-0.687943745
ERK2-R-E	-0.645517897
ETS-1-R-V	0.156201413
FASN-R-V	0.0563018779999997
Fibronectin-R-V	0.636808099
FoxM1-R-V	0.176618163
FOXO3a-R-C	0.111761245
FOXO3a_pS318_S321-R-C	-0.0388072900000003
G6PD-M-V	0.242164766
GAB2-R-V	-0.849214745
GAPDH-M-C	1.118826176
GATA3-M-V	0.159928703
GSK3-alpha-beta-M-V	-0.86293009
GSK3-alpha-beta_pS21_S9-R-V	-0.283012153
GSK3_pS9-R-V	-0.308372613
HER2-M-V	-1.514462645
HER2_pY1248-R-C	-0.00266448100000005
HER3-R-V	0.909869193
HER3_pY1289-R-C	0.570079989
Heregulin-R-V	0.535938402
HSP70-R-C	1.145565847
IGFBP2-R-V	-0.139815612
INPP4B-R-V	0.0214449430000001
IRS1-R-V	0.299393598
JNK_pT183_pY185-R-V	0.275628151
JNK2-R-C	-0.749263528
Ku80-R-C	-1.189783173
Lck-R-V	0.19224228
LKB1-M-E	0.44405164
MAPK_pT202_Y204-R-V	1.077442346
MEK1-R-V	-0.790125412
MEK1_pS217_S221-R-V	0.584147136
MIG-6-M-V	0.345767416
Mre11-R-C	0.54589778
MSH2-M-V	-0.387938355
MSH6-R-C	-1.331234416
mTOR-R-V	-1.388275435
mTOR_pS2448-R-C	-0.768844304
MYH11-R-V	0.113181605
Myosin-IIa_pS1943-R-V	-0.326010343
N-Cadherin-R-V	0.36599308
N-Ras-M-V	0.0821593909999998
NDRG1_pT346-R-V	1.715548836
NF-kB-p65_pS536-R-C	-0.328985187
NF2-R-C	-0.318723005
Notch1-R-V	0.146822112
P-Cadherin-R-C	0.403062934
p21-R-V	1.050000351
p27-R-V	-0.169748286
p27_pT157-R-C	0.264009547
p27_pT198-R-V	0.00302075599999996
p38_MAPK-R-V	-0.558454333
p38_pT180_Y182-R-V	0.251687478
p53-R-E	0.588158375
p62-LCK-ligand-M-C	-1.227540774
p70S6K-R-V	-1.178055205
p70S6K_pT389-R-V	0.124326345
p90RSK-R-C	-0.782908804
p90RSK_pT359_S363-R-C	-0.1154899
PAI-1-M-E	1.827621024
PARP_cleaved-M-E	-0.316132423
Paxillin-R-C	-1.020380284
PCNA-M-C	0.317101837
PDCD4-R-C	-0.37138938
PDK1-R-V	-0.0132629810000002
PDK1_pS241-R-V	-0.936659286
PEA15-R-V	0.205159384
PEA15_pS116-R-V	-0.24983562
PI3K-p110-alpha-R-C	0.02602036
PI3K-p85-R-V	-0.346386679
PKC-alpha-M-V	-0.971877172
PKC-alpha_pS657-R-C	-1.344118594
PKC-delta_pS664-R-V	-0.492440174
PKC-pan_BetaII_pS660-R-V	-1.797673911
PR-R-V	0.101447244
PRAS40_pT246-R-V	0.054408601
PRDX1-R-V	1.000428394
PREX1-R-E	0
PTEN-R-V	-0.883327859
Rab11-R-E	0.235650495
Rab25-R-V	-0.704408178
Rad50-M-V	-0.357861843
Rad51-R-V	0.557515699
Raptor-R-V	-0.550253457
Rb-M-E	0.123061923
