Sample REF	FC4D06F1-DFC3-4660-A049-EDED1CF39AE4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.431382672
14-3-3_epsilon-M-C	-0.0220108379999999
14-3-3_zeta-R-V	0.586526603
4E-BP1-R-V	0.045501536
4E-BP1_pS65-R-V	-0.144446544
4E-BP1_pT37_T46-R-V	-0.138074405
4E-BP1_pT70-R-V	0.335005648
53BP1-R-E	-1.96492797
A-Raf_pS299-R-C	-0.148450359
ACC_pS79-R-V	0.661695711
ACC1-R-E	0.833391433
Acetyl-a-Tubulin-Lys40-R-C	-1.26598595
ACVRL1-R-C	0.500422586
ADAR1-M-V	0.015407422
Akt-R-V	-2.374197586
Akt_pS473-R-V	-1.041547552
Akt_pT308-R-V	-0.24232737
alpha-Catenin-M-V	0.114612415
AMPK_alpha-R-C	0.238423589
AMPK_pT172-R-V	0.332457094
Annexin-1-M-E	1.544554759
Annexin_VII-M-V	0.493352274
AR-R-V	-0.225061968
DIRAS3-M-E	0.00560464500000002
ASNS-R-V	0.413216516
ATM-R-E	-1.814977345
B-Raf-M-C	-2.325713886
Bad_pS112-R-V	-0.585377475
Bak-R-C	-0.410480005
Bap1-c-4-M-E	-1.144615307
Bax-R-V	0.443842444
Bcl-2-M-V	0.300286477
Bcl-xL-R-V	-0.016675883
Beclin-G-C	-0.162332901
beta-Catenin-R-V	-3.122262923
Bid-R-C	0.036986606
Bim-R-V	-0.182744438
BRCA2-R-C	0.262614459
c-Jun_pS73-R-V	-0.64976791
c-Kit-R-V	0.160845263
c-Met-M-E	-0.37257305
c-Met_pY1235-R-V	0.136690589
c-Myc-R-C	0
C-Raf-R-V	-0.428602451
C-Raf_pS338-R-V	0.301574379
Caspase-7_cleavedD198-R-C	0.417736205
Caspase-8-M-E	0.188438187
Caveolin-1-R-V	0.119294285
CD20-R-C	-0.156233192
CD31-M-V	0.310793271
CD49b-M-V	0.128639464
CDK1-R-V	-0.0898430939999999
Chk1-M-C	-1.218193977
Chk1_pS345-R-C	-0.407517381
Chk2-M-E	0.231675471
Chk2_pT68-R-C	0.276850058
cIAP-R-V	-0.005224267
Claudin-7-R-V	-0.0240399119999999
Collagen_VI-R-V	0.609788603
Cyclin_B1-R-V	0.475435516
Cyclin_D1-R-V	0.457900237
Cyclin_E1-M-V	0.0376226209999997
Cyclin_E2-R-C	-0.461445047
DJ-1-R-E	0.738370537
Dvl3-R-V	-0.904135479
E-Cadherin-R-V	-3.18519456
eEF2-R-C	0.296079451
eEF2K-R-V	-2.034710424
EGFR-R-V	-1.021677513
EGFR_pY1068-R-C	-0.361597795
EGFR_pY1173-R-V	0.0470055049999999
eIF4E-R-V	0.598610897
eIF4G-R-C	-2.206083026
ER-alpha-R-V	-0.738463045
ER-alpha_pS118-R-V	-0.206752764
ERCC1-M-V	-1.076686334
ERK2-R-E	0.256456576
ETS-1-R-V	-0.204860968
FASN-R-V	0.818977186
Fibronectin-R-V	0.150262394
FoxM1-R-V	-0.236907283
FOXO3a-R-C	0.38041591
FOXO3a_pS318_S321-R-C	-0.134975371
G6PD-M-V	0.552228443
GAB2-R-V	-1.348771016
GAPDH-M-C	0.916860203
GATA3-M-V	-0.192325941
GSK3-alpha-beta-M-V	0.216867658
GSK3-alpha-beta_pS21_S9-R-V	-0.00579588499999995
GSK3_pS9-R-V	-0.566796441
HER2-M-V	-1.166925491
HER2_pY1248-R-C	0.012061108
HER3-R-V	-0.932478803
HER3_pY1289-R-C	0.0662227390000001
Heregulin-R-V	0.082819701
HSP70-R-C	-0.00877658599999998
IGFBP2-R-V	-0.260497908
INPP4B-R-V	-0.0390666779999997
IRS1-R-V	-0.247870258
JNK_pT183_pY185-R-V	0.0599482940000002
JNK2-R-C	-0.218497894
Ku80-R-C	-0.333606537
Lck-R-V	0.436984128
LKB1-M-E	0.419072415
MAPK_pT202_Y204-R-V	-0.257057574
MEK1-R-V	0.439363071
MEK1_pS217_S221-R-V	0.268420591
MIG-6-M-V	0.337760567
Mre11-R-C	0.333231382
MSH2-M-V	-0.135791906
MSH6-R-C	-1.461016187
mTOR-R-V	-1.078991335
mTOR_pS2448-R-C	-0.534060331
MYH11-R-V	-0.255666637
Myosin-IIa_pS1943-R-V	0.131593469
