Sample REF	FCCC4EAA-62B7-4005-887C-716C7FB52D63
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.25709433
14-3-3_epsilon-M-C	-0.0484339820000002
14-3-3_zeta-R-V	-0.0501048020000001
4E-BP1-R-V	-0.0879700200000001
4E-BP1_pS65-R-V	0.00282647399999988
4E-BP1_pT37_T46-R-V	-0.227283477
4E-BP1_pT70-R-V	0.169880103
53BP1-R-E	-0.780523998
A-Raf_pS299-R-C	0.0400167749999999
ACC_pS79-R-V	-0.166232984
ACC1-R-E	-0.236105328
Acetyl-a-Tubulin-Lys40-R-C	-0.267535176
ACVRL1-R-C	0.192079166
ADAR1-M-V	-0.0937115210000001
Akt-R-V	-0.0978009760000002
Akt_pS473-R-V	0.0238630869999998
Akt_pT308-R-V	-0.015359557
alpha-Catenin-M-V	-0.175083436
AMPK_alpha-R-C	-0.159462499
AMPK_pT172-R-V	0.168650748
Annexin-1-M-E	-0.0680013130000001
Annexin_VII-M-V	0.0972591899999998
AR-R-V	-0.151913248
DIRAS3-M-E	0.0198272149999999
ASNS-R-V	0.624534944
ATM-R-E	-0.455010324
B-Raf-M-C	-0.712109291
Bad_pS112-R-V	-0.0870097210000001
Bak-R-C	-0.0858739100000001
Bap1-c-4-M-E	-0.436082082
Bax-R-V	-0.0328000810000002
Bcl-2-M-V	-0.201068612
Bcl-xL-R-V	0.475770437
Beclin-G-C	0.0208678899999999
beta-Catenin-R-V	-0.915936492
Bid-R-C	0.210880664
Bim-R-V	-0.17505397
BRCA2-R-C	0.210700977
c-Jun_pS73-R-V	0.0182943219999998
c-Kit-R-V	-0.02627033
c-Met-M-E	0.188382688
c-Met_pY1235-R-V	0.0394059989999999
c-Myc-R-C	0.272881686
C-Raf-R-V	-0.216309054
C-Raf_pS338-R-V	0.0634924769999999
Caspase-7_cleavedD198-R-C	0.332268812
Caspase-8-M-E	0.149625856
Caveolin-1-R-V	1.655042877
CD20-R-C	0.012369444
CD31-M-V	0.055822609
CD49b-M-V	0.308696092
CDK1-R-V	-0.162157624
Chk1-M-C	0.157837681
Chk1_pS345-R-C	-0.141108085
Chk2-M-E	-0.0554755580000001
Chk2_pT68-R-C	0.1130505
cIAP-R-V	0.0167221769999999
Claudin-7-R-V	-0.487788764
Collagen_VI-R-V	0.196100753
Cyclin_B1-R-V	-0.315279118
Cyclin_D1-R-V	0.287164073
Cyclin_E1-M-V	0.164601204
Cyclin_E2-R-C	-0.0573958250000001
DJ-1-R-E	-0.141045886
Dvl3-R-V	-0.308415877
E-Cadherin-R-V	-1.43833428
