Sample REF	FDBD4A06-DE72-4AB2-9949-A4929D93B712
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.549249524
14-3-3_epsilon-M-C	0.017163652
14-3-3_zeta-R-V	-0.134233695
4E-BP1-R-V	-0.750689391
4E-BP1_pS65-R-V	-0.00136709499999987
4E-BP1_pT37_T46-R-V	-0.0444390129999999
4E-BP1_pT70-R-V	0.327364154
53BP1-R-E	-0.78600655
A-Raf_pS299-R-C	-0.128371403
ACC_pS79-R-V	-0.850264758
ACC1-R-E	-0.632706489
Acetyl-a-Tubulin-Lys40-R-C	-0.290083441
ACVRL1-R-C	0.469362826
ADAR1-M-V	0.0992039150000001
Akt-R-V	-0.0685815739999999
Akt_pS473-R-V	-0.024894945
Akt_pT308-R-V	0.0427295310000002
alpha-Catenin-M-V	-0.066358506
AMPK_alpha-R-C	-0.0625151219999999
AMPK_pT172-R-V	-0.0857035319999999
Annexin-1-M-E	-0.0466119379999999
Annexin_VII-M-V	0
AR-R-V	0.0558559100000001
DIRAS3-M-E	0.243981781
ASNS-R-V	-0.381182543
ATM-R-E	0.596480985
B-Raf-M-C	-0.782035544
Bad_pS112-R-V	-0.221079651
Bak-R-C	0.0440210110000001
Bap1-c-4-M-E	-0.813179667
Bax-R-V	-0.00282683899999991
Bcl-2-M-V	0.233706366
Bcl-xL-R-V	0.158897861
Beclin-G-C	-0.134277838
beta-Catenin-R-V	-0.89120801
Bid-R-C	0.407549344
Bim-R-V	-0.0141140929999999
BRCA2-R-C	0.289657527
c-Jun_pS73-R-V	0.0296977380000001
c-Kit-R-V	0.519094992
c-Met-M-E	-0.441294768
c-Met_pY1235-R-V	0.286027329
c-Myc-R-C	0.654271512
C-Raf-R-V	-0.197903743
C-Raf_pS338-R-V	0.422777061
Caspase-7_cleavedD198-R-C	0.320702771
Caspase-8-M-E	-0.0475147619999998
Caveolin-1-R-V	0.513866853
CD20-R-C	-0.04081388
CD31-M-V	0.574166042
CD49b-M-V	-0.0501260479999999
CDK1-R-V	-0.054710314
Chk1-M-C	-0.507400705
Chk1_pS345-R-C	-0.148118588
Chk2-M-E	-0.679703077
Chk2_pT68-R-C	0.465673016
cIAP-R-V	0.136666131
Claudin-7-R-V	-1.298562774
Collagen_VI-R-V	0.622196655
Cyclin_B1-R-V	-0.313144076
Cyclin_D1-R-V	0.618933741
Cyclin_E1-M-V	-0.213747112
Cyclin_E2-R-C	-0.258130398
DJ-1-R-E	0.343817098
Dvl3-R-V	-0.722073246
E-Cadherin-R-V	-2.022588442
eEF2-R-C	-0.041251992
eEF2K-R-V	-0.64480627
EGFR-R-V	0.243149858
EGFR_pY1068-R-C	-0.266584936
EGFR_pY1173-R-V	0.23221443
eIF4E-R-V	-0.107276791
eIF4G-R-C	-1.158661594
ER-alpha-R-V	0.063582509
ER-alpha_pS118-R-V	-0.178870187
ERCC1-M-V	-0.250123752
ERK2-R-E	0.186630987
ETS-1-R-V	0.0317852970000001
FASN-R-V	-0.739918675
Fibronectin-R-V	0.24211824
FoxM1-R-V	0.114473606
FOXO3a-R-C	0.308436596
FOXO3a_pS318_S321-R-C	-0.0249772709999998
G6PD-M-V	0.927094706
GAB2-R-V	-0.390667021
GAPDH-M-C	-0.160959341
GATA3-M-V	-0.230722628
GSK3-alpha-beta-M-V	0.0043246440000001
GSK3-alpha-beta_pS21_S9-R-V	-0.569823453
GSK3_pS9-R-V	-0.717681618
HER2-M-V	-1.182283298
HER2_pY1248-R-C	-0.0182354929999998
HER3-R-V	-0.0831560799999997
HER3_pY1289-R-C	0.129699986
Heregulin-R-V	0.327028916
HSP70-R-C	0.898537916
IGFBP2-R-V	-0.346388989
INPP4B-R-V	0.3926467
IRS1-R-V	0.234900324
JNK_pT183_pY185-R-V	0.33718838
JNK2-R-C	-0.26987963
Ku80-R-C	-0.206850997
Lck-R-V	0.524813694
LKB1-M-E	0.40977246
MAPK_pT202_Y204-R-V	0.188035755
MEK1-R-V	-0.54662406
MEK1_pS217_S221-R-V	0.387010623
MIG-6-M-V	0.110615341
Mre11-R-C	0.465971593
MSH2-M-V	-0.11838175
MSH6-R-C	-1.328032311
mTOR-R-V	-0.396903536
mTOR_pS2448-R-C	0.0290476300000002
MYH11-R-V	1.578422442
Myosin-IIa_pS1943-R-V	0.119153311
N-Cadherin-R-V	0.519972444
N-Ras-M-V	0.326927177
NDRG1_pT346-R-V	-1.014774529
NF-kB-p65_pS536-R-C	0.097207469
NF2-R-C	-0.797766485
Notch1-R-V	0.210234613
P-Cadherin-R-C	0.474913918
p21-R-V	0.496735818
p27-R-V	0.0637557430000002
p27_pT157-R-C	0.347190344
p27_pT198-R-V	0.313995609
p38_MAPK-R-V	0.410029337
p38_pT180_Y182-R-V	0.205761163
p53-R-E	0.168328267
p62-LCK-ligand-M-C	-0.041127819
p70S6K-R-V	-1.225314391
p70S6K_pT389-R-V	0.401991395
p90RSK-R-C	-0.447475415
p90RSK_pT359_S363-R-C	0.180674146
PAI-1-M-E	0.990158125
PARP_cleaved-M-E	-0.328218662
Paxillin-R-C	-0.53172205
PCNA-M-C	-0.122139347
PDCD4-R-C	-0.0728729269999999
PDK1-R-V	0.040982195
PDK1_pS241-R-V	0.140465291
PEA15-R-V	0.463780916
PEA15_pS116-R-V	-0.357863953
PI3K-p110-alpha-R-C	-0.287821017
PI3K-p85-R-V	0.297106672
PKC-alpha-M-V	0.195261492
PKC-alpha_pS657-R-C	0.4392606
PKC-delta_pS664-R-V	0.0573894669999999
PKC-pan_BetaII_pS660-R-V	-0.151879274
PR-R-V	0.277096398
PRAS40_pT246-R-V	-0.156711572
PRDX1-R-V	0.0319984630000001
PREX1-R-E	0.400605715
PTEN-R-V	-1.222482454
Rab11-R-E	0.117068553
Rab25-R-V	-1.060221201
Rad50-M-V	0.0199151910000004
Rad51-R-V	0.82596213
