Sample REF	FF774297-756E-40BC-910D-6702417510C2
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0645294289999999
14-3-3_epsilon-M-C	0.0356213919999999
14-3-3_zeta-R-V	-0.375996702
4E-BP1-R-V	-0.070265766
4E-BP1_pS65-R-V	-0.232953775
4E-BP1_pT37_T46-R-V	0.075164222
4E-BP1_pT70-R-V	-0.00782824999999998
53BP1-R-E	-0.203707488
A-Raf_pS299-R-C	-0.085191332
ACC_pS79-R-V	-0.083749181
ACC1-R-E	-0.584443012
Acetyl-a-Tubulin-Lys40-R-C	0.391918473
ACVRL1-R-C	-0.077108849
ADAR1-M-V	0.107923388
Akt-R-V	0.069975588
Akt_pS473-R-V	0.525142263
Akt_pT308-R-V	0.185487599
alpha-Catenin-M-V	-0.0406758930000002
AMPK_alpha-R-C	0.082036875
AMPK_pT172-R-V	0.53662365
Annexin-1-M-E	0.576959588
Annexin_VII-M-V	-0.070067203
AR-R-V	-0.205525895
DIRAS3-M-E	-0.137491876
ASNS-R-V	0.502241137
ATM-R-E	0.63787633
B-Raf-M-C	0.205935418
Bad_pS112-R-V	0.026508644
Bak-R-C	0.00070412700000011
Bap1-c-4-M-E	0.193824789
Bax-R-V	-0.0352192469999999
Bcl-2-M-V	0.370974011
Bcl-xL-R-V	0.048410147
Beclin-G-C	0.03635009
beta-Catenin-R-V	-0.355616617
Bid-R-C	-0.146401652
Bim-R-V	0.265615412
BRCA2-R-C	-0.169689721
c-Jun_pS73-R-V	0.187968746
c-Kit-R-V	1.130837762
c-Met-M-E	0.523955662
c-Met_pY1235-R-V	-0.06074069
c-Myc-R-C	0.556425039
C-Raf-R-V	0.081119966
C-Raf_pS338-R-V	-0.089351358
Caspase-7_cleavedD198-R-C	0.357059643
Caspase-8-M-E	0.33444288
Caveolin-1-R-V	-0.957262934
CD20-R-C	-0.065204177
CD31-M-V	0.206996261
CD49b-M-V	-0.38790448
CDK1-R-V	-0.147393579
Chk1-M-C	0.072243686
Chk1_pS345-R-C	-0.073416538
Chk2-M-E	0.423414695
Chk2_pT68-R-C	-0.0555383199999999
cIAP-R-V	0.158222836
Claudin-7-R-V	0.267883724
Collagen_VI-R-V	-0.164422545
Cyclin_B1-R-V	-0.115549638
Cyclin_D1-R-V	-0.166776585
Cyclin_E1-M-V	0.530659675
Cyclin_E2-R-C	-0.142954427
DJ-1-R-E	0.101058146
Dvl3-R-V	-0.0301954719999999
E-Cadherin-R-V	0.167072248
eEF2-R-C	0.0826817560000001
eEF2K-R-V	-0.321998487
EGFR-R-V	-0.500140653
EGFR_pY1068-R-C	0.167230491
EGFR_pY1173-R-V	-0.118613139
eIF4E-R-V	-0.225540815
eIF4G-R-C	-0.0865131510000003
ER-alpha-R-V	0.253376037
ER-alpha_pS118-R-V	-0.082962942
ERCC1-M-V	0.363192103
ERK2-R-E	-0.069460475
ETS-1-R-V	-0.040187038
FASN-R-V	-0.252599434
Fibronectin-R-V	-0.632801276
FoxM1-R-V	0.341290159
FOXO3a-R-C	0.0963150559999997
FOXO3a_pS318_S321-R-C	0.0575048490000001
G6PD-M-V	0.0843864209999998
GAB2-R-V	0.645419869
GAPDH-M-C	0.0226910260000001
GATA3-M-V	0.0435008870000002
GSK3-alpha-beta-M-V	-0.120513082
GSK3-alpha-beta_pS21_S9-R-V	0.171739668
GSK3_pS9-R-V	0.0124275410000001
HER2-M-V	0.458299646
HER2_pY1248-R-C	0.446330775
HER3-R-V	0.176795431
HER3_pY1289-R-C	-0.19472241
Heregulin-R-V	-0.0972837719999999
HSP70-R-C	0.322628101
IGFBP2-R-V	-0.0992693549999999
INPP4B-R-V	0.0817184410000003
IRS1-R-V	-0.161482122
JNK_pT183_pY185-R-V	-0.0588308949999998
JNK2-R-C	0.04658791
Ku80-R-C	-0.00782824999999998
Lck-R-V	0.966543432
LKB1-M-E	-0.033474444
MAPK_pT202_Y204-R-V	0.0301107199999999
MEK1-R-V	-0.234554863
MEK1_pS217_S221-R-V	-0.071438224
MIG-6-M-V	0.073911611
Mre11-R-C	-0.0644557569999999
MSH2-M-V	0.240680189
MSH6-R-C	0.232333902
mTOR-R-V	0.043064633
mTOR_pS2448-R-C	-0.0169884459999998
MYH11-R-V	-1.239092484
Myosin-IIa_pS1943-R-V	0.033410239
N-Cadherin-R-V	-0.060290761
N-Ras-M-V	-0.00782824999999998
NDRG1_pT346-R-V	-0.1913579
NF-kB-p65_pS536-R-C	0.55729744
NF2-R-C	0.095762234
Notch1-R-V	-0.310480414
P-Cadherin-R-C	0.106413355
p21-R-V	-0.559344397
p27-R-V	0.311261604
p27_pT157-R-C	-0.089180636
p27_pT198-R-V	0.166114538
p38_MAPK-R-V	-0.374466356
p38_pT180_Y182-R-V	0.09659019
p53-R-E	0.0989966650000003
p62-LCK-ligand-M-C	-0.121464337
p70S6K-R-V	0.121328032
p70S6K_pT389-R-V	0.0619562090000001
p90RSK-R-C	-0.033562476
p90RSK_pT359_S363-R-C	0.179529722
PAI-1-M-E	-1.076734157
PARP_cleaved-M-E	0.438443544
Paxillin-R-C	-0.144141221
PCNA-M-C	-0.055797288
PDCD4-R-C	0.600144185
PDK1-R-V	-0.072380704
PDK1_pS241-R-V	-0.025332493
PEA15-R-V	-0.079338104
PEA15_pS116-R-V	-0.172534526
PI3K-p110-alpha-R-C	0.075095268
PI3K-p85-R-V	0.269794682
PKC-alpha-M-V	-0.195912793
PKC-alpha_pS657-R-C	-0.109632009
PKC-delta_pS664-R-V	0.260153847
PKC-pan_BetaII_pS660-R-V	0.529398913
PR-R-V	-0.0577309459999999
PRAS40_pT246-R-V	-0.162258344
PRDX1-R-V	0.198457899
PREX1-R-E	0.55920873
PTEN-R-V	-0.211495784
Rab11-R-E	-0.133741455
Rab25-R-V	0.127136005
Rad50-M-V	0.0713318390000002
Rad51-R-V	-0.0594943809999999
Raptor-R-V	0.023814246
Rb-M-E	0
Rb_pS807_S811-R-V	0.026943371
RBM15-R-V	0.095206092
Rictor-R-C	-0.37933333
Rictor_pT1135-R-V	-0.099425463
S6-R-E	0.076082293
S6_pS235_S236-R-V	0.616527141
S6_pS240_S244-R-V	0.263326239
SCD-M-V	-0.0177182189999999
SETD2-R-E	1.228564902
SF2-M-V	-0.127603252
Shc_pY317-R-E	0.113501072
Smac-M-E	-0.00548389699999996
Smad1-R-V	-0.048887931
Smad3-R-V	-0.023065434
Smad4-M-V	-0.045341418
Snail-M-E	0.634135341
Src-M-V	-0.289812531
Src_pY416-R-C	0.435009172
Src_pY527-R-V	0.0388005660000001
STAT3_pY705-R-V	0.571100544
STAT5-alpha-R-V	0.536919818
Stathmin-R-V	-0.045644621
Syk-M-V	0.707798498
TAZ-R-V	-0.162767176
TIGAR-R-V	0.249556836
Transglutaminase-M-V	0.122917513
TFRC-R-V	-0.291565971
TSC1-R-C	-0.104449154
TTF1-R-V	-0.151860522
Tuberin-R-E	0.036539221
Tuberin_pT1462-R-V	0.0108561300000001
VEGFR2-R-V	-0.693104925
EPPK1-M-E	0.518608671
XBP1-G-C	-0.0565376829999999
XRCC1-R-E	0.118130356
YAP-R-E	-0.029049605
YAP_pS127-R-E	-0.048041268
YB-1-R-V	-0.471977088
YB-1_pS102-R-V	-0.169481598
JAB1-M-C	0.0269832720000001
PARP1-R-V	0.228296633
A-Raf-R-V	0.057819408
ARID1A-R-C	0.06375151
B-Raf_pS445-R-V	0.229461203
Bcl2A1-R-V	-0.097216914
BRD4-R-V	-0.00397480299999997
c-Abl-R-V	-0.198883329
Caspase-3-R-C	-0.087710774
CD26-R-V	-0.105517351
Chk1_pS296-R-V	-0.037161486
COG3-R-V	-0.204197928
DUSP4-R-V	-0.0936700340000003
ERCC5-R-C	-0.349933504
IGF1R_pY1135_Y1136-R-V	-0.129831211
IRF-1-R-C	-0.22267468
Jak2-R-V	0.00173640200000003
p16_INK4a-R-V	-0.052971358
SHP-2_pY542-R-C	0.0647427150000002
CDK1_pY15-R-C	0.266808623
