Gene Name	Array data file names	Sample REF	Antibody.validation.status	Antibody.Origin	Antibody.Source..Company.	Catalog.Number	Protein.function.and.regulatory.pathways	Website
YWHAB	14-3-3_beta-R-V_GBL1115809.txt	14-3-3_beta-R-V	Validated	Rabbit	Santa Cruz	sc-628	14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints	http://www.scbt.com/datasheet-628-14-3-3-beta-c-20-antibody.html
YWHAE	14-3-3_epsilon-M-C_GBL1115833.txt	14-3-3_epsilon-M-C	Use with Caution	Mouse	Santa Cruz	sc-23957	14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints	http://www.scbt.com/datasheet-23957-14-3-3-epsilon-8c3-antibody.html
YWHAZ	14-3-3_zeta-R-V_GBL1115739.txt	14-3-3_zeta-R-V	Validated	Rabbit	Santa Cruz	sc-1019	14-3-3 proteins regulate many cellular processes relevant to cancer biology, notably apoptosis, mitogenic signaling and cell-cycle checkpoints	http://www.scbt.com/datasheet-1019-14-3-3-zeta-c-16-antibody.html
EIF4EBP1	4E-BP1-R-V_GBL1115268.txt	4E-BP1-R-V	Validated	Rabbit	CST	9452	Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway	http://www.cellsignal.com/products/9452.html
EIF4EBP1	4E-BP1_pS65-R-V_GBL1115269.txt	4E-BP1_pS65-R-V	Validated	Rabbit	CST	9456	Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway	http://www.cellsignal.com/products/9456.html
EIF4EBP1	4E-BP1_pT37_T46-R-V_GBL1115270.txt	4E-BP1_pT37_T46-R-V	Validated	Rabbit	CST	9459	Involves in protein translation. Regulated by PI3K/AKT/mTOR pathway	http://www.cellsignal.com/products/9459.html
EIF4EBP1	4E-BP1_pT70-R-V_GBL1115271.txt	4E-BP1_pT70-R-V	Use with Caution	Rabbit	CST	9455	Involved in protein translation, Regulated my PI3K/AKT/mTOR pathway	http://www.cellsignal.com/products/9455.html
TP53BP1	53BP1-R-E_GBL1115753.txt	53BP1-R-E	Under Evaluation	Rabbit	CST	4937	Identified as a p53 binding partner that could enhance the transcriptional activity of p53., Also involves in DNA repair signaling	http://www.cellsignal.com/products/4937.html
ARAF	A-Raf_pS299-R-C_GBL1115759.txt	A-Raf_pS299-R-C	Use with Caution	Rabbit	CST	4431	One of the main effectors recruited by GTP-bound Ras to activate the MEK-MAP kinase pathway 	http://www.cellsignal.com/products/4431.html
ACACA ACACB	ACC_pS79-R-V_GBL1115272.txt	ACC_pS79-R-V	Validated	Rabbit	CST	3661	Key enzyme in the biosynthesis and oxidation of fatty acids. Involved in energy homeostasis regulation	http://www.cellsignal.com/products/3661.html
