Sample REF	027D22A3-FA13-4BAE-A6BB-476DE1F79836
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.09826602075
14-3-3_epsilon-M-C	0.21928706725
14-3-3_zeta-R-V	0.17231290575
4E-BP1-R-V	0.13939115525
4E-BP1_pS65-R-V	0.14927421725
4E-BP1_pT37_T46-R-V	0.34855875925
4E-BP1_pT70-R-V	-0.00203256375000005
53BP1-R-E	-0.12448953825
A-Raf_pS299-R-C	-0.10790764425
ACC_pS79-R-V	0.10155351575
ACC1-R-E	0.14683893225
Acetyl-a-Tubulin-Lys40-R-C	-0.36519072625
ACVRL1-R-C	-0.32661660425
ADAR1-M-V	0.15749387125
Akt-R-V	0.03421241225
Akt_pS473-R-V	-0.0881282542499999
Akt_pT308-R-V	-0.28792577475
alpha-Catenin-M-V	-0.18448521425
AMPK_alpha-R-C	0.07993712025
AMPK_pT172-R-V	-0.0860694677499998
Annexin-1-M-E	0.07277493575
Annexin_VII-M-V	0.12501899625
AR-R-V	-0.12341881525
DIRAS3-M-E	-0.13619355975
ASNS-R-V	0.02184224975
ATM-R-E	0.51966415175
B-Raf-M-C	0.26720611975
Bad_pS112-R-V	0.08590689325
Bak-R-C	-0.0121691852499999
Bap1-c-4-M-E	-0.15815295475
Bax-R-V	0.0859964902500001
Bcl-2-M-V	0.17295111275
Bcl-xL-R-V	-0.01793947825
Beclin-G-C	0.01377646625
beta-Catenin-R-V	-0.40717425775
Bid-R-C	-0.13321123625
Bim-R-V	0.34826514075
c-Jun_pS73-R-V	-0.0894669272500001
c-Kit-R-V	0.52951042825
c-Met-M-E	-0.17481255325
c-Met_pY1235-R-V	-0.02613963875
c-Myc-R-C	-0.25062677175
C-Raf-R-V	0.05008219925
C-Raf_pS338-R-V	-0.15574154175
Caspase-7_cleavedD198-R-C	1.48707838675
Caspase-8-M-E	-0.01323838975
Caveolin-1-R-V	-0.18071350925
CD20-R-C	0.05218061275
CD31-M-V	0.00932411675
CD49b-M-V	-0.19591231625
CDK1-R-V	-0.33313920825
Chk1-M-C	-0.38173818875
Chk1_pS345-R-C	0.03414108325
Chk2-M-E	0.0478521322500001
Chk2_pT68-R-C	-0.26475183275
cIAP-R-V	0.17659169925
Claudin-7-R-V	-0.41896461525
Collagen_VI-R-V	-0.21412427575
Cyclin_B1-R-V	-0.70193778125
Cyclin_D1-R-V	-0.24778904275
Cyclin_E1-M-V	-0.24563487925
Cyclin_E2-R-C	-0.01798038325
DJ-1-R-E	0.00781228325
Dvl3-R-V	-0.03133916475
E-Cadherin-R-V	-0.14484094425
eEF2-R-C	0.20848716325
eEF2K-R-V	0.36154225775
EGFR-R-V	-0.28635139525
EGFR_pY1068-R-C	-0.0745334117500001
EGFR_pY1173-R-V	-0.12766446875
eIF4E-R-V	0.26575445375
eIF4G-R-C	0.68456597325
ER-alpha-R-V	-0.09505331575
ER-alpha_pS118-R-V	0.03651452275
ERCC1-M-V	-0.00216421124999996
ERK2-R-E	-0.0325806507500001
ETS-1-R-V	0.04403356625
FASN-R-V	-0.16304393425
Fibronectin-R-V	-0.75987333025
FoxM1-R-V	-0.57131993625
FOXO3a-R-C	0.09249537225
FOXO3a_pS318_S321-R-C	0.00687213525000013
G6PD-M-V	0.0386676487499999
GAB2-R-V	0.95860975925
GAPDH-M-C	-0.32042043775
GATA3-M-V	0.10805235125
GSK3-alpha-beta-M-V	0.0501027567500001
GSK3-alpha-beta_pS21_S9-R-V	0.31711474375
GSK3_pS9-R-V	-0.10066165425
HER2-M-V	-0.59796764375
HER2_pY1248-R-C	-0.22364022825
HER3-R-V	-0.46748346475
HER3_pY1289-R-C	-0.10032459225
Heregulin-R-V	-0.23132601525
HSP70-R-C	-1.05064800025
IGFBP2-R-V	-1.00160431275
INPP4B-R-V	0.12453821175
IRS1-R-V	-0.15200141625
JAB1-M-C	-0.10275237175
JNK_pT183_pY185-R-V	-0.18072989125
JNK2-R-C	0.05819961675
Ku80-R-C	0.38174417975
Lck-R-V	0.63217047325
LKB1-M-E	-0.17902938525
MAPK_pT202_Y204-R-V	-0.32646724425
MEK1-R-V	0.42363444825
MEK1_pS217_S221-R-V	-0.23788004525
MIG-6-M-V	-0.15469698475
Mre11-R-C	-0.21051913825
