Sample REF	044D0CB8-2F15-42AB-9CFC-2BCC918CE4D0
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0607450357500001
14-3-3_epsilon-M-C	-0.10418710575
14-3-3_zeta-R-V	-0.0692476002499999
4E-BP1-R-V	-0.66888829375
4E-BP1_pS65-R-V	-0.31116245875
4E-BP1_pT37_T46-R-V	-0.11998702675
4E-BP1_pT70-R-V	-0.20017954375
53BP1-R-E	-0.21685882125
A-Raf_pS299-R-C	0.0270766247500001
ACC_pS79-R-V	-0.40338717825
ACC1-R-E	-0.37497534575
Acetyl-a-Tubulin-Lys40-R-C	0.03407452875
ACVRL1-R-C	0.30530343175
ADAR1-M-V	-0.22225725775
Akt-R-V	0.42455636225
Akt_pS473-R-V	0.94998155275
Akt_pT308-R-V	0.57637523925
alpha-Catenin-M-V	0.0715666417500001
AMPK_alpha-R-C	0.22740252525
AMPK_pT172-R-V	0.44724006525
Annexin-1-M-E	0.38859398075
Annexin_VII-M-V	0.25594456225
AR-R-V	0.15514617175
DIRAS3-M-E	0.10600735025
ASNS-R-V	-0.56719499525
ATM-R-E	-0.15450080525
B-Raf-M-C	-0.38542017925
Bad_pS112-R-V	0.00978903825000002
Bak-R-C	0.13550202875
Bap1-c-4-M-E	-0.44273553275
Bax-R-V	-0.31551703975
Bcl-2-M-V	0.08524323575
Bcl-xL-R-V	1.69136494675
Beclin-G-C	0.14533743925
beta-Catenin-R-V	0.41201866525
Bid-R-C	0.24289545775
Bim-R-V	-0.73085387825
c-Jun_pS73-R-V	0.09221604675
c-Kit-R-V	-0.32391858475
c-Met-M-E	0.0252844847499999
c-Met_pY1235-R-V	-0.12427251275
c-Myc-R-C	0.01313949225
C-Raf-R-V	-0.26958506375
C-Raf_pS338-R-V	0.28701903825
Caspase-7_cleavedD198-R-C	-0.52804829025
Caspase-8-M-E	-0.04747352675
Caveolin-1-R-V	1.42102976175
CD20-R-C	-0.26076062525
CD31-M-V	0.14951641375
CD49b-M-V	-0.0754332882500001
CDK1-R-V	-0.13258278225
Chk1-M-C	-0.88414541975
Chk1_pS345-R-C	-0.21284793275
Chk2-M-E	-0.85396406075
Chk2_pT68-R-C	-0.04158147875
cIAP-R-V	-0.05412653775
Claudin-7-R-V	-0.71294139925
Collagen_VI-R-V	0.20806968025
Cyclin_B1-R-V	-1.73047057525
Cyclin_D1-R-V	0.10126600925
