Sample REF	0476AADE-DB39-4507-B3CA-D2B3991C1EAF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.10141270025
14-3-3_epsilon-M-C	-0.03490767775
14-3-3_zeta-R-V	0.05237900175
4E-BP1-R-V	-0.31303576375
4E-BP1_pS65-R-V	0.14739165125
4E-BP1_pT37_T46-R-V	0.41021896925
4E-BP1_pT70-R-V	0.0938120312499999
53BP1-R-E	0.16815200775
A-Raf_pS299-R-C	-0.0987249252499999
ACC_pS79-R-V	-0.01495911325
ACC1-R-E	-0.17284534975
Acetyl-a-Tubulin-Lys40-R-C	1.67747523475
ACVRL1-R-C	-0.04068795625
ADAR1-M-V	0.00741726924999997
Akt-R-V	0.68158290625
Akt_pS473-R-V	0.99128719875
Akt_pT308-R-V	0.68207663625
alpha-Catenin-M-V	0.05132704875
AMPK_alpha-R-C	-0.0592181627500001
AMPK_pT172-R-V	-0.0193325077499999
Annexin-1-M-E	-0.11473770925
Annexin_VII-M-V	-0.15710143775
AR-R-V	0.54584706375
DIRAS3-M-E	-0.0190244257500002
ASNS-R-V	-0.04917223125
ATM-R-E	-0.33574357225
B-Raf-M-C	0.12698844475
Bad_pS112-R-V	0.09318225225
Bak-R-C	-0.06411358025
Bap1-c-4-M-E	0.13544360125
Bax-R-V	-0.35103153175
Bcl-2-M-V	0.43926489375
Bcl-xL-R-V	0.12401990475
Beclin-G-C	0.15891560125
beta-Catenin-R-V	0.64434882425
Bid-R-C	0.01282830575
Bim-R-V	-0.03218505125
c-Jun_pS73-R-V	0.43730245675
c-Kit-R-V	-0.74823413175
c-Met-M-E	-0.11412750325
c-Met_pY1235-R-V	-0.00961475375000002
c-Myc-R-C	-0.06083053675
C-Raf-R-V	0.14894403325
C-Raf_pS338-R-V	0.27938557025
Caspase-7_cleavedD198-R-C	-0.89046944725
Caspase-8-M-E	-0.21503765875
Caveolin-1-R-V	-0.33300388925
CD20-R-C	0.14928332475
CD31-M-V	-0.12797708025
CD49b-M-V	0.0361865067499998
CDK1-R-V	-0.01699239625
Chk1-M-C	-0.35177500075
Chk1_pS345-R-C	-0.07358638075
Chk2-M-E	-0.66247636675
Chk2_pT68-R-C	-0.05653947575
cIAP-R-V	-0.12161583375
Claudin-7-R-V	-0.52702032825
Collagen_VI-R-V	0.03636353325
Cyclin_B1-R-V	-0.98112139825
Cyclin_D1-R-V	-0.12948493075
Cyclin_E1-M-V	-0.14564394325
Cyclin_E2-R-C	0.02027423875
DJ-1-R-E	-0.27521804575
Dvl3-R-V	0.53442899325
E-Cadherin-R-V	0.48795846075
eEF2-R-C	-0.43455644875
eEF2K-R-V	0.00931421174999997
EGFR-R-V	0.23453949675
EGFR_pY1068-R-C	0.51166043525
EGFR_pY1173-R-V	-0.02986329275
eIF4E-R-V	-0.16563604625
eIF4G-R-C	0.21378782825
ER-alpha-R-V	-0.0457663107500001
ER-alpha_pS118-R-V	0.23473848675
ERCC1-M-V	0.37799382975
ERK2-R-E	0.14556791925
ETS-1-R-V	-0.17304820475
FASN-R-V	0.34858316375
Fibronectin-R-V	0.47554493175
FoxM1-R-V	0.27024319375
FOXO3a-R-C	-0.0864703157499999
FOXO3a_pS318_S321-R-C	0.0216738522500001
G6PD-M-V	-0.18235732725
GAB2-R-V	-0.19306510875
GAPDH-M-C	-0.30176370275
GATA3-M-V	-0.0326523617500001
GSK3-alpha-beta-M-V	0.14874351575
GSK3-alpha-beta_pS21_S9-R-V	0.37225419875
GSK3_pS9-R-V	0.69134249875
HER2-M-V	0.94013605725
HER2_pY1248-R-C	0.34795350575
HER3-R-V	-0.02056795875
HER3_pY1289-R-C	0.26098711575
Heregulin-R-V	-0.05169499525
HSP70-R-C	-0.13678964525
IGFBP2-R-V	0.47943305125
INPP4B-R-V	0.12079969875
IRS1-R-V	0.44528591475
JAB1-M-C	-0.0872245367500001
JNK_pT183_pY185-R-V	0.35657603675
JNK2-R-C	0.23325026975
Ku80-R-C	-0.37551073225
Lck-R-V	-0.57368049075
LKB1-M-E	-0.10067137525
MAPK_pT202_Y204-R-V	0.40141089575
MEK1-R-V	0.13728534025
MEK1_pS217_S221-R-V	-0.03400565925
MIG-6-M-V	-0.16921216475
Mre11-R-C	-0.02949018025
MSH2-M-V	-0.53188933975
MSH6-R-C	-0.81099499975
mTOR-R-V	-0.30681006675
mTOR_pS2448-R-C	0.24450120025
MYH11-R-V	-1.68388676725
Myosin-IIa_pS1943-R-V	-0.38654660125
N-Cadherin-R-V	0.000405325249999977
N-Ras-M-V	-0.0917121387500001
NDRG1_pT346-R-V	-0.22298245575
NF-kB-p65_pS536-R-C	-0.16530194975
NF2-R-C	0.0580453842499999
Notch1-R-V	0.37482961075
P-Cadherin-R-C	-0.25634357675
p21-R-V	-0.33304423775
p27-R-V	0.22432186425
p27_pT157-R-C	0.0225050987499999
p27_pT198-R-V	-0.07813077075
p38_MAPK-R-V	0.28829174825
p38_pT180_Y182-R-V	0.02858655225
p53-R-E	0.08200715275
p62-LCK-ligand-M-C	-0.28828361775
p70S6K-R-V	0.43532330225
p70S6K_pT389-R-V	0.00948863275000006
p90RSK-R-C	-0.14890424625
p90RSK_pT359_S363-R-C	0.0599900327500001
PAI-1-M-E	-0.23022594675
PARP_cleaved-M-E	-0.15543870825
PARP1-R-V	-0.31718987875
Paxillin-R-C	-0.19669308075
PCNA-M-C	-0.19192000975
PDCD4-R-C	-0.77605422675
PDK1-R-V	0.13795713125
PDK1_pS241-R-V	0.24487571075
PEA15-R-V	0.10256314925
PEA15_pS116-R-V	0.05822666575
PI3K-p110-alpha-R-C	0.11859750475
PI3K-p85-R-V	-0.13244645425
PKC-alpha-M-V	0.27421527325
PKC-alpha_pS657-R-C	0.15593585775
PKC-delta_pS664-R-V	-0.0347298712500001
PKC-pan_BetaII_pS660-R-V	0.10822465075
PR-R-V	-0.10813830475
PRAS40_pT246-R-V	0.20720439875
PRDX1-R-V	-0.96998838925
PREX1-R-E	-0.28235584825
PTEN-R-V	0.61108760925
Rab11-R-E	-0.000405325249999977
Rab25-R-V	-0.53992356225
Rad50-M-V	-0.21232803425
Rad51-R-V	-0.25808572275
Raptor-R-V	-0.11116026975
Rb-M-E	-0.0277823652500001
Rb_pS807_S811-R-V	1.40251237575
RBM15-R-V	-0.13755343525
Rictor-R-C	-0.44755475475
Rictor_pT1135-R-V	-0.0415008607500001
S6-R-E	-0.33431232625
S6_pS235_S236-R-V	0.18722050425
S6_pS240_S244-R-V	0.59851616175
SCD-M-V	-0.0402691202500002
SETD2-R-E	-0.17807861125
SF2-M-V	-0.14873234975
Shc_pY317-R-E	0.0788499992499999
Smac-M-E	-0.20639016525
Smad1-R-V	0.18084078775
Smad3-R-V	0.25430717875
Smad4-M-V	0.0724295717499999
Snail-M-E	-0.23270688625
Src-M-V	0.21663246375
Src_pY416-R-C	0.0561291197500001
Src_pY527-R-V	0.59763853925
STAT3_pY705-R-V	0.07008488325
STAT5-alpha-R-V	-0.50999082325
Stathmin-R-V	-0.00901165225
Syk-M-V	-0.98465055725
TAZ-R-V	0.14140716375
TFRC-R-V	-0.38679389525
TIGAR-R-V	-0.16270570825
Transglutaminase-M-V	-0.19401153275
TSC1-R-C	0.0559985752499999
TTF1-R-V	-0.01811904225
Tuberin-R-E	0.40783095725
Tuberin_pT1462-R-V	0.75639312625
VEGFR2-R-V	0.0126806092500001
EPPK1-M-E	-0.63727401375
XBP1-G-C	0.43166955475
XRCC1-R-E	0.00194610574999993
YAP-R-E	0.17983581825
YAP_pS127-R-E	0.49958036125
YB-1-R-V	0.77685744375
YB-1_pS102-R-V	0.27459198075
A-Raf-R-V	-0.00156040825000003
ARID1A-R-C	0.27687093725
B-Raf_pS445-R-V	0.29931682975
Bcl2A1-R-V	-0.11941861575
BRD4-R-V	0.15399576425
c-Abl-R-V	0.19974229275
Caspase-3-R-C	0.18858101225
CD26-R-V	-0.0869450382500002
Chk1_pS296-R-V	-0.09149730525
COG3-R-V	0.11580303375
DUSP4-R-V	0.0997479482499995
ERCC5-R-C	-0.01485904475
IGF1R_pY1135_Y1136-R-V	0.09265968825
IRF-1-R-C	-0.12077305325
