Sample REF	04ED8F9C-13F4-44D4-BFA3-8B72524C0E46
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.15847062875
14-3-3_epsilon-M-C	0.20275517525
14-3-3_zeta-R-V	0.07736455675
4E-BP1-R-V	0.05023647625
4E-BP1_pS65-R-V	-0.26955628375
4E-BP1_pT37_T46-R-V	-0.14494938575
4E-BP1_pT70-R-V	-0.27460321875
53BP1-R-E	-0.06708977925
A-Raf_pS299-R-C	-0.10263866125
ACC_pS79-R-V	-0.27909708925
ACC1-R-E	-0.21530706075
Acetyl-a-Tubulin-Lys40-R-C	0.01036281875
ACVRL1-R-C	0.0167361197499999
ADAR1-M-V	0.38117380925
Akt-R-V	-0.05428823575
Akt_pS473-R-V	-0.20285829125
Akt_pT308-R-V	-0.34825011475
alpha-Catenin-M-V	-0.09768590725
AMPK_alpha-R-C	-0.22625558975
AMPK_pT172-R-V	-0.48949733075
Annexin-1-M-E	-0.07558982025
Annexin_VII-M-V	-0.03327495875
AR-R-V	-0.07970697525
DIRAS3-M-E	-0.13719974375
ASNS-R-V	1.12178848075
ATM-R-E	0.18817269475
B-Raf-M-C	-0.21550375725
Bad_pS112-R-V	0.02376274425
Bak-R-C	0.02134001675
Bap1-c-4-M-E	0.14369478125
Bax-R-V	0.33280331625
Bcl-2-M-V	0.03118381575
Bcl-xL-R-V	-0.20110943725
Beclin-G-C	-0.0997285717500001
beta-Catenin-R-V	-0.38184335575
Bid-R-C	-0.17524315225
Bim-R-V	0.33031928875
c-Jun_pS73-R-V	0.10744759575
c-Kit-R-V	1.67359157225
c-Met-M-E	-0.0868165732500001
c-Met_pY1235-R-V	0.06395634625
c-Myc-R-C	0.18240196525
C-Raf-R-V	0.16858242825
C-Raf_pS338-R-V	-0.09235462175
Caspase-7_cleavedD198-R-C	1.51386715175
Caspase-8-M-E	0.21240097925
Caveolin-1-R-V	-0.97002998225
CD20-R-C	0.25253712575
CD31-M-V	0.11896184675
CD49b-M-V	-0.0647407492500002
CDK1-R-V	0.24752318675
Chk1-M-C	0.39878722425
Chk1_pS345-R-C	0.07791992425
Chk2-M-E	1.33392683025
Chk2_pT68-R-C	0.42847139725
cIAP-R-V	0.09031505525
Claudin-7-R-V	-0.23923563625
Collagen_VI-R-V	-0.07525175675
Cyclin_B1-R-V	0.55683643275
Cyclin_D1-R-V	-0.33968539375
Cyclin_E1-M-V	0.05241312275
Cyclin_E2-R-C	0.22888264975
DJ-1-R-E	-0.16881309475
Dvl3-R-V	-0.38253768975
E-Cadherin-R-V	-0.90384696725
eEF2-R-C	0.35738503625
eEF2K-R-V	0.08196732075
EGFR-R-V	-0.16541796425
EGFR_pY1068-R-C	0.12318445725
EGFR_pY1173-R-V	0.14545369325
eIF4E-R-V	-0.09231220525
eIF4G-R-C	-0.11101757075
ER-alpha-R-V	-0.06253983075
ER-alpha_pS118-R-V	0.31383170275
ERCC1-M-V	0.07387210275
ERK2-R-E	0.19157506625
ETS-1-R-V	0.0217936292499999
FASN-R-V	0.05102172075
Fibronectin-R-V	-0.87304586325
FoxM1-R-V	0.50507226475
FOXO3a-R-C	-0.00956764675000005
FOXO3a_pS318_S321-R-C	0.00493238525000006
G6PD-M-V	0.0298622817499999
GAB2-R-V	0.49256859025
GAPDH-M-C	0.59903669425
GATA3-M-V	-0.18060154875
GSK3-alpha-beta-M-V	0.17430810675
GSK3-alpha-beta_pS21_S9-R-V	0.19720908675
GSK3_pS9-R-V	-0.0694273862500001
HER2-M-V	-0.65135727975
HER2_pY1248-R-C	-0.05402698825
HER3-R-V	-0.14745006175
