Sample REF	05F3B888-C630-437F-9AFB-B9200A1DEBFE
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.04865709575
14-3-3_epsilon-M-C	0.05664078975
14-3-3_zeta-R-V	0.0119266312500001
4E-BP1-R-V	0.20575220875
4E-BP1_pS65-R-V	0.04283221275
4E-BP1_pT37_T46-R-V	0.54137878875
4E-BP1_pT70-R-V	0.20313083075
53BP1-R-E	0.10718905525
A-Raf_pS299-R-C	-0.15850302175
ACC_pS79-R-V	-0.25890874375
ACC1-R-E	-0.29927082725
Acetyl-a-Tubulin-Lys40-R-C	0.01468629525
ACVRL1-R-C	-0.00828294275000002
ADAR1-M-V	-0.02973183425
Akt-R-V	-0.33007379025
Akt_pS473-R-V	0.34809703025
Akt_pT308-R-V	0.30888211375
alpha-Catenin-M-V	-0.0290832807499999
AMPK_alpha-R-C	-0.13010008325
AMPK_pT172-R-V	-0.43523117225
Annexin-1-M-E	0.12149617325
Annexin_VII-M-V	0.01004028775
AR-R-V	-0.22588704375
DIRAS3-M-E	0.0694320857500001
ASNS-R-V	0.26960690825
ATM-R-E	-0.51206205375
B-Raf-M-C	-0.23120260375
Bad_pS112-R-V	-0.29114080425
Bak-R-C	-0.0463683397499999
Bap1-c-4-M-E	-0.14757382825
Bax-R-V	0.07473352175
Bcl-2-M-V	0.0115705032500001
Bcl-xL-R-V	-0.38980808475
Beclin-G-C	-0.24639321125
beta-Catenin-R-V	0.04948364675
Bid-R-C	0.25641740525
Bim-R-V	-0.45765230875
c-Jun_pS73-R-V	-0.0813676187499999
c-Kit-R-V	-0.72394396225
c-Met-M-E	-0.0907771817500001
c-Met_pY1235-R-V	-0.04196675425
c-Myc-R-C	0.11601831575
C-Raf-R-V	-0.0237102222499999
C-Raf_pS338-R-V	0.28723154675
Caspase-7_cleavedD198-R-C	0.02923361025
Caspase-8-M-E	-0.04570371225
Caveolin-1-R-V	-0.77461456875
CD20-R-C	-0.24937789275
CD31-M-V	0.0361521092500001
CD49b-M-V	0.20682308425
CDK1-R-V	0.06436398925
Chk1-M-C	0.0136184157500001
Chk1_pS345-R-C	-0.23251559925
Chk2-M-E	-0.55117811825
Chk2_pT68-R-C	0.01113045275
cIAP-R-V	-0.11998725625
Claudin-7-R-V	0.36527539525
Collagen_VI-R-V	0.17226570375
Cyclin_B1-R-V	-0.33451520475
Cyclin_D1-R-V	-0.12212710225
Cyclin_E1-M-V	0.30086850325
Cyclin_E2-R-C	-0.38070002375
DJ-1-R-E	0.08651691175
Dvl3-R-V	0.11978884275
E-Cadherin-R-V	0.23348885525
eEF2-R-C	-0.35025522025
eEF2K-R-V	-0.36169791375
EGFR-R-V	0.24193500425
EGFR_pY1068-R-C	-0.0960525242499999
EGFR_pY1173-R-V	0.05878818075
eIF4E-R-V	0.16789185725
eIF4G-R-C	0.10490599475
ER-alpha-R-V	-0.0144775612499999
ER-alpha_pS118-R-V	-0.0913459527500001
ERCC1-M-V	0.06718424725
ERK2-R-E	-0.31573130525
ETS-1-R-V	-0.04511938525
FASN-R-V	0.13731441325
Fibronectin-R-V	0.66901501425
FoxM1-R-V	0.0597836612500001
FOXO3a-R-C	0.13076660975
FOXO3a_pS318_S321-R-C	-0.11156405725
G6PD-M-V	0.0282075022500001
GAB2-R-V	-0.18389232225
GAPDH-M-C	0.26864230675
GATA3-M-V	-0.0252823702500001
GSK3-alpha-beta-M-V	-0.25753422975
GSK3-alpha-beta_pS21_S9-R-V	-0.08578882975
GSK3_pS9-R-V	0.15678281325
HER2-M-V	0.18467153975
HER2_pY1248-R-C	0.09052516725
HER3-R-V	1.77316391375
HER3_pY1289-R-C	0.03453002925
Heregulin-R-V	0.17530841925
HSP70-R-C	0.16969956625
IGFBP2-R-V	0.71008726075
INPP4B-R-V	0.0344737282500002
IRS1-R-V	0.09673662825
JAB1-M-C	-0.15004475725
JNK_pT183_pY185-R-V	0.23850090025
JNK2-R-C	-0.0697622787499999
Ku80-R-C	-0.45170493575
Lck-R-V	-0.00289820624999998
LKB1-M-E	0.0695865282500001
MAPK_pT202_Y204-R-V	0.45126382725
MEK1-R-V	0.16607626875
MEK1_pS217_S221-R-V	0.16742650325
MIG-6-M-V	0.13128641775
Mre11-R-C	0.08934842225
MSH2-M-V	-0.49613664325
MSH6-R-C	-0.48927884225
mTOR-R-V	-0.24376535325
mTOR_pS2448-R-C	-0.0765235242499998
MYH11-R-V	0.35516140425
Myosin-IIa_pS1943-R-V	0.0126449722500001
N-Cadherin-R-V	0.00242077374999999
N-Ras-M-V	0.05110799375
NDRG1_pT346-R-V	0.22283562475
NF-kB-p65_pS536-R-C	-0.18908331325
NF2-R-C	-0.12174125725
Notch1-R-V	0.13064659925
P-Cadherin-R-C	-0.08267714525
p21-R-V	-0.17773363225
p27-R-V	-0.16968826925
p27_pT157-R-C	-0.0418432307500001
p27_pT198-R-V	-0.17616471725
p38_MAPK-R-V	-0.07798918925
p38_pT180_Y182-R-V	0.32098895475
p53-R-E	-0.11430905475
p62-LCK-ligand-M-C	-0.28205590625
p70S6K-R-V	0.10097880875
p70S6K_pT389-R-V	0.22226576225
p90RSK-R-C	0.16555324125
p90RSK_pT359_S363-R-C	0.25393286125
PAI-1-M-E	1.42916018675
PARP_cleaved-M-E	-0.30123705775
PARP1-R-V	-0.68691616025
Paxillin-R-C	0.08942530675
PCNA-M-C	-0.12347936525
PDCD4-R-C	-1.02202029925
PDK1-R-V	0.29196578775
PDK1_pS241-R-V	-0.00242077374999999
PEA15-R-V	-0.40614922525
PEA15_pS116-R-V	0.10393503525
PI3K-p110-alpha-R-C	-0.23639843175
PI3K-p85-R-V	-0.26508947775
PKC-alpha-M-V	-0.09314848625
PKC-alpha_pS657-R-C	-0.09782948875
PKC-delta_pS664-R-V	-0.32703495375
PKC-pan_BetaII_pS660-R-V	-0.30662075475
PR-R-V	0.02013814975
PRAS40_pT246-R-V	0.16378062625
PRDX1-R-V	-0.34277955675
PREX1-R-E	-0.52225236275
PTEN-R-V	-0.0736488842499999
Rab11-R-E	0.05196681125
Rab25-R-V	-0.68567313975
Rad50-M-V	-0.08814766775
Rad51-R-V	0.10667768675
Raptor-R-V	-0.13761166925
Rb-M-E	0.10829892025
Rb_pS807_S811-R-V	-0.0501017957499999
RBM15-R-V	-0.16450046575
Rictor-R-C	-0.26612773525
Rictor_pT1135-R-V	0.30352120475
S6-R-E	-0.49734221975
S6_pS235_S236-R-V	0.10277829775
S6_pS240_S244-R-V	0.20625571825
SCD-M-V	-0.13076661675
SETD2-R-E	0.42028644425
SF2-M-V	-0.20980616925
Shc_pY317-R-E	-0.20977212525
Smac-M-E	-0.57739559075
Smad1-R-V	-0.0520544797499999
Smad3-R-V	-0.0138892677499999
Smad4-M-V	0.11256022725
Snail-M-E	-0.15885989575
Src-M-V	-0.11617042875
Src_pY416-R-C	0.85638382125
Src_pY527-R-V	0.24825046175
STAT3_pY705-R-V	0.19306786375
STAT5-alpha-R-V	-0.46101582775
Stathmin-R-V	0.04657604325
Syk-M-V	-0.55810148575
TAZ-R-V	0.21749885225
TFRC-R-V	0.34377485225
TIGAR-R-V	-0.27658161175
Transglutaminase-M-V	0.26550961175
TSC1-R-C	-0.15116444025
TTF1-R-V	-0.03058039175
Tuberin-R-E	-0.0353903312500001
Tuberin_pT1462-R-V	0.27396830975
VEGFR2-R-V	-0.06659844825
EPPK1-M-E	0.69215299275
XBP1-G-C	-0.25637290775
XRCC1-R-E	0.09769101725
YAP-R-E	0.20703493375
YAP_pS127-R-E	0.25245838675
YB-1-R-V	0.16036457225
YB-1_pS102-R-V	0.09865347425
A-Raf-R-V	-0.16911068175
ARID1A-R-C	0.11157472275
B-Raf_pS445-R-V	-0.24478899875
Bcl2A1-R-V	0.21851805975
BRD4-R-V	0.07005776275
c-Abl-R-V	-0.12895468675
Caspase-3-R-C	-0.0252247042500001
CD26-R-V	-0.0313087027500001
Chk1_pS296-R-V	0.01692094425
COG3-R-V	-0.13099717975
DUSP4-R-V	0.25038759475
ERCC5-R-C	-0.09712585825
IGF1R_pY1135_Y1136-R-V	0.0753153267499999
IRF-1-R-C	-0.20253893175
Jak2-R-V	-0.33421833275
