Sample REF	07E4A4B7-7134-4A56-9F5F-4D31ED61D564
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.1158751825
14-3-3_epsilon-M-C	0.0896868805
14-3-3_zeta-R-V	0.133582433
4E-BP1-R-V	0.2100332075
4E-BP1_pS65-R-V	-0.1135945565
4E-BP1_pT37_T46-R-V	0.1506589665
4E-BP1_pT70-R-V	-0.0283549435000001
53BP1-R-E	-0.0560532439999998
A-Raf_pS299-R-C	-0.0170747500000001
ACC_pS79-R-V	0.131607687
ACC1-R-E	0.2803347205
Acetyl-a-Tubulin-Lys40-R-C	0.349712108
ACVRL1-R-C	-0.126974409
ADAR1-M-V	0.2818813215
Akt-R-V	-0.0800797615
Akt_pS473-R-V	-0.117200954
Akt_pT308-R-V	-0.3578408585
alpha-Catenin-M-V	0.00398529600000003
AMPK_alpha-R-C	-0.0756814825
AMPK_pT172-R-V	-0.4668085105
Annexin-1-M-E	-0.213909786
Annexin_VII-M-V	-0.1198105615
AR-R-V	0.00885292900000001
DIRAS3-M-E	0.00496275949999997
ASNS-R-V	1.224703228
ATM-R-E	-0.173219824
B-Raf-M-C	0.376007037
Bad_pS112-R-V	-0.0167707625
Bak-R-C	0.18314653
Bap1-c-4-M-E	0.3196750725
Bax-R-V	0.1400266005
Bcl-2-M-V	-0.109999802
Bcl-xL-R-V	-0.23441623
Beclin-G-C	0.1615099855
beta-Catenin-R-V	-0.1760245305
Bid-R-C	-0.197475589
Bim-R-V	0.34989569
c-Jun_pS73-R-V	-0.189902997
c-Kit-R-V	0.6968035465
c-Met-M-E	-0.00590383
c-Met_pY1235-R-V	-0.00876432050000001
c-Myc-R-C	-0.0300645805
C-Raf-R-V	0.0776495685000001
C-Raf_pS338-R-V	-0.1197964825
Caspase-7_cleavedD198-R-C	0.620319153
Caspase-8-M-E	0.1378493515
Caveolin-1-R-V	-1.017466038
CD20-R-C	0.19633809
CD31-M-V	0.0490593820000001
CD49b-M-V	-0.0991342910000001
CDK1-R-V	-0.00648048600000001
Chk1-M-C	0.0437624235
Chk1_pS345-R-C	0.1436764085
Chk2-M-E	1.0901187325
Chk2_pT68-R-C	0.6856768365
cIAP-R-V	0.0116352475
Claudin-7-R-V	-0.035278327
Collagen_VI-R-V	-0.1538452655
Cyclin_B1-R-V	0.400556684
Cyclin_D1-R-V	-0.2190489005
Cyclin_E1-M-V	0.132162314
Cyclin_E2-R-C	0.478184658
DJ-1-R-E	-0.1555389415
Dvl3-R-V	-0.2585837095
E-Cadherin-R-V	0.117959236
eEF2-R-C	0.3616535955
eEF2K-R-V	0.469731159
EGFR-R-V	-0.193955079
EGFR_pY1068-R-C	-0.0892030785000001
EGFR_pY1173-R-V	0.0655151235
eIF4E-R-V	-0.006796843
eIF4G-R-C	0.3449861755
ER-alpha-R-V	-0.1409846495
ER-alpha_pS118-R-V	0.274331061
ERCC1-M-V	0.230581314
ERK2-R-E	-0.1450307645
ETS-1-R-V	-0.1837179675
FASN-R-V	0.130005766
Fibronectin-R-V	-1.018854871
FoxM1-R-V	0.380548219
FOXO3a-R-C	-0.0437214875
FOXO3a_pS318_S321-R-C	-0.1310566495
G6PD-M-V	-0.0809788369999999
GAB2-R-V	0.8329432985
GAPDH-M-C	1.1577258885
GATA3-M-V	-0.1292473415
GSK3-alpha-beta-M-V	0.138000031
GSK3-alpha-beta_pS21_S9-R-V	0.242317257
GSK3_pS9-R-V	0.036637315
HER2-M-V	-0.0716614334999999
HER2_pY1248-R-C	-0.000136951000000052
HER3-R-V	-0.0500661875
HER3_pY1289-R-C	-0.0894483010000001
Heregulin-R-V	0.063468948
HSP70-R-C	-0.532239025
IGFBP2-R-V	-0.5597993275
INPP4B-R-V	-0.105214781
IRS1-R-V	-0.100071861
JAB1-M-C	0.0750886515
JNK_pT183_pY185-R-V	-0.126714292
JNK2-R-C	-0.210762067
Ku80-R-C	0.491861899
Lck-R-V	-0.1396644495
LKB1-M-E	-0.209006394
MAPK_pT202_Y204-R-V	-0.252624155
MEK1-R-V	0.1916896475
MEK1_pS217_S221-R-V	-0.110650807
MIG-6-M-V	-0.0827971985
Mre11-R-C	-0.143577624
MSH2-M-V	0.4917953535
MSH6-R-C	0.4541516745
mTOR-R-V	0.2294457655
mTOR_pS2448-R-C	0.1121927235
MYH11-R-V	0.43299921
Myosin-IIa_pS1943-R-V	0.049242288
N-Cadherin-R-V	-0.0818161265
N-Ras-M-V	-0.0230020605
NDRG1_pT346-R-V	0.1374845875
NF-kB-p65_pS536-R-C	0.1800392245
NF2-R-C	0.4104019125
Notch1-R-V	-0.167216647
P-Cadherin-R-C	0.3095515315
p21-R-V	0.5347423255
p27-R-V	-0.1339883365
p27_pT157-R-C	0.0562062789999999
p27_pT198-R-V	0.0162130305
p38_MAPK-R-V	-0.1390809405
p38_pT180_Y182-R-V	0.1182107675
p53-R-E	0.0369072019999999
p62-LCK-ligand-M-C	0.0121136405
p70S6K-R-V	0.1910889645
p70S6K_pT389-R-V	-0.0214005219999999
p90RSK-R-C	-0.087303613
p90RSK_pT359_S363-R-C	-0.22630461
PAI-1-M-E	-0.2870531305
PARP_cleaved-M-E	-0.0103592420000002
PARP1-R-V	0.0695921885
Paxillin-R-C	0.4009289775
PCNA-M-C	0.1159655535
PDCD4-R-C	1.0837133105
PDK1-R-V	-0.1118124965
PDK1_pS241-R-V	-0.210431573
PEA15-R-V	-0.1483785255
PEA15_pS116-R-V	-0.043007955
PI3K-p110-alpha-R-C	0.094669454
PI3K-p85-R-V	-0.104696774
PKC-alpha-M-V	-0.3368196325
PKC-alpha_pS657-R-C	-0.504719869
PKC-delta_pS664-R-V	0.193699376
PKC-pan_BetaII_pS660-R-V	-0.122924256
PR-R-V	-0.0789647805000001
PRAS40_pT246-R-V	0.357820335
PRDX1-R-V	0.107914143
PREX1-R-E	0.345691019
PTEN-R-V	-0.2034952915
Rab11-R-E	0.000136951000000052
Rab25-R-V	0.478446784
Rad50-M-V	0.07478629
Rad51-R-V	-0.0472281695
Raptor-R-V	0.3885775155
Rb-M-E	-0.101720991
Rb_pS807_S811-R-V	0.330504862
RBM15-R-V	-0.0265178259999999
Rictor-R-C	-0.0038948125
Rictor_pT1135-R-V	-0.1241499475
S6-R-E	0.301542396
S6_pS235_S236-R-V	-0.3296970165
S6_pS240_S244-R-V	-0.284847893
SCD-M-V	0.172095206
SETD2-R-E	0.070687349
SF2-M-V	0.1209711185
Shc_pY317-R-E	-0.00218181450000005
Smac-M-E	0.466641915
Smad1-R-V	0.081177065
Smad3-R-V	0.160657542
Smad4-M-V	-0.0243072369999999
Snail-M-E	0.409083688
Src-M-V	-0.177676251
Src_pY416-R-C	0.025059591
Src_pY527-R-V	-0.1727887815
STAT3_pY705-R-V	-0.1088982165
STAT5-alpha-R-V	-0.0166035530000001
Stathmin-R-V	-0.17585208
Syk-M-V	-0.0784625410000001
TAZ-R-V	-0.197772963
TFRC-R-V	0.127154128
TIGAR-R-V	0.184731283
Transglutaminase-M-V	-0.1183182705
TSC1-R-C	-0.0990470865000001
TTF1-R-V	0.069619959
Tuberin-R-E	0.2662021875
Tuberin_pT1462-R-V	0.0614137015000001
VEGFR2-R-V	0.0898537645
EPPK1-M-E	0.4133362465
XBP1-G-C	0.066939966
XRCC1-R-E	0.0277229879999999
YAP-R-E	-0.2368394375
YAP_pS127-R-E	-0.6626686185
YB-1-R-V	-0.227635017
YB-1_pS102-R-V	-0.101330703
A-Raf-R-V	0.005159042
ARID1A-R-C	-0.0318150775
B-Raf_pS445-R-V	0.183891006
Bcl2A1-R-V	-0.2504587745
BRD4-R-V	-0.0234684665
c-Abl-R-V	0.31153932
Caspase-3-R-C	0.2189804545
CD26-R-V	-0.122475996
Chk1_pS296-R-V	0.0286636449999999
COG3-R-V	-0.115374802
DUSP4-R-V	-0.1033172005
ERCC5-R-C	0.2445669075
IGF1R_pY1135_Y1136-R-V	-0.1120002075
