Sample REF	0D83AA43-ACAD-4131-BA1E-CA5E314F827C
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0959400570000001
14-3-3_epsilon-M-C	0.0835025999999999
14-3-3_zeta-R-V	-0.000855829500000016
4E-BP1-R-V	-0.049526421
4E-BP1_pS65-R-V	0.0733378399999999
4E-BP1_pT37_T46-R-V	0.188657662
4E-BP1_pT70-R-V	0.0127670359999999
53BP1-R-E	-0.0794281514999999
A-Raf_pS299-R-C	-0.0599200695000001
ACC_pS79-R-V	0.0765238054999999
ACC1-R-E	-0.0196985880000001
Acetyl-a-Tubulin-Lys40-R-C	-0.1087470535
ACVRL1-R-C	-0.1760914455
ADAR1-M-V	0.072225393
Akt-R-V	-0.0350942120000001
Akt_pS473-R-V	-0.2189660565
Akt_pT308-R-V	-0.233799526
alpha-Catenin-M-V	-0.1102221265
AMPK_alpha-R-C	0.1052501
AMPK_pT172-R-V	0.170576528
Annexin-1-M-E	0.0133319674999999
Annexin_VII-M-V	0.078484044
AR-R-V	-0.1830240105
DIRAS3-M-E	-0.0017317919999999
ASNS-R-V	0.2484601495
ATM-R-E	-0.0701359155
B-Raf-M-C	0.2351261515
Bad_pS112-R-V	0.060687414
Bak-R-C	0.0137510745000001
Bap1-c-4-M-E	-0.054996835
Bax-R-V	0.0526370959999999
Bcl-2-M-V	-0.0760213474999999
Bcl-xL-R-V	0.3544023265
Beclin-G-C	0.081776638
beta-Catenin-R-V	-0.431276691
Bid-R-C	0.0516864194999999
Bim-R-V	-0.0850874645
c-Jun_pS73-R-V	0.0110973964999999
c-Kit-R-V	1.3042609
c-Met-M-E	0.00398574049999995
c-Met_pY1235-R-V	0.022222543
c-Myc-R-C	0.00545704499999994
C-Raf-R-V	0.185671209
C-Raf_pS338-R-V	-0.183221653
Caspase-7_cleavedD198-R-C	0.3623174295
Caspase-8-M-E	0.177873354
Caveolin-1-R-V	-0.2712180205
CD20-R-C	0.00259834849999996
CD31-M-V	-0.0139432105000001
CD49b-M-V	0.0607109854999999
CDK1-R-V	0.0977499075
Chk1-M-C	0.137004715
Chk1_pS345-R-C	0.076733218
Chk2-M-E	0.435556915
Chk2_pT68-R-C	-0.018170578
cIAP-R-V	0.043339284
Claudin-7-R-V	-0.1086873755
Collagen_VI-R-V	0.373473115
Cyclin_B1-R-V	0.7072041095
Cyclin_D1-R-V	-0.069004176
Cyclin_E1-M-V	-0.0328289275
Cyclin_E2-R-C	0.1043376155
DJ-1-R-E	-0.252424778
Dvl3-R-V	0.0522416859999999
E-Cadherin-R-V	-0.4065579775
eEF2-R-C	0.210057232
eEF2K-R-V	0.0388197825
EGFR-R-V	-0.0633392625
EGFR_pY1068-R-C	-0.163968602
EGFR_pY1173-R-V	-0.00790977500000005
eIF4E-R-V	-0.0894945895
eIF4G-R-C	-0.0190029820000001
ER-alpha-R-V	-0.0885808590000001
ER-alpha_pS118-R-V	-0.0547196845
ERCC1-M-V	-0.0835720665000001
ERK2-R-E	-0.0243836890000002
ETS-1-R-V	-0.0338790980000001
FASN-R-V	-0.3394300955
Fibronectin-R-V	0.0900963575000001
FoxM1-R-V	0.0770303515
FOXO3a-R-C	0.0393560789999999
FOXO3a_pS318_S321-R-C	-0.03979838
G6PD-M-V	-0.1348332965
GAB2-R-V	0.237959807
GAPDH-M-C	0.0905730959999998
GATA3-M-V	-0.0404989250000001
GSK3-alpha-beta-M-V	0.0641025554999999
GSK3-alpha-beta_pS21_S9-R-V	-0.1675312525
GSK3_pS9-R-V	-0.1637294335
HER2-M-V	-0.130300284
HER2_pY1248-R-C	-0.1366979705
HER3-R-V	0.422980938
HER3_pY1289-R-C	-0.1337012175
