Sample REF	0E16978E-8D73-46E3-BF36-BEE8FD68701F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.22463175925
14-3-3_epsilon-M-C	-0.0246826217499999
14-3-3_zeta-R-V	-0.03585026125
4E-BP1-R-V	0.23751544025
4E-BP1_pS65-R-V	0.12888832525
4E-BP1_pT37_T46-R-V	0.35364164725
4E-BP1_pT70-R-V	0.34843191125
53BP1-R-E	0.15892673775
A-Raf_pS299-R-C	0.02063422075
ACC_pS79-R-V	0.33780727475
ACC1-R-E	0.13549313725
Acetyl-a-Tubulin-Lys40-R-C	0.37395823475
ACVRL1-R-C	0.06720181875
ADAR1-M-V	-0.15257330575
Akt-R-V	0.08402219525
Akt_pS473-R-V	-0.25606466825
Akt_pT308-R-V	-0.04127990075
alpha-Catenin-M-V	0.0409693557500001
AMPK_alpha-R-C	0.01800714325
AMPK_pT172-R-V	0.02452375725
Annexin-1-M-E	-0.29546287325
Annexin_VII-M-V	-0.16792318175
AR-R-V	-0.23539985525
DIRAS3-M-E	0.0705083352499999
ASNS-R-V	-0.16026111325
ATM-R-E	0.18909674675
B-Raf-M-C	-0.29511116825
Bad_pS112-R-V	-0.06448962275
Bak-R-C	-0.00777466224999987
Bap1-c-4-M-E	0.19810725725
Bax-R-V	-0.05642959975
Bcl-2-M-V	-0.11229895925
Bcl-xL-R-V	-0.22241739625
Beclin-G-C	-0.0860542137500001
beta-Catenin-R-V	0.70212198825
Bid-R-C	0.15884839675
Bim-R-V	-0.31867046725
c-Jun_pS73-R-V	0.12032192175
c-Kit-R-V	-0.27767065875
c-Met-M-E	0.07010515975
c-Met_pY1235-R-V	-0.05742672475
c-Myc-R-C	-0.06840484375
C-Raf-R-V	0.02509973425
C-Raf_pS338-R-V	0.23745018925
Caspase-7_cleavedD198-R-C	-0.77058422825
Caspase-8-M-E	-0.18887615475
Caveolin-1-R-V	-0.35240977325
CD20-R-C	-0.03868152625
CD31-M-V	-0.12216269725
CD49b-M-V	0.0124878357499999
CDK1-R-V	0.24241744975
Chk1-M-C	0.26950906025
Chk1_pS345-R-C	0.16666858525
Chk2-M-E	-0.52340059575
Chk2_pT68-R-C	-0.000502557749999993
cIAP-R-V	-0.05021283775
Claudin-7-R-V	-0.13647313125
Collagen_VI-R-V	-0.12897465375
Cyclin_B1-R-V	0.11977711475
Cyclin_D1-R-V	0.70323218525
Cyclin_E1-M-V	-0.0669891382499999
Cyclin_E2-R-C	0.30784236575
DJ-1-R-E	-0.17845431475
Dvl3-R-V	0.04231696325
E-Cadherin-R-V	0.71069303375
eEF2-R-C	-0.39692679675
eEF2K-R-V	-0.10961846825
EGFR-R-V	-0.02990852025
EGFR_pY1068-R-C	0.0548015672499999
EGFR_pY1173-R-V	-0.03771178275
eIF4E-R-V	-0.08025225225
eIF4G-R-C	-0.02868851775
ER-alpha-R-V	0.11377685725
ER-alpha_pS118-R-V	-0.03865795025
ERCC1-M-V	0.13294233475
ERK2-R-E	-0.23262176075
ETS-1-R-V	-0.01983362075
FASN-R-V	0.25052958075
Fibronectin-R-V	0.56577178775
FoxM1-R-V	0.36392617475
FOXO3a-R-C	0.0778690832500001
FOXO3a_pS318_S321-R-C	0.0354415632500001
G6PD-M-V	-0.17129809225
GAB2-R-V	-0.40359256175
GAPDH-M-C	-0.12770666975
GATA3-M-V	0.10548993425
GSK3-alpha-beta-M-V	-0.01410402325
GSK3-alpha-beta_pS21_S9-R-V	0.01187616775
GSK3_pS9-R-V	0.21704342675
HER2-M-V	0.26977766025
HER2_pY1248-R-C	0.15367258975
HER3-R-V	-0.20170665775
HER3_pY1289-R-C	-0.03682805325
Heregulin-R-V	0.15646288075
HSP70-R-C	1.46260665975
IGFBP2-R-V	0.02951577325
INPP4B-R-V	-0.10411619725
IRS1-R-V	0.31462908275
JAB1-M-C	0.00890510125000002
JNK_pT183_pY185-R-V	0.14688006375
JNK2-R-C	0.14471097675
Ku80-R-C	-0.69286271425
Lck-R-V	-0.44884346875
LKB1-M-E	0.20521586975
MAPK_pT202_Y204-R-V	0.15510380375
MEK1-R-V	-0.19831635675
MEK1_pS217_S221-R-V	0.17471753475
MIG-6-M-V	-0.08353827575
Mre11-R-C	0.35263976475
MSH2-M-V	-0.10947296175
MSH6-R-C	-0.0869013077499997
mTOR-R-V	-0.29670890075
mTOR_pS2448-R-C	-0.20094440275
MYH11-R-V	-2.05157374225
Myosin-IIa_pS1943-R-V	-0.25255206125
N-Cadherin-R-V	0.46430264125
N-Ras-M-V	-0.0373313737500001
NDRG1_pT346-R-V	-0.24209592975
NF-kB-p65_pS536-R-C	0.25628200925
NF2-R-C	-0.42621059675
Notch1-R-V	0.17465403275
P-Cadherin-R-C	0.25667005925
p21-R-V	0.14087619525
p27-R-V	-0.18058757275
p27_pT157-R-C	0.07813649875
p27_pT198-R-V	-0.04842037775
p38_MAPK-R-V	0.0122327832499999
p38_pT180_Y182-R-V	-0.16508130675
p53-R-E	0.21490670175
p62-LCK-ligand-M-C	-0.12922184575
p70S6K-R-V	-0.03532322775
p70S6K_pT389-R-V	0.27416918075
p90RSK-R-C	0.03100306475
p90RSK_pT359_S363-R-C	0.31875988775
PAI-1-M-E	-0.57770054375
PARP_cleaved-M-E	-0.0856924542500002
PARP1-R-V	-0.47171630175
Paxillin-R-C	0.22358727325
PCNA-M-C	0.28407443625
PDCD4-R-C	-0.54964159575
PDK1-R-V	-0.0472287257500001
PDK1_pS241-R-V	0.03029694975
PEA15-R-V	-0.18077275575
PEA15_pS116-R-V	0.06479313175
PI3K-p110-alpha-R-C	0.000502557749999993
PI3K-p85-R-V	-0.42652530025
PKC-alpha-M-V	-0.11282711675
PKC-alpha_pS657-R-C	-0.0421312512499999
PKC-delta_pS664-R-V	0.00208967274999997
PKC-pan_BetaII_pS660-R-V	-0.10444669225
PR-R-V	-0.04590294875
PRAS40_pT246-R-V	0.03838568975
PRDX1-R-V	-0.86221467825
PREX1-R-E	-0.05904164725
PTEN-R-V	-0.11079652775
Rab11-R-E	0.14491243675
Rab25-R-V	0.47420086375
Rad50-M-V	-0.18947781825
Rad51-R-V	0.46233458125
Raptor-R-V	-0.15952650775
Rb-M-E	0.14217734175
Rb_pS807_S811-R-V	0.62323418375
RBM15-R-V	-0.22261571225
Rictor-R-C	-0.43641961375
Rictor_pT1135-R-V	0.08475587525
S6-R-E	-0.39688858725
S6_pS235_S236-R-V	-0.42993510875
S6_pS240_S244-R-V	-0.10109271725
SCD-M-V	-0.13081352925
SETD2-R-E	0.02239720175
SF2-M-V	0.0897263602499999
Shc_pY317-R-E	-0.12365663775
Smac-M-E	0.23460356075
Smad1-R-V	0.02358941675
Smad3-R-V	0.03038086675
Smad4-M-V	0.05049456675
Snail-M-E	-0.11905445925
Src-M-V	0.35011278975
Src_pY416-R-C	0.10272428175
Src_pY527-R-V	0.45683216325
STAT3_pY705-R-V	-0.77747862175
STAT5-alpha-R-V	-1.30732229725
Stathmin-R-V	0.24572935475
Syk-M-V	-1.62264417825
TAZ-R-V	0.18914742175
TFRC-R-V	-0.25084507425
TIGAR-R-V	-0.31043526225
Transglutaminase-M-V	-0.25100857475
TSC1-R-C	0.17267544525
TTF1-R-V	0.33927438975
Tuberin-R-E	0.08472822725
Tuberin_pT1462-R-V	0.23051194025
VEGFR2-R-V	0.0464968222500001
EPPK1-M-E	-0.21411371575
XBP1-G-C	-0.32446320225
XRCC1-R-E	0.25485995575
YAP-R-E	0.48131129425
YAP_pS127-R-E	0.97870297625
YB-1-R-V	0.0382732767500001
