Sample REF	1ABE66AA-9002-4532-A902-2DA198405BC3
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.473637908
14-3-3_epsilon-M-C	0.051042091
14-3-3_zeta-R-V	0.1853468835
4E-BP1-R-V	-0.185130782
4E-BP1_pS65-R-V	-0.287280051
4E-BP1_pT37_T46-R-V	0.04847943
4E-BP1_pT70-R-V	0.434308754
53BP1-R-E	-1.1677677635
A-Raf_pS299-R-C	-0.1144900965
ACC_pS79-R-V	-0.9514103135
ACC1-R-E	-0.519697917
Acetyl-a-Tubulin-Lys40-R-C	0.0596195005
ACVRL1-R-C	0.5825532905
ADAR1-M-V	-0.266885312
Akt-R-V	0.0900266090000001
Akt_pS473-R-V	0.9375411235
Akt_pT308-R-V	0.766323451
alpha-Catenin-M-V	0.0659182065000001
AMPK_alpha-R-C	0.209850196
AMPK_pT172-R-V	-0.00756495199999985
Annexin-1-M-E	0.7971223655
Annexin_VII-M-V	0.135512688
AR-R-V	0.4358093505
DIRAS3-M-E	-0.0502540629999999
ASNS-R-V	0.0472779265000001
ATM-R-E	-0.5601891255
B-Raf-M-C	-0.9313565585
Bad_pS112-R-V	-0.529553364
Bak-R-C	0.3142192505
Bap1-c-4-M-E	-1.498828448
Bax-R-V	-0.144404548
Bcl-2-M-V	-0.1595314175
Bcl-xL-R-V	0.4486755095
Beclin-G-C	0.325511232
beta-Catenin-R-V	-0.475896691
Bid-R-C	0.6357956965
Bim-R-V	-0.4784836545
c-Jun_pS73-R-V	0.2264147545
c-Kit-R-V	-0.21305398
c-Met-M-E	0.1554297245
c-Met_pY1235-R-V	-0.069652582
c-Myc-R-C	0.49494489
C-Raf-R-V	-0.385470296
C-Raf_pS338-R-V	0.465540271
Caspase-7_cleavedD198-R-C	-0.4054539205
Caspase-8-M-E	0.141844499
Caveolin-1-R-V	0.6866385995
CD20-R-C	-0.1403986365
CD31-M-V	0.1449568095
CD49b-M-V	-0.0102088905000002
CDK1-R-V	0.1357614305
Chk1-M-C	-0.808050907
Chk1_pS345-R-C	-0.317517517
Chk2-M-E	-0.892395359
Chk2_pT68-R-C	0.362185304
cIAP-R-V	0.105449866
Claudin-7-R-V	-0.1520501785
Collagen_VI-R-V	0.690711391
Cyclin_B1-R-V	-1.5637844085
