Sample REF	1D343C73-ED83-49A8-B550-D0A122D21DE2
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0514982154999999
14-3-3_epsilon-M-C	0.2040927365
14-3-3_zeta-R-V	-0.100521728
4E-BP1-R-V	0.0467009225
4E-BP1_pS65-R-V	0.1163871695
4E-BP1_pT37_T46-R-V	0.1808449195
4E-BP1_pT70-R-V	0.0972907815
53BP1-R-E	-0.62204618
A-Raf_pS299-R-C	-0.0788310730000001
ACC_pS79-R-V	0.145072143
ACC1-R-E	0.2766517745
Acetyl-a-Tubulin-Lys40-R-C	-0.368638155
ACVRL1-R-C	0.054522656
ADAR1-M-V	-0.1980565155
Akt-R-V	-0.0252830655
Akt_pS473-R-V	-0.131024342
Akt_pT308-R-V	-0.1284297735
alpha-Catenin-M-V	-0.0902333730000001
AMPK_alpha-R-C	-0.0558934855000001
AMPK_pT172-R-V	0.0119628295000001
Annexin-1-M-E	0.44670714
Annexin_VII-M-V	0.2718529655
AR-R-V	-0.244381934
DIRAS3-M-E	0.0154545815000001
ASNS-R-V	0.771655408
ATM-R-E	0.360432019
B-Raf-M-C	-0.158335689
Bad_pS112-R-V	0.0684578665
Bak-R-C	0.226606267
Bap1-c-4-M-E	-0.0777394245
Bax-R-V	0.2021953715
Bcl-2-M-V	-0.142637566
Bcl-xL-R-V	0.131760571
Beclin-G-C	-0.0741884865000001
beta-Catenin-R-V	0.2231529275
Bid-R-C	0.0538813679999999
Bim-R-V	-0.193291443
c-Jun_pS73-R-V	0.0600152469999999
c-Kit-R-V	-0.6600192925
c-Met-M-E	-0.0464665020000001
c-Met_pY1235-R-V	-0.1621386155
c-Myc-R-C	-0.1585278745
C-Raf-R-V	-0.1036375645
C-Raf_pS338-R-V	-0.0671913905000001
Caspase-7_cleavedD198-R-C	1.484631322
Caspase-8-M-E	0.0272488975
Caveolin-1-R-V	-0.450062836
CD20-R-C	0.0270932999999999
CD31-M-V	0.000914385000000018
CD49b-M-V	0.81466332
CDK1-R-V	0.0744241879999999
Chk1-M-C	0.1411451285
Chk1_pS345-R-C	0.0576368985
Chk2-M-E	0.0401509635
Chk2_pT68-R-C	-0.0968520105
cIAP-R-V	-0.0964838165000001
Claudin-7-R-V	0.679528915
Collagen_VI-R-V	-0.0182990745000001
Cyclin_B1-R-V	0.169881064
Cyclin_D1-R-V	-0.2226344655
Cyclin_E1-M-V	0.354900782
Cyclin_E2-R-C	0.00390792199999995
DJ-1-R-E	0.3289593495
Dvl3-R-V	-0.0402672035000001
E-Cadherin-R-V	1.031161935
eEF2-R-C	-0.0547371395
eEF2K-R-V	0.240447306
EGFR-R-V	-0.1052573
EGFR_pY1068-R-C	-0.1640889395
EGFR_pY1173-R-V	-0.1166997405
eIF4E-R-V	-0.173278303
eIF4G-R-C	0.3448060745
ER-alpha-R-V	-0.0685691114999999
ER-alpha_pS118-R-V	-0.024373942
ERCC1-M-V	0.058830098
ERK2-R-E	0.0301783474999999
ETS-1-R-V	0.0681929614999999
FASN-R-V	0.200942365
Fibronectin-R-V	1.246549601
FoxM1-R-V	0.119414347
FOXO3a-R-C	-0.0518665125
FOXO3a_pS318_S321-R-C	0.0910940065
G6PD-M-V	-0.096302652
GAB2-R-V	-0.1877694585
GAPDH-M-C	0.6326148865
GATA3-M-V	0.1421561035
GSK3-alpha-beta-M-V	-0.138674191
GSK3-alpha-beta_pS21_S9-R-V	-0.00893076600000003
GSK3_pS9-R-V	-0.126162989
HER2-M-V	0.0984231305
HER2_pY1248-R-C	-0.11037404
HER3-R-V	0.4225645475
HER3_pY1289-R-C	-0.039606485
Heregulin-R-V	0.195585051
HSP70-R-C	0.0341558459999998
IGFBP2-R-V	-0.2086532555
INPP4B-R-V	-0.173424242
IRS1-R-V	-0.091212879
JAB1-M-C	-0.0227780545
JNK_pT183_pY185-R-V	-0.00248754700000003
JNK2-R-C	0.178607964
Ku80-R-C	-0.38408452
Lck-R-V	0.2702623195
LKB1-M-E	-0.082548894
MAPK_pT202_Y204-R-V	0.137660258
MEK1-R-V	-0.2273188725
MEK1_pS217_S221-R-V	-0.0862271330000001
MIG-6-M-V	0.2252906895
Mre11-R-C	0.062054236
MSH2-M-V	0.0793044975
MSH6-R-C	-0.0959934664999997
mTOR-R-V	-0.0790192285
mTOR_pS2448-R-C	-0.0506503164999999
MYH11-R-V	0.436714389
Myosin-IIa_pS1943-R-V	0.179227873
N-Cadherin-R-V	-0.0505717345
N-Ras-M-V	-0.0652011515000001
NDRG1_pT346-R-V	0.7133117285
NF-kB-p65_pS536-R-C	0.2988018525
NF2-R-C	-0.0332562065000001
Notch1-R-V	-0.00920228400000006
P-Cadherin-R-C	0.1033166405
p21-R-V	-0.5850022195
p27-R-V	-0.1134574085
p27_pT157-R-C	0.0163316809999999
p27_pT198-R-V	-0.0500494185000001
p38_MAPK-R-V	0.2322669485
p38_pT180_Y182-R-V	0.2247666145
p53-R-E	-0.111873494
p62-LCK-ligand-M-C	0.1805724785
p70S6K-R-V	0.00802546449999991
p70S6K_pT389-R-V	-0.0514015249999999
p90RSK-R-C	0.416888332
p90RSK_pT359_S363-R-C	0.00136556900000007
PAI-1-M-E	1.4781986605
PARP_cleaved-M-E	-0.201652736
PARP1-R-V	-0.2344904125
Paxillin-R-C	0.3135639105
PCNA-M-C	-0.0446136195
PDCD4-R-C	-0.4014023095
PDK1-R-V	0.1024184265
PDK1_pS241-R-V	0.26276367
PEA15-R-V	0.2304266805
PEA15_pS116-R-V	0.211272989
PI3K-p110-alpha-R-C	-0.02795716
PI3K-p85-R-V	0.059667921
PKC-alpha-M-V	0.0529715265
PKC-alpha_pS657-R-C	-0.0196069060000001
PKC-delta_pS664-R-V	0.0727336429999999
PKC-pan_BetaII_pS660-R-V	0.285843078
PR-R-V	-0.0559823255
PRAS40_pT246-R-V	-0.067129335
PRDX1-R-V	-0.0736125140000001
PREX1-R-E	0.0453777699999999
PTEN-R-V	0.0605435115
Rab11-R-E	-0.10699329
Rab25-R-V	-0.036756433
Rad50-M-V	-0.0142288180000001
Rad51-R-V	-0.0707941605
Raptor-R-V	-0.0354050795
Rb-M-E	-0.137896673
Rb_pS807_S811-R-V	-0.027540737
RBM15-R-V	-0.0489201160000001
Rictor-R-C	-0.4147607815
Rictor_pT1135-R-V	-0.1319222105
S6-R-E	-0.0375511500000003
S6_pS235_S236-R-V	0.4207099445
S6_pS240_S244-R-V	0.429950846
SCD-M-V	-0.0486231480000003
SETD2-R-E	-0.142948835
SF2-M-V	-0.1533846935
Shc_pY317-R-E	-0.0246087725000001
Smac-M-E	0.0362337099999999
Smad1-R-V	0.073616619
Smad3-R-V	-0.0103952490000001
Smad4-M-V	0.143226393
Snail-M-E	-0.124058496
Src-M-V	0.00271220799999999
Src_pY416-R-C	0.533510341
Src_pY527-R-V	-0.2234417035
STAT3_pY705-R-V	0.2286403555
STAT5-alpha-R-V	0.563272306
Stathmin-R-V	-0.0205132670000001
Syk-M-V	0.733555937
TAZ-R-V	-0.000914385000000018
TFRC-R-V	0.586614789
TIGAR-R-V	-0.240566491
Transglutaminase-M-V	-0.0752310675000001
TSC1-R-C	0.1284808635
TTF1-R-V	-0.131059824
Tuberin-R-E	-0.0786905385
Tuberin_pT1462-R-V	0.0716863665
VEGFR2-R-V	0.0285898095
EPPK1-M-E	0.4788968205
XBP1-G-C	0.123317518
XRCC1-R-E	-0.0886256260000001
YAP-R-E	-0.0627673775000001
YAP_pS127-R-E	0.0183766264999999
YB-1-R-V	0.14094062
YB-1_pS102-R-V	0.054691535
A-Raf-R-V	-0.0845184940000001
ARID1A-R-C	0.1259846635
B-Raf_pS445-R-V	-0.169547749
Bcl2A1-R-V	0.0208946585
BRD4-R-V	-0.2516785815
c-Abl-R-V	-0.23691206
Caspase-3-R-C	0.0355356964999998
CD26-R-V	-0.0406998120000001
Chk1_pS296-R-V	-0.055272515
COG3-R-V	-0.00266185600000007
DUSP4-R-V	0.7125204055
ERCC5-R-C	-0.0087736925000001
IGF1R_pY1135_Y1136-R-V	0.0257520715
IRF-1-R-C	0.00124558499999994
Jak2-R-V	0.035846166
p16_INK4a-R-V	0.015622442
SHP-2_pY542-R-C	-0.149177793
CDK1_pY15-R-C	-0.0441798225
