Sample REF	243A23A3-3BF7-48E7-B67C-C17F64749AD9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.047784058
14-3-3_epsilon-M-C	0.211452254
14-3-3_zeta-R-V	0.2150006195
4E-BP1-R-V	0.084312581
4E-BP1_pS65-R-V	0.060438858
4E-BP1_pT37_T46-R-V	-0.437005095
4E-BP1_pT70-R-V	-0.142790592
53BP1-R-E	0.5252739095
A-Raf_pS299-R-C	0.0649793324999999
ACC_pS79-R-V	0.1039510885
ACC1-R-E	0.440040867
Acetyl-a-Tubulin-Lys40-R-C	0.4340180565
ACVRL1-R-C	-0.0647894085
ADAR1-M-V	0.380153034
Akt-R-V	0.351187751
Akt_pS473-R-V	-0.5209314075
Akt_pT308-R-V	-0.280119048
alpha-Catenin-M-V	-0.0835446085
AMPK_alpha-R-C	0.0806593739999999
AMPK_pT172-R-V	-0.174240327
Annexin-1-M-E	-0.1870846205
Annexin_VII-M-V	0.332420143
AR-R-V	0.0164294545
DIRAS3-M-E	-0.176390995
ASNS-R-V	-0.2507877525
ATM-R-E	0.4756328245
B-Raf-M-C	0.4540472875
Bad_pS112-R-V	0.034103441
Bak-R-C	-0.0333688445
Bap1-c-4-M-E	0.024498311
Bax-R-V	-0.175214352
Bcl-2-M-V	0.1686865565
Bcl-xL-R-V	-0.0120018945000001
Beclin-G-C	-0.204099953
beta-Catenin-R-V	-0.295196594
Bid-R-C	-0.0164564935000001
Bim-R-V	0.1997092955
c-Jun_pS73-R-V	-0.1805245845
c-Kit-R-V	3.019931153
c-Met-M-E	-0.0443748135
c-Met_pY1235-R-V	-0.01439086
c-Myc-R-C	-0.20145172
C-Raf-R-V	0.389395408
C-Raf_pS338-R-V	-0.161862609
Caspase-7_cleavedD198-R-C	1.5257119765
Caspase-8-M-E	0.146640632
Caveolin-1-R-V	-1.1274436235
CD20-R-C	0.2648925985
CD31-M-V	-0.0746576125
CD49b-M-V	-0.0782696075000002
CDK1-R-V	-0.2168321185
Chk1-M-C	-0.142795367
Chk1_pS345-R-C	0.109072509
Chk2-M-E	0.621325866
Chk2_pT68-R-C	-0.235761901
cIAP-R-V	0.145361591
