Sample REF	2F39F62A-5684-4321-92F4-E9C97A332DBA
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0978401895000001
14-3-3_epsilon-M-C	0.1113223565
14-3-3_zeta-R-V	0.024156669
4E-BP1-R-V	-0.1380981655
4E-BP1_pS65-R-V	-0.1549622605
4E-BP1_pT37_T46-R-V	-0.0288824035
4E-BP1_pT70-R-V	-0.00327670650000006
53BP1-R-E	-0.305484269
A-Raf_pS299-R-C	0.011119154
ACC_pS79-R-V	0.00486963099999999
ACC1-R-E	-0.00186199949999999
Acetyl-a-Tubulin-Lys40-R-C	0.056437211
ACVRL1-R-C	0.028562532
ADAR1-M-V	-0.0253888435
Akt-R-V	0.1023970045
Akt_pS473-R-V	0.350002321
Akt_pT308-R-V	0.1332442185
alpha-Catenin-M-V	-0.16594976
AMPK_alpha-R-C	0.1583761495
AMPK_pT172-R-V	-0.00100061549999997
Annexin-1-M-E	0.148027039
Annexin_VII-M-V	0.1846079575
AR-R-V	0.114062561
DIRAS3-M-E	0.0428589804999999
ASNS-R-V	0.17910752
ATM-R-E	0.289449825
B-Raf-M-C	0.032457704
Bad_pS112-R-V	0.0112476885
Bak-R-C	-0.0440615099999999
Bap1-c-4-M-E	-0.2068491915
Bax-R-V	0.1239322265
Bcl-2-M-V	0.0527205930000001
Bcl-xL-R-V	-0.00733259800000002
Beclin-G-C	0.3129187095
beta-Catenin-R-V	-0.3480080275
Bid-R-C	0.00129975199999999
Bim-R-V	-0.148525806
c-Jun_pS73-R-V	-0.0119330360000001
c-Kit-R-V	0.4029317395
c-Met-M-E	-0.103860928
c-Met_pY1235-R-V	-0.1651713955
c-Myc-R-C	-0.0501570285
C-Raf-R-V	-0.1561842405
C-Raf_pS338-R-V	0.0511271365
Caspase-7_cleavedD198-R-C	-0.328286048
Caspase-8-M-E	0.1076088625
Caveolin-1-R-V	0.954195448
CD20-R-C	-0.196967562
CD31-M-V	-0.022304401
CD49b-M-V	-0.00268718500000009
CDK1-R-V	-0.016316723
Chk1-M-C	-0.2559049535
Chk1_pS345-R-C	-0.0178102465
Chk2-M-E	-0.0568428595
Chk2_pT68-R-C	-0.1030588055
cIAP-R-V	0.1268530765
Claudin-7-R-V	-0.577465131
Collagen_VI-R-V	0.1132976455
Cyclin_B1-R-V	-0.4171926
Cyclin_D1-R-V	0.1597353325
Cyclin_E1-M-V	-0.194220415
Cyclin_E2-R-C	-0.098224208
DJ-1-R-E	0.0809277835
Dvl3-R-V	-0.1385655585
E-Cadherin-R-V	-1.408173398
eEF2-R-C	-0.0737765785
eEF2K-R-V	0.234896013
EGFR-R-V	0.0547264080000001
EGFR_pY1068-R-C	-0.0619388785000001
EGFR_pY1173-R-V	-0.0893661315
eIF4E-R-V	0.015070131
eIF4G-R-C	-0.2242157485
ER-alpha-R-V	0.0795874894999999
ER-alpha_pS118-R-V	-0.18623577
ERCC1-M-V	-0.015705669
ERK2-R-E	0.1170310645
ETS-1-R-V	-0.0310992895000001
FASN-R-V	-0.059207056
Fibronectin-R-V	-0.407798903
FoxM1-R-V	-0.049593474
FOXO3a-R-C	0.0264477085000001
FOXO3a_pS318_S321-R-C	0.0563957995000001
G6PD-M-V	0.104482521
GAB2-R-V	0.4722793955
GAPDH-M-C	0.0894727544999999
GATA3-M-V	0.1607159245
GSK3-alpha-beta-M-V	0.073313074
GSK3-alpha-beta_pS21_S9-R-V	0.214029051
GSK3_pS9-R-V	0.099363065
HER2-M-V	-0.3354586175
HER2_pY1248-R-C	-0.170703816
HER3-R-V	-0.3830836135
HER3_pY1289-R-C	-0.121695804
Heregulin-R-V	-0.212950786
HSP70-R-C	0.224825721
IGFBP2-R-V	0.1942043415
INPP4B-R-V	0.0201251180000002
IRS1-R-V	-0.0694914169999999
JAB1-M-C	-0.0837651045000001
JNK_pT183_pY185-R-V	0.00200606999999997
JNK2-R-C	0.137332549
Ku80-R-C	-0.0560393109999999
Lck-R-V	0.3522858055
LKB1-M-E	0.010097981
MAPK_pT202_Y204-R-V	0.162109286
MEK1-R-V	0.2778309995
MEK1_pS217_S221-R-V	0.06759016
MIG-6-M-V	-0.0923571535
Mre11-R-C	0.055824365
MSH2-M-V	-0.4233794135
MSH6-R-C	-0.6758147545
mTOR-R-V	-0.0827746155
mTOR_pS2448-R-C	0.1354023805
MYH11-R-V	1.353578374
Myosin-IIa_pS1943-R-V	-0.072250023
N-Cadherin-R-V	0.0295139635
N-Ras-M-V	-0.0670569325000001
NDRG1_pT346-R-V	0.9023322355
NF-kB-p65_pS536-R-C	0.3282349215
NF2-R-C	-0.1846578945
Notch1-R-V	-0.123873109
P-Cadherin-R-C	-0.1307257845
p21-R-V	0.2580789905
p27-R-V	0.2004607225
p27_pT157-R-C	-0.0868992560000001
p27_pT198-R-V	0.0461575825
p38_MAPK-R-V	0.1858834405
p38_pT180_Y182-R-V	0.00936656650000001
p53-R-E	0.0770823820000002
p62-LCK-ligand-M-C	0.0120307135
p70S6K-R-V	-0.0188473605
p70S6K_pT389-R-V	0.108605748
p90RSK-R-C	0.07115339
p90RSK_pT359_S363-R-C	0.160636622
PAI-1-M-E	-0.3180551985
PARP_cleaved-M-E	-0.200349526
PARP1-R-V	-0.4127568295
Paxillin-R-C	-0.0459038845
PCNA-M-C	-0.2588360445
PDCD4-R-C	0.3055005985
PDK1-R-V	0.1557926195
PDK1_pS241-R-V	0.245664095
PEA15-R-V	0.2228567755
PEA15_pS116-R-V	0.107737582
PI3K-p110-alpha-R-C	-0.00697076299999999
PI3K-p85-R-V	0.271391646
PKC-alpha-M-V	0.3777343765
PKC-alpha_pS657-R-C	0.427059006
PKC-delta_pS664-R-V	-0.0598020950000001
PKC-pan_BetaII_pS660-R-V	0.336936072
PR-R-V	-0.1109854715
PRAS40_pT246-R-V	-0.014636508
PRDX1-R-V	0.06317367
PREX1-R-E	0.343449736
PTEN-R-V	-0.00600181449999998
Rab11-R-E	0.079575184
Rab25-R-V	0.25744344
Rad50-M-V	0.038990405
Rad51-R-V	0.2684306695
Raptor-R-V	-0.0286489864999999
Rb-M-E	-0.0692913290000001
Rb_pS807_S811-R-V	-0.00706966200000003
RBM15-R-V	-0.354404358
Rictor-R-C	-0.0401943435
Rictor_pT1135-R-V	0.0302914304999999
S6-R-E	-0.333464563
S6_pS235_S236-R-V	0.3297287795
S6_pS240_S244-R-V	-0.0252382040000001
SCD-M-V	-0.0336353530000002
SETD2-R-E	-0.135790119
SF2-M-V	-0.00659331950000008
Shc_pY317-R-E	-0.1896653165
Smac-M-E	0.132835247
Smad1-R-V	-0.156127626
Smad3-R-V	-0.183779062
Smad4-M-V	-0.197101091
Snail-M-E	-0.207038855
Src-M-V	0.446441416
Src_pY416-R-C	0.270486431
Src_pY527-R-V	0.3002960185
STAT3_pY705-R-V	0.1216530855
STAT5-alpha-R-V	0.461563539
Stathmin-R-V	-0.030325521
Syk-M-V	0.633969456
TAZ-R-V	-0.0836913770000001
TFRC-R-V	0.253231293
TIGAR-R-V	-0.115319055
Transglutaminase-M-V	-0.1240402475
TSC1-R-C	0.0847705434999999
TTF1-R-V	0.048684236
Tuberin-R-E	0.0121603124999999
Tuberin_pT1462-R-V	0.2315455345
VEGFR2-R-V	-0.3016805375
EPPK1-M-E	-0.6547004985
XBP1-G-C	0.501513641
XRCC1-R-E	-0.140775714
YAP-R-E	0.00100061549999997
YAP_pS127-R-E	0.1909735745
YB-1-R-V	-0.048425865
YB-1_pS102-R-V	0.057730145
A-Raf-R-V	0.021605269
ARID1A-R-C	-0.1173897385
B-Raf_pS445-R-V	0.110258497
Bcl2A1-R-V	0.1916573055
BRD4-R-V	-0.1396480565
c-Abl-R-V	-0.133424616
Caspase-3-R-C	-0.2822855825
CD26-R-V	-0.121210732
Chk1_pS296-R-V	-0.134073069
COG3-R-V	0.08754371
DUSP4-R-V	-0.2193094885
ERCC5-R-C	0.00622865649999993
IGF1R_pY1135_Y1136-R-V	-0.0825071724999999
IRF-1-R-C	-0.0546079780000001
Jak2-R-V	-0.030960046
p16_INK4a-R-V	-0.0810860529999997
SHP-2_pY542-R-C	-0.153714532
CDK1_pY15-R-C	-0.0698669665
