Sample REF	3038E498-4365-43D6-982E-45B997F2D9E2
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.1539044935
14-3-3_epsilon-M-C	0.0600261355000001
14-3-3_zeta-R-V	0.43576437
4E-BP1-R-V	0.1720620975
4E-BP1_pS65-R-V	-0.1215203465
4E-BP1_pT37_T46-R-V	-0.1723693435
4E-BP1_pT70-R-V	0.1553009705
53BP1-R-E	0.17986141
A-Raf_pS299-R-C	-0.130656273
ACC_pS79-R-V	-0.954320978
ACC1-R-E	-0.6063217085
Acetyl-a-Tubulin-Lys40-R-C	0.787069818
ACVRL1-R-C	-0.0183477520000001
ADAR1-M-V	0.2624912015
Akt-R-V	-0.4144323465
Akt_pS473-R-V	-0.458458468
Akt_pT308-R-V	-0.2587731415
alpha-Catenin-M-V	0.070363018
AMPK_alpha-R-C	0.0985582405
AMPK_pT172-R-V	-2.5500530625
Annexin-1-M-E	-0.417202261
Annexin_VII-M-V	0.2718585285
AR-R-V	0.099759856
DIRAS3-M-E	-0.00235000249999995
ASNS-R-V	-0.218495218
ATM-R-E	-1.274774995
B-Raf-M-C	0.194233555
Bad_pS112-R-V	-0.3787995445
Bak-R-C	-0.112967802
Bap1-c-4-M-E	0.2476270715
Bax-R-V	0.2542370165
Bcl-2-M-V	-0.01369754
Bcl-xL-R-V	0.207052461
Beclin-G-C	0.4072494055
beta-Catenin-R-V	-0.5629514625
Bid-R-C	-0.00766623099999997
Bim-R-V	0.470256333
c-Jun_pS73-R-V	-0.0143890379999999
c-Kit-R-V	1.5321253555
c-Met-M-E	0.110646604
c-Met_pY1235-R-V	0.1245702115
c-Myc-R-C	0.3205949575
C-Raf-R-V	-0.0602375034999999
C-Raf_pS338-R-V	-0.0183839775
Caspase-7_cleavedD198-R-C	-0.580333553
Caspase-8-M-E	-0.0387387505
Caveolin-1-R-V	0.703607497
CD20-R-C	0.333672739
CD31-M-V	0.121518747
CD49b-M-V	-0.076050872
CDK1-R-V	0.088688531
Chk1-M-C	-0.3219867475
Chk1_pS345-R-C	-0.2932983925
Chk2-M-E	0.1665561675
Chk2_pT68-R-C	-0.1180923235
cIAP-R-V	0.00666153450000007
Claudin-7-R-V	1.587953616
Collagen_VI-R-V	0.5865352295
Cyclin_B1-R-V	0.109950048
Cyclin_D1-R-V	-0.00238830249999988
Cyclin_E1-M-V	0.37721549
Cyclin_E2-R-C	0.247718619
DJ-1-R-E	0.1427743235
Dvl3-R-V	-0.3748686355
E-Cadherin-R-V	0.048627819
eEF2-R-C	0.1972821545
eEF2K-R-V	0.559449963
EGFR-R-V	0.096492008
EGFR_pY1068-R-C	-0.1166743315
EGFR_pY1173-R-V	0.1318252985
eIF4E-R-V	0.151342098
eIF4G-R-C	0.0828585325
ER-alpha-R-V	-0.1542462995
ER-alpha_pS118-R-V	0.322463976
ERCC1-M-V	0.0188440980000001
ERK2-R-E	-0.0637709734999999
ETS-1-R-V	-0.0778356695
FASN-R-V	-0.525223531
Fibronectin-R-V	-0.271374212
