Sample REF	31192A5E-2FFD-4824-8683-4533F7ADA5C4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0905466895
14-3-3_epsilon-M-C	-0.00023234350000001
14-3-3_zeta-R-V	0.221819868
4E-BP1-R-V	0.3390476985
4E-BP1_pS65-R-V	0.0205247075
4E-BP1_pT37_T46-R-V	0.3403368745
4E-BP1_pT70-R-V	0.0498826115
53BP1-R-E	-0.056770124
A-Raf_pS299-R-C	0.0835916059999999
ACC_pS79-R-V	0.093457215
ACC1-R-E	0.1144633385
Acetyl-a-Tubulin-Lys40-R-C	0.208182027
ACVRL1-R-C	-0.104998328
ADAR1-M-V	0.1072012165
Akt-R-V	-0.00957855050000002
Akt_pS473-R-V	0.47281505
Akt_pT308-R-V	0.0251792045
alpha-Catenin-M-V	0.097363648
AMPK_alpha-R-C	0.00395633149999997
AMPK_pT172-R-V	-0.8745337985
Annexin-1-M-E	-0.272724628
Annexin_VII-M-V	0.0111752415
AR-R-V	0.076164909
DIRAS3-M-E	-0.0957158225000001
ASNS-R-V	-0.479891598
ATM-R-E	-0.216620443
B-Raf-M-C	0.597970153
Bad_pS112-R-V	-0.0625892425
Bak-R-C	0.049024704
Bap1-c-4-M-E	-0.1374442585
Bax-R-V	0.2229109775
Bcl-2-M-V	-0.101957094
Bcl-xL-R-V	-0.055823429
Beclin-G-C	0.4965918455
beta-Catenin-R-V	0.2631469825
Bid-R-C	-0.132495836
Bim-R-V	0.029517761
c-Jun_pS73-R-V	-0.051200476
c-Kit-R-V	1.4594973355
c-Met-M-E	0.04408629
c-Met_pY1235-R-V	0.0370994525
c-Myc-R-C	-0.0115944985
C-Raf-R-V	-0.2846970275
C-Raf_pS338-R-V	-0.0656343965
Caspase-7_cleavedD198-R-C	-0.86247256
Caspase-8-M-E	-0.0311649815
Caveolin-1-R-V	-0.00532232799999999
CD20-R-C	0.188310479
CD31-M-V	-0.0700566300000001
CD49b-M-V	-0.138335763
CDK1-R-V	0.00548271099999997
Chk1-M-C	-0.1240373495
Chk1_pS345-R-C	0.0735774475
Chk2-M-E	0.4867454085
Chk2_pT68-R-C	-0.1518722175
cIAP-R-V	-0.0165536635
Claudin-7-R-V	-0.204242998
Collagen_VI-R-V	0.1810145605
Cyclin_B1-R-V	0.315987909
Cyclin_D1-R-V	0.00023234350000001
Cyclin_E1-M-V	-0.060989816
Cyclin_E2-R-C	0.508147743
DJ-1-R-E	0.0164335935
Dvl3-R-V	0.3375804275
E-Cadherin-R-V	-0.892141824
eEF2-R-C	0.5183822505
eEF2K-R-V	0.462033429
EGFR-R-V	-0.088899893
EGFR_pY1068-R-C	-0.0935774935
EGFR_pY1173-R-V	0.0418973295
eIF4E-R-V	0.127803107
eIF4G-R-C	0.2831458895
ER-alpha-R-V	-0.1581810695
ER-alpha_pS118-R-V	0.154115164
ERCC1-M-V	0.068898339
ERK2-R-E	0.0191656044999999
ETS-1-R-V	-0.0957820325000001
FASN-R-V	-0.115914056
Fibronectin-R-V	-0.835095395
FoxM1-R-V	0.145574574
FOXO3a-R-C	-0.1321830005
FOXO3a_pS318_S321-R-C	-0.0107893815
G6PD-M-V	-0.076111475
GAB2-R-V	0.3509663555
GAPDH-M-C	0.1746406035
GATA3-M-V	-0.1626481465
GSK3-alpha-beta-M-V	0.18633499
GSK3-alpha-beta_pS21_S9-R-V	0.38386404
GSK3_pS9-R-V	0.210132825
HER2-M-V	-0.1032514285
HER2_pY1248-R-C	-0.157175364
HER3-R-V	-0.1828131045
HER3_pY1289-R-C	-0.087517319
Heregulin-R-V	0.05111665
HSP70-R-C	-0.357989766
IGFBP2-R-V	-0.7266834555
INPP4B-R-V	-0.0472490299999999
IRS1-R-V	0.254776361
JAB1-M-C	-0.1142731505
JNK_pT183_pY185-R-V	-0.041060836
JNK2-R-C	-0.0917613520000001
Ku80-R-C	0.456361595
Lck-R-V	-0.1777793075
LKB1-M-E	-0.051412086
MAPK_pT202_Y204-R-V	0.49326741
MEK1-R-V	0.2124911865
MEK1_pS217_S221-R-V	-0.0838192270000001
MIG-6-M-V	-0.1209273995
Mre11-R-C	-0.1511812
MSH2-M-V	0.0085344825
