Sample REF	31F2E3DE-E05D-4581-BAD8-1FDF29576EF7
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0153915329999999
14-3-3_epsilon-M-C	0.155482015
14-3-3_zeta-R-V	0.0927680715
4E-BP1-R-V	0.115202162
4E-BP1_pS65-R-V	-0.140780724
4E-BP1_pT37_T46-R-V	-0.217451649
4E-BP1_pT70-R-V	0.0803572829999999
53BP1-R-E	-0.4189447495
A-Raf_pS299-R-C	-0.0931741665
ACC_pS79-R-V	0.2565077605
ACC1-R-E	0.348270104
Acetyl-a-Tubulin-Lys40-R-C	0.0840444015
ACVRL1-R-C	-0.00219859149999996
ADAR1-M-V	-0.189350541
Akt-R-V	0.150653482
Akt_pS473-R-V	0.2622237135
Akt_pT308-R-V	-0.0144493980000001
alpha-Catenin-M-V	-0.0696938325
AMPK_alpha-R-C	0.114551846
AMPK_pT172-R-V	0.328302472
Annexin-1-M-E	0.3647974025
Annexin_VII-M-V	0.134894774
AR-R-V	-0.1794432385
DIRAS3-M-E	0.0260169770000001
ASNS-R-V	0.6544452895
ATM-R-E	-0.4028739085
B-Raf-M-C	-0.1377556355
Bad_pS112-R-V	-0.0495765
Bak-R-C	0.0350990085000001
Bap1-c-4-M-E	-0.171575734
Bax-R-V	0.153973774
Bcl-2-M-V	-0.0444653805000001
Bcl-xL-R-V	0.4972851775
Beclin-G-C	0.0265405889999999
beta-Catenin-R-V	0.382896112
Bid-R-C	0.0280777174999999
Bim-R-V	-0.0414761185
c-Jun_pS73-R-V	-0.0537906045
c-Kit-R-V	-0.691624571
c-Met-M-E	-0.1160771185
c-Met_pY1235-R-V	-0.093760053
c-Myc-R-C	-0.128298161
C-Raf-R-V	0.035286175
C-Raf_pS338-R-V	0.019247356
Caspase-7_cleavedD198-R-C	0.1037369685
Caspase-8-M-E	-0.0110021750000001
Caveolin-1-R-V	0.5982179055
CD20-R-C	-0.2380022455
CD31-M-V	0.0605864745
CD49b-M-V	-0.0100906855000002
CDK1-R-V	0.1142981935
Chk1-M-C	-0.259019306
Chk1_pS345-R-C	-0.012139829
Chk2-M-E	-0.256507483
Chk2_pT68-R-C	-0.18551664
cIAP-R-V	0.077477372
Claudin-7-R-V	0.3576331885
Collagen_VI-R-V	0.251697259
Cyclin_B1-R-V	0.2971463705
Cyclin_D1-R-V	-0.00547396500000003
Cyclin_E1-M-V	0.3861450145
Cyclin_E2-R-C	-0.1046104375
DJ-1-R-E	0.108517996
Dvl3-R-V	-0.134346384
E-Cadherin-R-V	0.0747764205000001
eEF2-R-C	-0.0742959690000001
eEF2K-R-V	-0.6897800645
EGFR-R-V	0.0199938944999999
EGFR_pY1068-R-C	-0.153062527
EGFR_pY1173-R-V	-0.138345165
eIF4E-R-V	0.0540685185
eIF4G-R-C	0.203281117
ER-alpha-R-V	-0.138521678
ER-alpha_pS118-R-V	-0.2954051855
ERCC1-M-V	-0.0306226505
ERK2-R-E	0.0865243619999999
ETS-1-R-V	0.0724688169999999
FASN-R-V	0.4263495085
Fibronectin-R-V	1.1565263225
FoxM1-R-V	0.2016574785
FOXO3a-R-C	-0.00335988500000001
FOXO3a_pS318_S321-R-C	0.0145488240000001
G6PD-M-V	0.1593906185
GAB2-R-V	-0.429847991
GAPDH-M-C	0.912562462
GATA3-M-V	-0.154375977
GSK3-alpha-beta-M-V	0.0679033315
GSK3-alpha-beta_pS21_S9-R-V	-0.0473341605
GSK3_pS9-R-V	0.0904763075
HER2-M-V	0.027060398
HER2_pY1248-R-C	-0.1185403525
HER3-R-V	0.0244136699999999
HER3_pY1289-R-C	0.0196559935
Heregulin-R-V	0.4857846675
HSP70-R-C	0.1075233635
IGFBP2-R-V	0.256192361
INPP4B-R-V	-0.1460220875
IRS1-R-V	-0.0533522875
JAB1-M-C	-0.0295489640000001
JNK_pT183_pY185-R-V	0.0102059924999999
JNK2-R-C	0.2688810195
Ku80-R-C	-0.6389933975
Lck-R-V	0.026407664
LKB1-M-E	-0.0016311745
MAPK_pT202_Y204-R-V	-0.2214657055
MEK1-R-V	0.048533673
MEK1_pS217_S221-R-V	0.0311669494999999
MIG-6-M-V	0.220161959
Mre11-R-C	-0.0427466674999999
MSH2-M-V	0.095101768
MSH6-R-C	0.00388773400000036
mTOR-R-V	-0.169081986
mTOR_pS2448-R-C	-0.0920315209999999
MYH11-R-V	2.2219687195
Myosin-IIa_pS1943-R-V	1.0920351935
N-Cadherin-R-V	-0.115154673
N-Ras-M-V	0.00291738099999989
NDRG1_pT346-R-V	-0.00867456499999991
NF-kB-p65_pS536-R-C	0.084894657
NF2-R-C	-0.00167600800000006
Notch1-R-V	0.0190319785
P-Cadherin-R-C	-0.160454145
p21-R-V	-0.401835857
p27-R-V	0.061169703
p27_pT157-R-C	-0.1886494975
p27_pT198-R-V	-0.239620877
p38_MAPK-R-V	0.264843492
p38_pT180_Y182-R-V	0.181695848
p53-R-E	-0.00587608750000007
p62-LCK-ligand-M-C	0.207187303
p70S6K-R-V	-0.094857249
p70S6K_pT389-R-V	-0.3247178095
p90RSK-R-C	0.2738863175
p90RSK_pT359_S363-R-C	0.0404186235000001
PAI-1-M-E	1.807368482
PARP_cleaved-M-E	-0.0988209835000002
PARP1-R-V	-0.234205503
Paxillin-R-C	0.252963858
PCNA-M-C	0.12292589
PDCD4-R-C	-0.405970605
PDK1-R-V	0.0528028529999999
PDK1_pS241-R-V	0.0641493365
PEA15-R-V	0.202745305
PEA15_pS116-R-V	-0.1944659375
PI3K-p110-alpha-R-C	-0.0659024925
PI3K-p85-R-V	-0.0507110874999999
PKC-alpha-M-V	0.178269004
PKC-alpha_pS657-R-C	0.1746178475
PKC-delta_pS664-R-V	-0.1407156715
PKC-pan_BetaII_pS660-R-V	0.1241361355
PR-R-V	-0.0484154810000001
PRAS40_pT246-R-V	0.00740314549999999
PRDX1-R-V	-0.1089105655
PREX1-R-E	-0.3498667845
PTEN-R-V	0.166632391
Rab11-R-E	0.0016311745
Rab25-R-V	0.3487666425
Rad50-M-V	-0.0385191855000001
Rad51-R-V	-0.151131595
Raptor-R-V	-0.127888401
Rb-M-E	-0.0670907755000001
Rb_pS807_S811-R-V	-0.1135620885
RBM15-R-V	-0.3824864215
Rictor-R-C	0.927267451
Rictor_pT1135-R-V	-0.0767079170000001
S6-R-E	-0.4688546015
S6_pS235_S236-R-V	-0.0732718100000002
S6_pS240_S244-R-V	0.0158509884999998
SCD-M-V	-0.1097121805
SETD2-R-E	-0.0924945655
SF2-M-V	-0.174105442
Shc_pY317-R-E	0.0619356839999999
Smac-M-E	-0.2987968025
Smad1-R-V	-0.0271445955
Smad3-R-V	-0.1809717565
Smad4-M-V	0.1009703105
Snail-M-E	-0.2765833115
Src-M-V	-0.2867474685
Src_pY416-R-C	0.0784015265
Src_pY527-R-V	-0.162704163
STAT3_pY705-R-V	0.340213007
STAT5-alpha-R-V	-0.1822622385
Stathmin-R-V	-0.0565590375
Syk-M-V	0.0511731134999998
