Sample REF	34421005-34A0-424F-B851-319BCF320966
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.226470831
14-3-3_epsilon-M-C	-0.028117602
14-3-3_zeta-R-V	-0.2118440405
4E-BP1-R-V	0.377667997
4E-BP1_pS65-R-V	0.434890898
4E-BP1_pT37_T46-R-V	0.642494409
4E-BP1_pT70-R-V	0.705080481
53BP1-R-E	-0.2742572125
A-Raf_pS299-R-C	-0.0870379435000002
ACC_pS79-R-V	-0.0851633864999999
ACC1-R-E	-0.324817028
Acetyl-a-Tubulin-Lys40-R-C	0.3804220635
ACVRL1-R-C	0.3086876695
ADAR1-M-V	-0.232392516
Akt-R-V	0.140573614
Akt_pS473-R-V	-0.1613134855
Akt_pT308-R-V	0.369872317
alpha-Catenin-M-V	0.0189351954999999
AMPK_alpha-R-C	0.163431793
AMPK_pT172-R-V	0.472480669
Annexin-1-M-E	0.4506384255
Annexin_VII-M-V	-0.180846235
AR-R-V	0.1287714435
DIRAS3-M-E	0.235355707
ASNS-R-V	-0.5106205465
ATM-R-E	-0.4204887285
B-Raf-M-C	-0.4820203865
Bad_pS112-R-V	-0.147579596
Bak-R-C	0.2923493385
Bap1-c-4-M-E	-0.533247586
Bax-R-V	-0.419783597
Bcl-2-M-V	0.3026980085
Bcl-xL-R-V	0.7920749905
Beclin-G-C	0.0827159350000001
beta-Catenin-R-V	-0.00370823399999998
Bid-R-C	0.6474942195
Bim-R-V	-0.5856779345
c-Jun_pS73-R-V	0.0892111904999999
c-Kit-R-V	-0.544315849
c-Met-M-E	0.2803149335
c-Met_pY1235-R-V	0.208640469
c-Myc-R-C	0.292711272
C-Raf-R-V	-0.140020257
C-Raf_pS338-R-V	0.409790129
Caspase-7_cleavedD198-R-C	-0.6342261715
Caspase-8-M-E	0.284162069
Caveolin-1-R-V	-0.0556566915
CD20-R-C	0.00981449450000005
CD31-M-V	0.1429365175
CD49b-M-V	0.2875436365
CDK1-R-V	0.0628932635000001
Chk1-M-C	-0.665505999
Chk1_pS345-R-C	-0.162431376
Chk2-M-E	-1.355108672
Chk2_pT68-R-C	0.312644611
cIAP-R-V	-0.0660599829999999
Claudin-7-R-V	-0.7196367835
Collagen_VI-R-V	0.420040994
Cyclin_B1-R-V	-1.7372549255
Cyclin_D1-R-V	0.477835742
Cyclin_E1-M-V	-0.4167786475
Cyclin_E2-R-C	-0.0311571755
DJ-1-R-E	-0.152856256
Dvl3-R-V	0.55942117
E-Cadherin-R-V	-0.7586996215
eEF2-R-C	-0.414818731
eEF2K-R-V	0.2827083905
EGFR-R-V	0.0548165235
EGFR_pY1068-R-C	0.0562518490000001
EGFR_pY1173-R-V	0.273370825
eIF4E-R-V	-0.1555660045
eIF4G-R-C	-0.2673698
ER-alpha-R-V	0.248221674
ER-alpha_pS118-R-V	-0.00777705449999999
ERCC1-M-V	0.1226141555
ERK2-R-E	-0.221799826
ETS-1-R-V	0.0166356390000001
FASN-R-V	-0.5472103545
Fibronectin-R-V	0.9232468355
FoxM1-R-V	-0.0406885794999999
FOXO3a-R-C	0.342577971
FOXO3a_pS318_S321-R-C	0.182789358
G6PD-M-V	-0.2946907075
GAB2-R-V	-0.308711463
GAPDH-M-C	-1.041140405
GATA3-M-V	0.110983765
GSK3-alpha-beta-M-V	-0.5353390255
GSK3-alpha-beta_pS21_S9-R-V	-0.3624873105
GSK3_pS9-R-V	-0.0120686874999999
HER2-M-V	0.651822259
HER2_pY1248-R-C	0.2950745165
HER3-R-V	-0.19855097
HER3_pY1289-R-C	0.2131600865
Heregulin-R-V	0.1128012885
HSP70-R-C	1.5045715195
IGFBP2-R-V	-0.436208296
INPP4B-R-V	-0.0983356965
IRS1-R-V	0.3910722645
JAB1-M-C	0.00242798300000002
JNK_pT183_pY185-R-V	0.3009780885
JNK2-R-C	-0.1326916935
Ku80-R-C	-0.8990119495
Lck-R-V	-0.332219219
LKB1-M-E	0.4062533695
MAPK_pT202_Y204-R-V	0.0712221155000001
MEK1-R-V	0.081250471
MEK1_pS217_S221-R-V	0.3278004175
MIG-6-M-V	0.0491085410000001
Mre11-R-C	0.4237777905
MSH2-M-V	-0.910812018
MSH6-R-C	-1.485322021
mTOR-R-V	-0.62851932
mTOR_pS2448-R-C	-0.27277847
MYH11-R-V	1.9475638425
Myosin-IIa_pS1943-R-V	-0.1782279575
N-Cadherin-R-V	0.257400574
N-Ras-M-V	0.127291621
NDRG1_pT346-R-V	0.139319076
NF-kB-p65_pS536-R-C	0.331730748
NF2-R-C	-0.284129259
Notch1-R-V	0.2128995095
P-Cadherin-R-C	0.065655775
p21-R-V	-0.158935117
p27-R-V	-0.00242798299999991
p27_pT157-R-C	0.0492714775
p27_pT198-R-V	0.0518647839999999
p38_MAPK-R-V	-0.10145761
p38_pT180_Y182-R-V	-0.340047276
p53-R-E	0.00994620950000025
p62-LCK-ligand-M-C	-0.638997657
p70S6K-R-V	0.108578354
p70S6K_pT389-R-V	0.1573656845
p90RSK-R-C	-1.0381028625
p90RSK_pT359_S363-R-C	0.3962988705
PAI-1-M-E	0.541279733
PARP_cleaved-M-E	-0.00825288550000014
PARP1-R-V	-1.574741133
Paxillin-R-C	-0.073369893
PCNA-M-C	-0.234243699
PDCD4-R-C	-0.690483187
PDK1-R-V	0.046854629
PDK1_pS241-R-V	0.0446520675000001
PEA15-R-V	-0.095438452
PEA15_pS116-R-V	0.1061839965
PI3K-p110-alpha-R-C	0.1440871605
PI3K-p85-R-V	-0.3295818495
PKC-alpha-M-V	-0.263772029
PKC-alpha_pS657-R-C	-0.4951685885
PKC-delta_pS664-R-V	-0.3210210175
PKC-pan_BetaII_pS660-R-V	-0.9949642255
PR-R-V	0.287009599
PRAS40_pT246-R-V	-0.0869854685
PRDX1-R-V	-1.3295761655
PREX1-R-E	-0.9484468545
PTEN-R-V	0.120839702
Rab11-R-E	0.4458327965
Rab25-R-V	0.2945486355
Rad50-M-V	-0.2653740005
Rad51-R-V	0.696118234
Raptor-R-V	-0.00442602799999992
Rb-M-E	0.5014526605
Rb_pS807_S811-R-V	-0.6974175165
RBM15-R-V	-0.4639437385
Rictor-R-C	0.422719715
Rictor_pT1135-R-V	0.672848527
S6-R-E	-0.5732558555
S6_pS235_S236-R-V	-0.873506106
S6_pS240_S244-R-V	-0.2279931005
SCD-M-V	-0.0175409965000002
SETD2-R-E	0.2257011455
SF2-M-V	-0.128878609
Shc_pY317-R-E	-0.0937017000000002
Smac-M-E	-0.7833476785
Smad1-R-V	-0.0521954265
Smad3-R-V	0.0329649415000001
Smad4-M-V	0.0524097175000002
Snail-M-E	-0.00791277450000005
Src-M-V	0.00308655850000006
Src_pY416-R-C	-0.5191249125
Src_pY527-R-V	0.337753716
STAT3_pY705-R-V	-0.142128365
STAT5-alpha-R-V	-0.7323107605
Stathmin-R-V	0.3175860225
Syk-M-V	-1.5326911505
TAZ-R-V	0.5314972365
TFRC-R-V	-0.8360717565
TIGAR-R-V	-0.1876297075
Transglutaminase-M-V	0.048907663
TSC1-R-C	0.05077205
TTF1-R-V	0.2391673935
Tuberin-R-E	0.0166109
Tuberin_pT1462-R-V	0.307684998
VEGFR2-R-V	-0.188461232
EPPK1-M-E	-0.591892532
XBP1-G-C	0.2250899195
XRCC1-R-E	-0.4203651875
YAP-R-E	0.497162995
YAP_pS127-R-E	0.753874933
YB-1-R-V	0.4309460875
YB-1_pS102-R-V	0.3415929205
A-Raf-R-V	-0.3471993045
ARID1A-R-C	-0.269524999
B-Raf_pS445-R-V	-0.3791038655
Bcl2A1-R-V	0.624703004
BRD4-R-V	-0.32772021
c-Abl-R-V	-0.0461336805
Caspase-3-R-C	-0.238223048
CD26-R-V	0.1621118345
Chk1_pS296-R-V	0.2255336515
COG3-R-V	0.2718546705
DUSP4-R-V	-0.323394351
ERCC5-R-C	-0.390048197
IGF1R_pY1135_Y1136-R-V	0.284103791
IRF-1-R-C	-0.1269124005
Jak2-R-V	-0.4663800105
p16_INK4a-R-V	0.3627343475
SHP-2_pY542-R-C	-0.0358181275000002
CDK1_pY15-R-C	0.0864566260000001
