Sample REF	3A6A2C20-768D-44A6-9A60-8E06B938C7DD
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.07353710625
14-3-3_epsilon-M-C	-0.0102309167499999
14-3-3_zeta-R-V	0.00777842375000004
4E-BP1-R-V	-0.03335799075
4E-BP1_pS65-R-V	0.10784540625
4E-BP1_pT37_T46-R-V	0.42195591525
4E-BP1_pT70-R-V	0.18469539025
53BP1-R-E	-0.39719495725
A-Raf_pS299-R-C	-0.0702879402499999
ACC_pS79-R-V	-0.15321286825
ACC1-R-E	-0.05819527075
Acetyl-a-Tubulin-Lys40-R-C	-0.38708466225
ACVRL1-R-C	0.0964367477500001
ADAR1-M-V	-0.16898791975
Akt-R-V	0.03774948825
Akt_pS473-R-V	0.87195638975
Akt_pT308-R-V	0.87795951125
alpha-Catenin-M-V	-0.05968187825
AMPK_alpha-R-C	0.18565085025
AMPK_pT172-R-V	-0.0986980787499999
Annexin-1-M-E	0.06709452175
Annexin_VII-M-V	-0.16883704175
AR-R-V	-0.42445060225
DIRAS3-M-E	0.0564557552500002
ASNS-R-V	0.40006218475
ATM-R-E	-0.42270845425
B-Raf-M-C	-0.37430518525
Bad_pS112-R-V	-0.19617193775
Bak-R-C	0.00787221875000016
Bap1-c-4-M-E	-0.30367901475
Bax-R-V	-0.15106271575
Bcl-2-M-V	-0.0483899852499999
Bcl-xL-R-V	-0.35064848825
Beclin-G-C	-0.24010185075
beta-Catenin-R-V	0.04487198425
Bid-R-C	0.19280850575
Bim-R-V	-0.48719013625
c-Jun_pS73-R-V	0.0338430197500001
c-Kit-R-V	-0.87487394375
c-Met-M-E	-0.0989644102500001
c-Met_pY1235-R-V	0.01059023825
c-Myc-R-C	0.19695835425
C-Raf-R-V	-0.13695122875
C-Raf_pS338-R-V	0.36859176725
Caspase-7_cleavedD198-R-C	-0.32860910725
Caspase-8-M-E	-0.0412622797499999
Caveolin-1-R-V	-0.63755260425
CD20-R-C	-0.33156861525
CD31-M-V	0.12414835675
CD49b-M-V	0.10639721975
CDK1-R-V	0.17604099175
Chk1-M-C	-0.23963097475
Chk1_pS345-R-C	-0.27548616175
Chk2-M-E	-0.57319666475
Chk2_pT68-R-C	0.00814124625000001
cIAP-R-V	-0.15537256175
Claudin-7-R-V	0.40043927875
Collagen_VI-R-V	0.22940397925
Cyclin_B1-R-V	-0.21192229825
Cyclin_D1-R-V	0.41700659725
Cyclin_E1-M-V	-0.08936591325
Cyclin_E2-R-C	-0.30682424725
DJ-1-R-E	-0.17506330775
Dvl3-R-V	0.21477578325
E-Cadherin-R-V	0.0305262067500001
eEF2-R-C	-0.28043411375
eEF2K-R-V	-1.14662479325
EGFR-R-V	0.0572097817500001
EGFR_pY1068-R-C	0.00304878424999994
EGFR_pY1173-R-V	-0.05980590975
eIF4E-R-V	-0.01744331125
eIF4G-R-C	-0.01608928675
ER-alpha-R-V	0.04936923925
ER-alpha_pS118-R-V	-0.39513735125
ERCC1-M-V	-0.0241622772499999
ERK2-R-E	-0.18157368975
ETS-1-R-V	-0.03897978975
FASN-R-V	0.46936611875
Fibronectin-R-V	1.27189586575
FoxM1-R-V	-0.00304878424999994
