Sample REF	3C02CCB3-D1C0-4EEE-B701-5016A214DF1D
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.051106226
14-3-3_epsilon-M-C	0.0813839150000001
14-3-3_zeta-R-V	0.5917120945
4E-BP1-R-V	0.443058746
4E-BP1_pS65-R-V	0.235879731
4E-BP1_pT37_T46-R-V	0.086499353
4E-BP1_pT70-R-V	0.334538608
53BP1-R-E	-0.2215822695
A-Raf_pS299-R-C	-0.2354669785
ACC_pS79-R-V	0.2353457615
ACC1-R-E	0.097609741
Acetyl-a-Tubulin-Lys40-R-C	-0.0257678835
ACVRL1-R-C	-0.0997273365000001
ADAR1-M-V	0.11078583
Akt-R-V	-0.911244785
Akt_pS473-R-V	-0.5642756165
Akt_pT308-R-V	-0.362137172
alpha-Catenin-M-V	-0.0477328094999999
AMPK_alpha-R-C	-0.00702183600000003
AMPK_pT172-R-V	0.24517901
Annexin-1-M-E	-0.1450925185
Annexin_VII-M-V	-0.00104726499999994
AR-R-V	-0.1834075685
DIRAS3-M-E	0.0424255099999999
ASNS-R-V	1.0842098565
ATM-R-E	-0.3645081305
B-Raf-M-C	-0.1373979365
Bad_pS112-R-V	-0.108895542
Bak-R-C	0.2303252155
Bap1-c-4-M-E	0.342290141
Bax-R-V	0.201099791
Bcl-2-M-V	-0.1373025305
Bcl-xL-R-V	-0.1135294695
Beclin-G-C	-0.395703592
beta-Catenin-R-V	0.396546561
Bid-R-C	0.1380765595
Bim-R-V	0.7374498675
c-Jun_pS73-R-V	0.0140064155000001
c-Kit-R-V	-0.440466839
c-Met-M-E	0.00699833549999998
c-Met_pY1235-R-V	0.040782857
c-Myc-R-C	0.060471285
C-Raf-R-V	0.0727730960000001
C-Raf_pS338-R-V	0.023484679
Caspase-7_cleavedD198-R-C	-0.9235250585
Caspase-8-M-E	-0.011174412
Caveolin-1-R-V	0.2424721355
CD20-R-C	-0.0411226475
CD31-M-V	0.1443296125
CD49b-M-V	0.2309449035
CDK1-R-V	0.3184141165
Chk1-M-C	0.037638395
Chk1_pS345-R-C	0.145380928
Chk2-M-E	0.185500325
Chk2_pT68-R-C	0.085556422
cIAP-R-V	0.143976407
Claudin-7-R-V	1.1288355075
Collagen_VI-R-V	-0.00720753499999996
Cyclin_B1-R-V	0.9120717245
Cyclin_D1-R-V	-0.430660861
Cyclin_E1-M-V	-0.1769722345
Cyclin_E2-R-C	-0.0044680215
DJ-1-R-E	0.085489959
Dvl3-R-V	-0.197846122
E-Cadherin-R-V	0.8744994965
eEF2-R-C	0.174780789
eEF2K-R-V	-0.9516827185
EGFR-R-V	-0.0629775004999999
EGFR_pY1068-R-C	-0.16709598
EGFR_pY1173-R-V	-0.030014337
eIF4E-R-V	0.2540103125
eIF4G-R-C	0.578453444
ER-alpha-R-V	-0.102268942
ER-alpha_pS118-R-V	-0.0016719955
ERCC1-M-V	-0.0475661995
ERK2-R-E	-0.212033246
ETS-1-R-V	-0.000706783000000016
FASN-R-V	0.4097986715
Fibronectin-R-V	-0.0333288554999999
FoxM1-R-V	0.6525599125
FOXO3a-R-C	0.062141012
FOXO3a_pS318_S321-R-C	-0.0648437939999999
G6PD-M-V	-0.0658529485
GAB2-R-V	-0.597573768
GAPDH-M-C	1.14858201
GATA3-M-V	-0.08576627
GSK3-alpha-beta-M-V	-0.1135629535
GSK3-alpha-beta_pS21_S9-R-V	-0.5302762365
GSK3_pS9-R-V	-0.5785518805
