Sample REF	3D2B367F-7FAB-4301-9584-F9E5BC044D46
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.02197410125
14-3-3_epsilon-M-C	0.0438977237500001
14-3-3_zeta-R-V	-0.15572223375
4E-BP1-R-V	0.28423663575
4E-BP1_pS65-R-V	-0.00988199824999997
4E-BP1_pT37_T46-R-V	0.26251179675
4E-BP1_pT70-R-V	-0.20727431425
53BP1-R-E	0.81900061325
A-Raf_pS299-R-C	-0.00532098275000009
ACC_pS79-R-V	-0.27066793975
ACC1-R-E	-0.23234176425
Acetyl-a-Tubulin-Lys40-R-C	0.43340594625
ACVRL1-R-C	-0.000118495749999947
ADAR1-M-V	0.23850914275
Akt-R-V	-0.11124108825
Akt_pS473-R-V	1.06022999425
Akt_pT308-R-V	0.38569140175
alpha-Catenin-M-V	-0.000727287750000027
AMPK_alpha-R-C	0.08631510275
AMPK_pT172-R-V	-0.25970354625
Annexin-1-M-E	-0.24534239775
Annexin_VII-M-V	-0.16361576725
AR-R-V	-0.07795183375
DIRAS3-M-E	-0.07098138925
ASNS-R-V	-0.34026882175
ATM-R-E	-0.10171663975
B-Raf-M-C	0.22798779425
Bad_pS112-R-V	-0.16154218525
Bak-R-C	-0.22178565675
Bap1-c-4-M-E	0.08809179075
Bax-R-V	0.21462576675
Bcl-2-M-V	-0.0554863447499999
Bcl-xL-R-V	-0.44682774075
Beclin-G-C	-0.18657940125
beta-Catenin-R-V	-0.45630687325
Bid-R-C	-0.36139682275
Bim-R-V	-0.49480940675
c-Jun_pS73-R-V	-0.000631989750000062
c-Kit-R-V	2.43773836075
c-Met-M-E	0.0256820122499999
c-Met_pY1235-R-V	-0.11412629825
c-Myc-R-C	0.10445262075
C-Raf-R-V	0.22114686475
C-Raf_pS338-R-V	0.02033880475
Caspase-7_cleavedD198-R-C	0.45217026825
Caspase-8-M-E	0.14302806175
Caveolin-1-R-V	-0.86812103975
CD20-R-C	-0.06328903575
CD31-M-V	-0.0311646907499999
CD49b-M-V	-0.12892029875
CDK1-R-V	0.00472413024999999
Chk1-M-C	0.64569698975
Chk1_pS345-R-C	0.26484884475
Chk2-M-E	1.06444168175
Chk2_pT68-R-C	0.04098398775
cIAP-R-V	0.14713467075
Claudin-7-R-V	-0.29917159175
Collagen_VI-R-V	-0.13943131225
Cyclin_B1-R-V	0.39269132025
Cyclin_D1-R-V	-0.06231506925
Cyclin_E1-M-V	0.08822565125
Cyclin_E2-R-C	0.43931638525
DJ-1-R-E	-0.07447652025
Dvl3-R-V	0.09624428575
E-Cadherin-R-V	-1.33830986475
eEF2-R-C	0.04223123275
eEF2K-R-V	0.33348756225
EGFR-R-V	-0.22109881675
EGFR_pY1068-R-C	0.0442802967499999
EGFR_pY1173-R-V	0.03388915375
eIF4E-R-V	-0.02053793875
eIF4G-R-C	-0.09837141225
ER-alpha-R-V	-0.10515448525
ER-alpha_pS118-R-V	0.29970497825
ERCC1-M-V	-0.19385731175
ERK2-R-E	0.18047407375
ETS-1-R-V	-0.07947199825
FASN-R-V	-0.63937610775
Fibronectin-R-V	-0.48127467475
FoxM1-R-V	0.18988298025
FOXO3a-R-C	0.000118495749999947
FOXO3a_pS318_S321-R-C	-0.0220439832499999
G6PD-M-V	-0.0509766167499999
GAB2-R-V	1.51499298675
GAPDH-M-C	1.37184429575
GATA3-M-V	-0.12310610925
GSK3-alpha-beta-M-V	0.08720944525
GSK3-alpha-beta_pS21_S9-R-V	0.53240928925
GSK3_pS9-R-V	0.27141338225
HER2-M-V	-0.12520024825
HER2_pY1248-R-C	0.0558307542499999
HER3-R-V	0.58892171475
HER3_pY1289-R-C	0.12205403025
Heregulin-R-V	0.08465554525
HSP70-R-C	-0.05242457375
IGFBP2-R-V	0.65978076475
INPP4B-R-V	-0.00384606674999982
IRS1-R-V	-0.24160124675
JAB1-M-C	0.10611070475
JNK_pT183_pY185-R-V	-0.18236096975
JNK2-R-C	-0.12592595375
Ku80-R-C	0.62604952525
Lck-R-V	-0.11047826525
LKB1-M-E	0.05982913225
MAPK_pT202_Y204-R-V	0.43625262425
MEK1-R-V	0.46442934775
MEK1_pS217_S221-R-V	-0.00101770174999999
MIG-6-M-V	0.02070060975
Mre11-R-C	0.07661197425
MSH2-M-V	0.23734478075
MSH6-R-C	0.16384155575
mTOR-R-V	0.52081027375
mTOR_pS2448-R-C	0.43027015875
MYH11-R-V	-0.89835551575
Myosin-IIa_pS1943-R-V	0.19698766825
N-Cadherin-R-V	0.04251707875
N-Ras-M-V	-0.0550734822500001
NDRG1_pT346-R-V	0.16788401975
NF-kB-p65_pS536-R-C	-0.20417849425
NF2-R-C	-0.04357775525
Notch1-R-V	-0.06616435275
P-Cadherin-R-C	0.58192049675
p21-R-V	0.42674709075
p27-R-V	-0.15888630625
p27_pT157-R-C	0.08493348025
p27_pT198-R-V	-0.03916624425
p38_MAPK-R-V	-0.49508916125
p38_pT180_Y182-R-V	-0.50590457325
p53-R-E	0.0635597592500001
p62-LCK-ligand-M-C	-0.30237242925
p70S6K-R-V	0.15311447675
p70S6K_pT389-R-V	0.0632467282500001
p90RSK-R-C	-0.00193688474999992
p90RSK_pT359_S363-R-C	0.0553182692500001
PAI-1-M-E	-0.01123018325
PARP_cleaved-M-E	0.0953975572499998
PARP1-R-V	0.84113910075
Paxillin-R-C	0.30058862175
PCNA-M-C	0.09798529575
PDCD4-R-C	-0.39218608025
PDK1-R-V	-0.05918795525
PDK1_pS241-R-V	-0.29907038175
PEA15-R-V	-0.10688395425
PEA15_pS116-R-V	0.11992575125
PI3K-p110-alpha-R-C	-0.08381995275
PI3K-p85-R-V	0.80754003325
PKC-alpha-M-V	-0.28790272325
PKC-alpha_pS657-R-C	-0.38719538675
PKC-delta_pS664-R-V	-0.24939541575
PKC-pan_BetaII_pS660-R-V	0.37005320625
PR-R-V	-0.08367897425
PRAS40_pT246-R-V	0.48940524825
PRDX1-R-V	0.05996424525
PREX1-R-E	1.22034111625
PTEN-R-V	-0.33380203125
Rab11-R-E	-0.03058085475
Rab25-R-V	-0.0118812477499999
Rad50-M-V	0.42716824725
Rad51-R-V	-0.22702329625
Raptor-R-V	0.38708957575
Rb-M-E	-0.09588424675
Rb_pS807_S811-R-V	0.81030212525
RBM15-R-V	0.06506632425
Rictor-R-C	-0.04817737925
Rictor_pT1135-R-V	-0.24514025025
S6-R-E	0.27786539425
S6_pS235_S236-R-V	-0.34813898425
S6_pS240_S244-R-V	-0.31206960275
SCD-M-V	0.17604421025
SETD2-R-E	-0.03248653175
SF2-M-V	0.51337506775
Shc_pY317-R-E	-0.07986916025
Smac-M-E	0.56758652325
Smad1-R-V	0.06587517925
Smad3-R-V	0.22003465325
Smad4-M-V	-0.0111621087499998
Snail-M-E	0.06762756125
Src-M-V	-0.36717120575
Src_pY416-R-C	0.59701863825
Src_pY527-R-V	-0.05529841125
STAT3_pY705-R-V	-0.33453852225
STAT5-alpha-R-V	0.29567749625
Stathmin-R-V	-0.16290257975
Syk-M-V	-0.28352039775
TAZ-R-V	-0.16781053375
TFRC-R-V	-0.20857350275
TIGAR-R-V	0.84146541825
Transglutaminase-M-V	-0.03516782625
TSC1-R-C	-0.07689348125
TTF1-R-V	-0.15561622175
Tuberin-R-E	0.33387024575
Tuberin_pT1462-R-V	0.52935359975
VEGFR2-R-V	0.11131600175
EPPK1-M-E	-0.83313337425
XBP1-G-C	-0.37979016975
XRCC1-R-E	0.21626098025
YAP-R-E	-0.19466819225
YAP_pS127-R-E	-0.54182920925
YB-1-R-V	-0.27906463475
YB-1_pS102-R-V	0.13966102325
A-Raf-R-V	-0.0767293047499999
ARID1A-R-C	0.23199212775
B-Raf_pS445-R-V	0.00785822625000004
Bcl2A1-R-V	-0.20264103725
BRD4-R-V	0.58939582175
c-Abl-R-V	0.19852249225
Caspase-3-R-C	0.14369353175
CD26-R-V	-0.0903664967500001
Chk1_pS296-R-V	0.01369080525
COG3-R-V	0.20694710225
DUSP4-R-V	-0.0928340202500003
ERCC5-R-C	0.08255648375
IGF1R_pY1135_Y1136-R-V	-0.00551617124999998
IRF-1-R-C	0.06088012725
Jak2-R-V	0.01702491925
p16_INK4a-R-V	0.41976583025
SHP-2_pY542-R-C	-0.0870998867500002
CDK1_pY15-R-C	0.31819453775
