Sample REF	3E59B981-23B5-4A55-9CCE-381C45F82114
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.13529806025
14-3-3_epsilon-M-C	0.06549494225
14-3-3_zeta-R-V	0.38194314075
4E-BP1-R-V	0.0517405842500001
4E-BP1_pS65-R-V	-0.17864822675
4E-BP1_pT37_T46-R-V	-0.30241235575
4E-BP1_pT70-R-V	0.0584058092499999
53BP1-R-E	0.00241937775000012
A-Raf_pS299-R-C	-0.10987949225
ACC_pS79-R-V	0.13893680975
ACC1-R-E	0.36919121925
Acetyl-a-Tubulin-Lys40-R-C	-0.58519755025
ACVRL1-R-C	-0.03648810725
ADAR1-M-V	0.23770466925
Akt-R-V	-0.02182709275
Akt_pS473-R-V	-0.07925962325
Akt_pT308-R-V	-0.26752440975
alpha-Catenin-M-V	-0.0330356912500001
AMPK_alpha-R-C	-0.000761544750000009
AMPK_pT172-R-V	-0.66482892275
Annexin-1-M-E	-0.0436402012499999
Annexin_VII-M-V	0.01820806325
AR-R-V	0.03934789175
DIRAS3-M-E	0.00999299524999997
ASNS-R-V	0.00168232974999999
ATM-R-E	-0.00212905925000006
B-Raf-M-C	-0.44705512325
Bad_pS112-R-V	-0.09626575975
Bak-R-C	0.33422668575
Bap1-c-4-M-E	-0.25349023475
Bax-R-V	0.48823168525
Bcl-2-M-V	0.11693404475
Bcl-xL-R-V	0.36849903275
Beclin-G-C	0.00457097824999997
beta-Catenin-R-V	0.18531190125
Bid-R-C	0.08106901775
Bim-R-V	0.28473646775
c-Jun_pS73-R-V	-0.03725579525
c-Kit-R-V	1.17178839025
c-Met-M-E	0.02658391375
c-Met_pY1235-R-V	0.02204424125
c-Myc-R-C	-0.04042251675
C-Raf-R-V	-0.28491409475
C-Raf_pS338-R-V	0.000886440250000009
Caspase-7_cleavedD198-R-C	0.60793991675
Caspase-8-M-E	0.02081447725
Caveolin-1-R-V	-0.20731354025
CD20-R-C	0.31863710175
CD31-M-V	-0.10813588225
CD49b-M-V	-0.02452705725
CDK1-R-V	-0.05744544125
Chk1-M-C	-0.35034923775
Chk1_pS345-R-C	-0.10733818775
Chk2-M-E	0.93311744025
Chk2_pT68-R-C	-0.09172952275
cIAP-R-V	0.06233936525
Claudin-7-R-V	-0.28425733325
Collagen_VI-R-V	-0.04341319275
Cyclin_B1-R-V	0.20958696675
Cyclin_D1-R-V	0.20433886425
Cyclin_E1-M-V	0.02946598775
Cyclin_E2-R-C	0.36474441975
DJ-1-R-E	0.10234408025
Dvl3-R-V	-0.28868727875
E-Cadherin-R-V	0.41806925375
eEF2-R-C	0.43030486425
eEF2K-R-V	-0.14936575325
EGFR-R-V	0.14234657075
EGFR_pY1068-R-C	-0.18799610075
