Sample REF	416F5059-8D8A-4B50-8E8E-C3DEC4334602
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0684834692499999
14-3-3_epsilon-M-C	0.0900834262499999
14-3-3_zeta-R-V	-0.000132232249999975
4E-BP1-R-V	0.000132232249999975
4E-BP1_pS65-R-V	0.0703593392499999
4E-BP1_pT37_T46-R-V	-0.0192332117500001
4E-BP1_pT70-R-V	-0.26499648075
53BP1-R-E	0.70822439775
A-Raf_pS299-R-C	0.12907318175
ACC_pS79-R-V	-0.13426415225
ACC1-R-E	-0.23800971475
Acetyl-a-Tubulin-Lys40-R-C	-0.19982128625
ACVRL1-R-C	-0.0539209622500001
ADAR1-M-V	0.16203527725
Akt-R-V	0.0575107102499999
Akt_pS473-R-V	0.00882854474999989
Akt_pT308-R-V	-0.0602349127500001
alpha-Catenin-M-V	-0.0551830622500001
AMPK_alpha-R-C	-0.20405308375
AMPK_pT172-R-V	-0.27252744475
Annexin-1-M-E	0.0292832447499999
Annexin_VII-M-V	0.11949842625
AR-R-V	0.0280178017499999
DIRAS3-M-E	0.0245074282499999
ASNS-R-V	-0.11576527125
ATM-R-E	0.48876380575
B-Raf-M-C	0.39305076775
Bad_pS112-R-V	0.16935565025
Bak-R-C	-0.09067377025
Bap1-c-4-M-E	0.0268500332499999
Bax-R-V	0.16237974925
Bcl-2-M-V	0.40102392975
Bcl-xL-R-V	-0.14994624925
Beclin-G-C	-0.0657288847500001
beta-Catenin-R-V	-0.28837057875
Bid-R-C	-0.28106104125
Bim-R-V	0.0575613997499999
c-Jun_pS73-R-V	-0.0578903912500001
c-Kit-R-V	1.95970598725
c-Met-M-E	-0.13818783325
c-Met_pY1235-R-V	-0.0511535587500001
c-Myc-R-C	-0.17719300275
C-Raf-R-V	0.27836243525
C-Raf_pS338-R-V	-0.16278710275
Caspase-7_cleavedD198-R-C	1.08465406475
Caspase-8-M-E	-0.0955280067500001
Caveolin-1-R-V	-0.28464632325
CD20-R-C	0.28156949475
CD31-M-V	-0.0116460962500001
CD49b-M-V	-0.0962820382500003
CDK1-R-V	-0.20126211925
Chk1-M-C	0.57418258225
Chk1_pS345-R-C	0.16092417325
Chk2-M-E	0.39956444625
Chk2_pT68-R-C	-0.15888345775
cIAP-R-V	0.0898128022499999
Claudin-7-R-V	-0.16423392325
Collagen_VI-R-V	-0.29028151275
Cyclin_B1-R-V	0.0877609717499998
Cyclin_D1-R-V	-0.19943217875
Cyclin_E1-M-V	-0.20202161225
Cyclin_E2-R-C	0.42851193875
DJ-1-R-E	-0.04265003175
Dvl3-R-V	0.10279049225
E-Cadherin-R-V	-0.46581432825
eEF2-R-C	0.0514847072499999
eEF2K-R-V	0.37059652975
EGFR-R-V	-0.19071688225
EGFR_pY1068-R-C	-0.14965470675
EGFR_pY1173-R-V	0.000393657249999901
eIF4E-R-V	0.0913097407499999
