Sample REF	48491326-6CC1-498B-BD2F-FCE829424579
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.3171931065
14-3-3_epsilon-M-C	-0.00561394149999983
14-3-3_zeta-R-V	-0.132322101
4E-BP1-R-V	-0.00756605449999992
4E-BP1_pS65-R-V	0.0144758135
4E-BP1_pT37_T46-R-V	-0.2186606335
4E-BP1_pT70-R-V	0.1984441245
53BP1-R-E	-0.333182025
A-Raf_pS299-R-C	0.0316167110000001
ACC_pS79-R-V	-0.674894192
ACC1-R-E	-0.8584477375
Acetyl-a-Tubulin-Lys40-R-C	0.630417293
ACVRL1-R-C	0.358896397
ADAR1-M-V	-0.3142895475
Akt-R-V	0.1474181865
Akt_pS473-R-V	-0.0890037839999998
Akt_pT308-R-V	0.2978111285
alpha-Catenin-M-V	0.0912870649999999
AMPK_alpha-R-C	0.1389254745
AMPK_pT172-R-V	0.1847315595
Annexin-1-M-E	0.075236622
Annexin_VII-M-V	-0.2627388325
AR-R-V	-0.388029824
DIRAS3-M-E	0.1973325635
ASNS-R-V	-0.635188428
ATM-R-E	-1.149318921
B-Raf-M-C	-0.417291779
Bad_pS112-R-V	0.0486852915000001
Bak-R-C	0.225369138
Bap1-c-4-M-E	-0.5600968665
Bax-R-V	-0.6442700415
Bcl-2-M-V	0.259822657
Bcl-xL-R-V	-0.297511446
Beclin-G-C	-0.0196398825
beta-Catenin-R-V	0.1248158115
Bid-R-C	0.600793243
Bim-R-V	-0.248640787
c-Jun_pS73-R-V	0.004332263
c-Kit-R-V	-0.6973913155
c-Met-M-E	0.0794868360000001
c-Met_pY1235-R-V	0.1373943495
c-Myc-R-C	0.1095846555
C-Raf-R-V	-0.4140614435
C-Raf_pS338-R-V	0.4510555595
Caspase-7_cleavedD198-R-C	-0.683135464
Caspase-8-M-E	0.1375449275
Caveolin-1-R-V	2.074627769
CD20-R-C	-0.176240766
CD31-M-V	0.169977869
CD49b-M-V	0.114701682
CDK1-R-V	-0.0880484899999998
Chk1-M-C	-0.7323495385
Chk1_pS345-R-C	-0.2172375815
Chk2-M-E	-0.9651338975
Chk2_pT68-R-C	0.3888526775
cIAP-R-V	-0.0877268134999999
Claudin-7-R-V	-0.0762094979999999
Collagen_VI-R-V	0.3900747175
Cyclin_B1-R-V	-2.070166555
Cyclin_D1-R-V	0.6756171195
Cyclin_E1-M-V	-0.393292723
Cyclin_E2-R-C	-0.222901934
DJ-1-R-E	-0.3477300755
Dvl3-R-V	0.3360234635
E-Cadherin-R-V	0.433090663
eEF2-R-C	-0.6341063355
eEF2K-R-V	-0.106305156
EGFR-R-V	0.390136469
EGFR_pY1068-R-C	0.2305751565
EGFR_pY1173-R-V	0.2173698945
eIF4E-R-V	-0.217059577
eIF4G-R-C	-0.5745579535
ER-alpha-R-V	0.4758166865
ER-alpha_pS118-R-V	-0.192446248
ERCC1-M-V	0.180519422
ERK2-R-E	-0.2412845915
ETS-1-R-V	-0.0254551584999999
FASN-R-V	-0.940077708
Fibronectin-R-V	0.296086661
FoxM1-R-V	-0.158328778
FOXO3a-R-C	0.2091619065
FOXO3a_pS318_S321-R-C	0.3356746735
G6PD-M-V	-0.00917572099999986
GAB2-R-V	-0.0925894744999999
GAPDH-M-C	-0.5508824305
GATA3-M-V	-0.1185575015
GSK3-alpha-beta-M-V	-0.412139193
GSK3-alpha-beta_pS21_S9-R-V	-0.376579667
GSK3_pS9-R-V	-0.0638720539999998
HER2-M-V	0.8818398975
HER2_pY1248-R-C	0.354207742
HER3-R-V	-0.1318840395
HER3_pY1289-R-C	0.300857058
Heregulin-R-V	-0.036493048
HSP70-R-C	1.611627112
IGFBP2-R-V	-0.6401719685
INPP4B-R-V	0.0533938120000004
IRS1-R-V	0.569702783
JAB1-M-C	-0.1658525255
JNK_pT183_pY185-R-V	0.279801606
JNK2-R-C	-0.179380879
Ku80-R-C	-0.901991111
Lck-R-V	-0.1681745905
LKB1-M-E	0.277264802
MAPK_pT202_Y204-R-V	0.166608524
MEK1-R-V	0.0232895995000001
MEK1_pS217_S221-R-V	0.264197136
MIG-6-M-V	0.1239263465
Mre11-R-C	0.415613117
MSH2-M-V	-0.9166519205
MSH6-R-C	-1.5185912885
mTOR-R-V	-0.4498419095
mTOR_pS2448-R-C	-0.00422297249999981
MYH11-R-V	2.957849684
Myosin-IIa_pS1943-R-V	0.101193676
N-Cadherin-R-V	0.4069341835
N-Ras-M-V	0.0758534515
NDRG1_pT346-R-V	-0.1088864285
NF-kB-p65_pS536-R-C	0.4511288955
NF2-R-C	-0.4206881105
Notch1-R-V	0.232582531
P-Cadherin-R-C	0.1359878585
p21-R-V	0.2313450695
p27-R-V	0.3258564575
p27_pT157-R-C	0.039696194
p27_pT198-R-V	0.0147193535000001
p38_MAPK-R-V	0.1770770195
p38_pT180_Y182-R-V	0.3173403745
p53-R-E	0.257154
p62-LCK-ligand-M-C	-0.9062453505
p70S6K-R-V	-0.0352749485
p70S6K_pT389-R-V	0.22392497
p90RSK-R-C	-0.067422216
p90RSK_pT359_S363-R-C	0.449806948
PAI-1-M-E	-0.4995062545
PARP_cleaved-M-E	-0.306852118
PARP1-R-V	-1.2939714945
Paxillin-R-C	0.1473827365
PCNA-M-C	-0.2432445985
PDCD4-R-C	-0.6533664295
PDK1-R-V	0.1272688785
PDK1_pS241-R-V	0.165543845
PEA15-R-V	-0.1733060065
PEA15_pS116-R-V	0.09367157
PI3K-p110-alpha-R-C	-0.25073533
PI3K-p85-R-V	-0.349203961
PKC-alpha-M-V	0.5804423155
PKC-alpha_pS657-R-C	0.749745635
PKC-delta_pS664-R-V	-0.379131857
PKC-pan_BetaII_pS660-R-V	-0.260461586
PR-R-V	0.2785443965
PRAS40_pT246-R-V	0.00881592200000014
PRDX1-R-V	-1.308279109
PREX1-R-E	-0.705332753
PTEN-R-V	0.2783114135
Rab11-R-E	0.350432684
Rab25-R-V	0.659271849
Rad50-M-V	-0.258382097
Rad51-R-V	0.5376100245
Raptor-R-V	-0.2380316825
