Sample REF	4D837641-24BF-4A35-8792-142992F6DDA8
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0696728045000001
14-3-3_epsilon-M-C	0.3014181235
14-3-3_zeta-R-V	0.187689053
4E-BP1-R-V	0.1388984665
4E-BP1_pS65-R-V	0.00857917050000007
4E-BP1_pT37_T46-R-V	-0.6002554545
4E-BP1_pT70-R-V	-0.1426864255
53BP1-R-E	0.510004849
A-Raf_pS299-R-C	0.136876468
ACC_pS79-R-V	0.524707401
ACC1-R-E	0.9811020405
Acetyl-a-Tubulin-Lys40-R-C	0.707632721
ACVRL1-R-C	-0.1337341
ADAR1-M-V	0.3410353205
Akt-R-V	-0.0638145295
Akt_pS473-R-V	-0.177373155
Akt_pT308-R-V	0.1202065425
alpha-Catenin-M-V	-0.0792023849999999
AMPK_alpha-R-C	-0.0104252205
AMPK_pT172-R-V	-1.4885882025
Annexin-1-M-E	-0.329528765
Annexin_VII-M-V	0.4085582135
AR-R-V	-0.127930613
DIRAS3-M-E	-0.0669362685
ASNS-R-V	-0.600841395
ATM-R-E	-0.47808405
B-Raf-M-C	0.455769702
Bad_pS112-R-V	0.0790909185000001
Bak-R-C	0.0477936120000002
Bap1-c-4-M-E	0.1901689695
Bax-R-V	0.0924026255000001
Bcl-2-M-V	-0.129571281
Bcl-xL-R-V	-0.0733151149999999
Beclin-G-C	-0.1208769155
beta-Catenin-R-V	-0.4107983015
Bid-R-C	-0.06460535
Bim-R-V	0.318220427
c-Jun_pS73-R-V	-0.134397701
c-Kit-R-V	1.8068731785
c-Met-M-E	0.0474472360000001
c-Met_pY1235-R-V	0.0778021155
c-Myc-R-C	-0.1095048235
C-Raf-R-V	0.2411937535
C-Raf_pS338-R-V	-0.0754413945
Caspase-7_cleavedD198-R-C	-0.059545882
Caspase-8-M-E	-0.0891543184999999
Caveolin-1-R-V	-0.97466232
CD20-R-C	0.111256299
CD31-M-V	-0.00593676799999981
CD49b-M-V	-0.0981617950000001
CDK1-R-V	-0.084953182
Chk1-M-C	0.2753965495
Chk1_pS345-R-C	-0.0804446434999999
Chk2-M-E	1.3735370465
Chk2_pT68-R-C	-0.1016544545
cIAP-R-V	0.0197122535000001
Claudin-7-R-V	-0.0594071279999999
Collagen_VI-R-V	0.3667696505
Cyclin_B1-R-V	0.590616608
Cyclin_D1-R-V	-0.2438018165
Cyclin_E1-M-V	-0.0352231229999999
Cyclin_E2-R-C	0.0215712410000001
DJ-1-R-E	-0.0448447934999999
Dvl3-R-V	-0.2569598135
E-Cadherin-R-V	-1.171031642
eEF2-R-C	0.2993454235
eEF2K-R-V	0.258957675
EGFR-R-V	0.015029676
EGFR_pY1068-R-C	-0.1630483245
EGFR_pY1173-R-V	0.0765959175000001
eIF4E-R-V	0.263128163
eIF4G-R-C	-0.0300151625
ER-alpha-R-V	-0.1892778365
ER-alpha_pS118-R-V	0.202372494
ERCC1-M-V	0.113787394
ERK2-R-E	0.3464984515
ETS-1-R-V	-0.0859485805
FASN-R-V	0.362870378
Fibronectin-R-V	-0.574173464
FoxM1-R-V	-0.0896677289999999
FOXO3a-R-C	0.1279596885
FOXO3a_pS318_S321-R-C	-0.0528849694999999
G6PD-M-V	0.347150812
GAB2-R-V	1.4399636165
GAPDH-M-C	-0.1379472775
GATA3-M-V	-0.0901952175
