Sample REF	50ECCFB3-BF52-497D-B3A2-5CA79C004442
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.57001688425
14-3-3_epsilon-M-C	0.24104158125
14-3-3_zeta-R-V	-0.39640542225
4E-BP1-R-V	0.13140096825
4E-BP1_pS65-R-V	-0.02908239375
4E-BP1_pT37_T46-R-V	-0.40408024775
4E-BP1_pT70-R-V	0.34155535525
53BP1-R-E	-0.40684647825
A-Raf_pS299-R-C	0.00162706475000007
ACC_pS79-R-V	-0.36524003125
ACC1-R-E	-0.68943379875
Acetyl-a-Tubulin-Lys40-R-C	0.10959181575
ACVRL1-R-C	0.43336406175
ADAR1-M-V	-0.20959498975
Akt-R-V	-0.22059187975
Akt_pS473-R-V	-0.06954073025
Akt_pT308-R-V	0.41523665725
alpha-Catenin-M-V	0.0511291057500001
AMPK_alpha-R-C	0.07381074125
AMPK_pT172-R-V	-0.34083270175
Annexin-1-M-E	0.29212953775
Annexin_VII-M-V	-0.06799770475
AR-R-V	-0.26793934825
DIRAS3-M-E	0.36504961625
ASNS-R-V	-0.29838389325
ATM-R-E	-0.82009086325
B-Raf-M-C	-0.29961665025
Bad_pS112-R-V	0.00630853924999997
Bak-R-C	0.39503077575
Bap1-c-4-M-E	-0.27082376975
Bax-R-V	-0.25588145075
Bcl-2-M-V	0.20461943575
Bcl-xL-R-V	-0.28351884125
Beclin-G-C	-0.0413453547500001
beta-Catenin-R-V	-0.80151891575
Bid-R-C	0.76826111275
Bim-R-V	-0.35208821825
c-Jun_pS73-R-V	0.17271568575
c-Kit-R-V	-0.57202404575
c-Met-M-E	0.0328823977499999
c-Met_pY1235-R-V	0.33641729825
c-Myc-R-C	0.28958692425
C-Raf-R-V	-0.02732348275
C-Raf_pS338-R-V	0.63099834725
Caspase-7_cleavedD198-R-C	-0.18748696425
Caspase-8-M-E	0.18333389225
Caveolin-1-R-V	-0.62470905425
CD20-R-C	-0.0657039152500001
CD31-M-V	0.33252918575
CD49b-M-V	0.24911276975
CDK1-R-V	0.18505661775
Chk1-M-C	-0.41377249375
Chk1_pS345-R-C	-0.12129221575
Chk2-M-E	-0.92420721775
Chk2_pT68-R-C	0.37690027025
cIAP-R-V	-0.08931002275
Claudin-7-R-V	-0.33973646525
Collagen_VI-R-V	0.36562825725
Cyclin_B1-R-V	-1.03190906125
Cyclin_D1-R-V	1.12444095925
Cyclin_E1-M-V	0.03708356675
Cyclin_E2-R-C	-0.06687313025
DJ-1-R-E	-0.14733913475
Dvl3-R-V	-0.00213180474999997
E-Cadherin-R-V	-1.28295900825
eEF2-R-C	-0.15719347175
eEF2K-R-V	-0.41566244825
EGFR-R-V	0.50304849175
EGFR_pY1068-R-C	0.21431572925
EGFR_pY1173-R-V	0.30758372925
eIF4E-R-V	-0.08776544725
eIF4G-R-C	-0.08962043575
ER-alpha-R-V	0.53458360825
ER-alpha_pS118-R-V	-0.13987527425
ERCC1-M-V	0.0949183917500001
ERK2-R-E	-0.21300112475
ETS-1-R-V	0.21702709625
FASN-R-V	-0.36886631625
Fibronectin-R-V	1.19057808675
FoxM1-R-V	0.18166641875
FOXO3a-R-C	0.36520479625
FOXO3a_pS318_S321-R-C	0.21897805425
G6PD-M-V	0.32358988375
GAB2-R-V	-0.0743944087499999
GAPDH-M-C	-0.35668046875
GATA3-M-V	0.0880315702499999
GSK3-alpha-beta-M-V	-0.34721453625
GSK3-alpha-beta_pS21_S9-R-V	-0.32258805325
GSK3_pS9-R-V	0.10058267275
HER2-M-V	0.69847627825
HER2_pY1248-R-C	0.60629019375
HER3-R-V	1.28363165225
HER3_pY1289-R-C	0.30788859575
Heregulin-R-V	0.31577798275
HSP70-R-C	1.81338133675
IGFBP2-R-V	-0.02301310575
INPP4B-R-V	0.13957960075
IRS1-R-V	0.51223266575
JAB1-M-C	0.0788644862499999
JNK_pT183_pY185-R-V	0.40061313375
JNK2-R-C	-0.07430525725
Ku80-R-C	-0.93536305525
Lck-R-V	0.18142964125
LKB1-M-E	0.53719307375
MAPK_pT202_Y204-R-V	0.18362324675
MEK1-R-V	0.06831910225
MEK1_pS217_S221-R-V	0.48889225475
MIG-6-M-V	0.28169445525
Mre11-R-C	0.55283393775
MSH2-M-V	-0.62511564275
MSH6-R-C	-0.88318128375
mTOR-R-V	-0.56959090375
mTOR_pS2448-R-C	-0.19017893275
MYH11-R-V	-2.25893499825
Myosin-IIa_pS1943-R-V	-0.41463412425
N-Cadherin-R-V	0.57213491625
N-Ras-M-V	0.34463745525
NDRG1_pT346-R-V	-0.18265934675
NF-kB-p65_pS536-R-C	0.46968099025
NF2-R-C	-0.46354648675
Notch1-R-V	0.44356059575
P-Cadherin-R-C	0.14005699625
p21-R-V	0.04011203725
p27-R-V	-0.09772687275
p27_pT157-R-C	0.21388869375
p27_pT198-R-V	0.27144178425
p38_MAPK-R-V	-0.01992929175
p38_pT180_Y182-R-V	0.14615213925
p53-R-E	0.45660926875
p62-LCK-ligand-M-C	-0.04653423175
p70S6K-R-V	-0.13285783575
p70S6K_pT389-R-V	0.41089664675
p90RSK-R-C	0.05068024275
p90RSK_pT359_S363-R-C	0.75782535975
PAI-1-M-E	1.19324322925
PARP_cleaved-M-E	-0.11029765325
PARP1-R-V	-1.38289794275
Paxillin-R-C	-0.47487841075
PCNA-M-C	-0.01480422975
PDCD4-R-C	-1.26001242575
PDK1-R-V	0.20205484325
PDK1_pS241-R-V	-0.23690432925
PEA15-R-V	-0.25256693075
PEA15_pS116-R-V	0.10953253975
PI3K-p110-alpha-R-C	-0.20501745225
PI3K-p85-R-V	-0.27210967425
PKC-alpha-M-V	-0.17301949875
PKC-alpha_pS657-R-C	-0.21133737525
PKC-delta_pS664-R-V	-0.24548849625
PKC-pan_BetaII_pS660-R-V	-0.22117239325
PR-R-V	0.30700554425
PRAS40_pT246-R-V	0.0957079387499999
PRDX1-R-V	-0.22314929725
PREX1-R-E	-0.34941117625
PTEN-R-V	-0.31351696875
Rab11-R-E	0.49799042575
Rab25-R-V	0.55925766675
Rad50-M-V	-0.12194912725
Rad51-R-V	1.02266702425
Raptor-R-V	-0.30160210775
Rb-M-E	0.38320495275
Rb_pS807_S811-R-V	-0.76723061425
RBM15-R-V	-0.61426106525
Rictor-R-C	-0.66749429275
Rictor_pT1135-R-V	0.63694471625
S6-R-E	-0.93531528525
S6_pS235_S236-R-V	-0.46898905375
S6_pS240_S244-R-V	-0.15720047125
SCD-M-V	0.0258098227499999
SETD2-R-E	0.69638343675
SF2-M-V	0.0380622232499999
Shc_pY317-R-E	-0.0322074597499999
Smac-M-E	-0.87379003425
Smad1-R-V	-0.25377629225
