Sample REF	51EB71F7-9952-4394-B079-2D59A5EE4024
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0893951779999999
14-3-3_epsilon-M-C	0.022676351
14-3-3_zeta-R-V	-0.1605660595
4E-BP1-R-V	-0.035878537
4E-BP1_pS65-R-V	0.152613848
4E-BP1_pT37_T46-R-V	0.304913916
4E-BP1_pT70-R-V	0.0448834739999999
53BP1-R-E	-0.1794547215
A-Raf_pS299-R-C	-0.0665836605
ACC_pS79-R-V	-0.0325340285000001
ACC1-R-E	-0.120947
Acetyl-a-Tubulin-Lys40-R-C	-0.3071646075
ACVRL1-R-C	0.1341969165
ADAR1-M-V	0.030944098
Akt-R-V	-0.049641795
Akt_pS473-R-V	-0.0864978875000001
Akt_pT308-R-V	-0.014816718
alpha-Catenin-M-V	0.0511248164999999
AMPK_alpha-R-C	-0.0497534970000001
AMPK_pT172-R-V	-0.372219905
Annexin-1-M-E	-0.0914744745000001
Annexin_VII-M-V	-0.258050134
AR-R-V	-0.2312011965
DIRAS3-M-E	0.172967097
ASNS-R-V	-0.2321231055
ATM-R-E	0.0670569375
B-Raf-M-C	0.0527833175
Bad_pS112-R-V	-0.199742744
Bak-R-C	0.0710704735
Bap1-c-4-M-E	0.0203548239999999
Bax-R-V	-0.0703681740000001
Bcl-2-M-V	0.1046290155
Bcl-xL-R-V	-0.4839695125
Beclin-G-C	-0.305886678
beta-Catenin-R-V	0.558708177
Bid-R-C	0.2624268615
Bim-R-V	-0.3869679665
c-Jun_pS73-R-V	0.2175498205
c-Kit-R-V	-0.626011276
c-Met-M-E	-0.0744941135
c-Met_pY1235-R-V	0.0335771399999999
c-Myc-R-C	0.2489113
C-Raf-R-V	-0.0073422099999999
C-Raf_pS338-R-V	0.21806827
Caspase-7_cleavedD198-R-C	-0.8346758465
Caspase-8-M-E	-0.178497697
Caveolin-1-R-V	-0.5356492445
CD20-R-C	-0.0212971015000001
CD31-M-V	0.1378567005
CD49b-M-V	-0.0147680855000002
CDK1-R-V	0.3779334385
Chk1-M-C	0.190217536
Chk1_pS345-R-C	-0.267519767
Chk2-M-E	-0.532330481
Chk2_pT68-R-C	0.122934407
cIAP-R-V	0.030508283
Claudin-7-R-V	-0.0471917025
Collagen_VI-R-V	0.169702532
Cyclin_B1-R-V	0.1526486255
Cyclin_D1-R-V	0.035740256
Cyclin_E1-M-V	0.0435941565000001
Cyclin_E2-R-C	0.1078154185
DJ-1-R-E	0.0346689259999999
Dvl3-R-V	0.108015294
E-Cadherin-R-V	-0.0475102025
eEF2-R-C	-0.203050894
eEF2K-R-V	-0.5453611245
EGFR-R-V	0.0105306395
EGFR_pY1068-R-C	0.338983811
EGFR_pY1173-R-V	0.122047549
eIF4E-R-V	-0.0937341385
eIF4G-R-C	0.209427164
ER-alpha-R-V	0.0729058119999998
ER-alpha_pS118-R-V	0.0458228675
ERCC1-M-V	0.0121648325
ERK2-R-E	-0.28105653
ETS-1-R-V	-0.00352439000000004
FASN-R-V	0.5755311335
Fibronectin-R-V	1.1061506015
FoxM1-R-V	0.2145070195
FOXO3a-R-C	0.10283413
FOXO3a_pS318_S321-R-C	-0.0822881489999999
G6PD-M-V	0.0470540014999999
GAB2-R-V	-0.030020864
GAPDH-M-C	0.271019606
GATA3-M-V	0.204309686
GSK3-alpha-beta-M-V	-0.0891269455
GSK3-alpha-beta_pS21_S9-R-V	-0.3660654685
GSK3_pS9-R-V	0.0687677915
HER2-M-V	0.876773249
HER2_pY1248-R-C	0.2952041575
HER3-R-V	0.958450872
HER3_pY1289-R-C	0.1343870985
Heregulin-R-V	0.2579604475
HSP70-R-C	0.6100219895
IGFBP2-R-V	0.689072715
INPP4B-R-V	0.0509591895
IRS1-R-V	0.3390749665
JAB1-M-C	0.0602834559999997
JNK_pT183_pY185-R-V	0.0987542895
JNK2-R-C	-0.1401138385
Ku80-R-C	-0.3935371095
Lck-R-V	-0.700822287
LKB1-M-E	0.1476523665
MAPK_pT202_Y204-R-V	0.0356961374999999
MEK1-R-V	0.032008087
MEK1_pS217_S221-R-V	0.1517792335
