Sample REF	53C6F046-4D16-4928-9976-BB0A580B41B3
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.02821282425
14-3-3_epsilon-M-C	0.08838929475
14-3-3_zeta-R-V	-0.0812635737499999
4E-BP1-R-V	0.25164735275
4E-BP1_pS65-R-V	0.07026260675
4E-BP1_pT37_T46-R-V	0.0458183587500001
4E-BP1_pT70-R-V	-0.01333785025
53BP1-R-E	0.37544300025
A-Raf_pS299-R-C	0.21195624025
ACC_pS79-R-V	0.22179090825
ACC1-R-E	0.40519098775
Acetyl-a-Tubulin-Lys40-R-C	0.25743018025
ACVRL1-R-C	-0.11012931375
ADAR1-M-V	0.26017392175
Akt-R-V	-0.15582582525
Akt_pS473-R-V	-0.31181615175
Akt_pT308-R-V	-0.31393569125
alpha-Catenin-M-V	-0.13254956875
AMPK_alpha-R-C	-0.08513029025
AMPK_pT172-R-V	-0.12429174125
Annexin-1-M-E	-0.23278373075
Annexin_VII-M-V	0.02940466175
AR-R-V	-0.10351496475
DIRAS3-M-E	-0.0240430472499999
ASNS-R-V	0.02687448225
ATM-R-E	0.06308748725
B-Raf-M-C	0.17221591425
Bad_pS112-R-V	0.07839172475
Bak-R-C	-0.0230053897499999
Bap1-c-4-M-E	0.01329135575
Bax-R-V	0.13280862175
Bcl-2-M-V	-0.01511856975
Bcl-xL-R-V	-0.22936059375
Beclin-G-C	-0.17061368925
beta-Catenin-R-V	-0.28750164225
Bid-R-C	-0.00784785674999999
Bim-R-V	0.13389711825
c-Jun_pS73-R-V	-0.03226918275
c-Kit-R-V	2.37969960075
c-Met-M-E	-0.07865875675
c-Met_pY1235-R-V	0.08932538475
c-Myc-R-C	-0.03384736525
C-Raf-R-V	0.12403112675
C-Raf_pS338-R-V	0.00319983975000002
Caspase-7_cleavedD198-R-C	0.51659030925
Caspase-8-M-E	0.11956594575
Caveolin-1-R-V	-0.58768435375
CD20-R-C	0.19998538625
CD31-M-V	-0.00297765074999989
CD49b-M-V	-0.0428389357500001
CDK1-R-V	-0.03900923975
Chk1-M-C	0.42726865675
Chk1_pS345-R-C	0.08597554375
Chk2-M-E	0.67075866375
Chk2_pT68-R-C	-0.12625016925
cIAP-R-V	0.07897178675
Claudin-7-R-V	0.11134216325
Collagen_VI-R-V	-0.21126984525
Cyclin_B1-R-V	0.60221737725
Cyclin_D1-R-V	-0.19589238725
Cyclin_E1-M-V	0.07042005225
Cyclin_E2-R-C	0.42978286225
DJ-1-R-E	-0.00148375325
Dvl3-R-V	0.04207525475
E-Cadherin-R-V	-0.12408299075
eEF2-R-C	0.26233324775
eEF2K-R-V	0.35599956925
EGFR-R-V	-0.21723082575
EGFR_pY1068-R-C	-0.0749209152500001
EGFR_pY1173-R-V	0.05727361975
eIF4E-R-V	0.17405193025
eIF4G-R-C	-0.03473197625
ER-alpha-R-V	-0.12734539125
ER-alpha_pS118-R-V	0.25442242225
ERCC1-M-V	-0.11411137475
ERK2-R-E	0.00511265574999997
ETS-1-R-V	-0.10796068325
FASN-R-V	-0.18393659575
Fibronectin-R-V	-0.59036023075
FoxM1-R-V	0.02064734625
FOXO3a-R-C	0.0661064497500001
FOXO3a_pS318_S321-R-C	0.00173133175000012
G6PD-M-V	0.05573955525
GAB2-R-V	1.09930537075
GAPDH-M-C	0.0681688867499999
GATA3-M-V	-0.21701333325
GSK3-alpha-beta-M-V	0.15314465725
GSK3-alpha-beta_pS21_S9-R-V	-0.03833915175
GSK3_pS9-R-V	-0.16306540475
HER2-M-V	-0.00816524524999995
HER2_pY1248-R-C	0.01422333025
HER3-R-V	0.00105602575000002
HER3_pY1289-R-C	-0.06658585275
Heregulin-R-V	0.11933562225
HSP70-R-C	-0.14145850775
IGFBP2-R-V	0.17067096675
INPP4B-R-V	-0.0287832517499997
IRS1-R-V	-0.20196357775
JAB1-M-C	-0.0455294982500001
JNK_pT183_pY185-R-V	-0.02466012475
JNK2-R-C	-0.21865944975
Ku80-R-C	0.67642499025
Lck-R-V	0.29361794575
LKB1-M-E	0.04050850525
MAPK_pT202_Y204-R-V	-0.31316044975
MEK1-R-V	-0.02243555925
MEK1_pS217_S221-R-V	-0.06244867775
MIG-6-M-V	0.04063071975
Mre11-R-C	-0.07405215275
MSH2-M-V	0.16212753875
MSH6-R-C	0.15356662975
mTOR-R-V	0.10581334675
mTOR_pS2448-R-C	-0.15027552525
MYH11-R-V	-1.89907295875
Myosin-IIa_pS1943-R-V	-0.26905861475
N-Cadherin-R-V	-0.13861916125
N-Ras-M-V	0.08547113275
NDRG1_pT346-R-V	-0.30779175125
NF-kB-p65_pS536-R-C	-0.13563405625
NF2-R-C	-0.01428452525
Notch1-R-V	-0.08749361275
P-Cadherin-R-C	0.24315131775
p21-R-V	-0.10733512025
p27-R-V	-0.06062822625
p27_pT157-R-C	0.09573660025
p27_pT198-R-V	-0.07012270825
p38_MAPK-R-V	-0.05043304225
p38_pT180_Y182-R-V	-0.24386101825
p53-R-E	-0.11225540975
p62-LCK-ligand-M-C	0.13624683875
p70S6K-R-V	0.04004182275
p70S6K_pT389-R-V	0.11867896225
p90RSK-R-C	0.02473939525
p90RSK_pT359_S363-R-C	-0.21529400175
PAI-1-M-E	-0.34149279325
