Sample REF	54215F42-2021-486D-B804-7786E4B4DB3F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0562106389999998
14-3-3_epsilon-M-C	-0.112833173
14-3-3_zeta-R-V	-0.1458172005
4E-BP1-R-V	0.016634509
4E-BP1_pS65-R-V	0.0519996759999999
4E-BP1_pT37_T46-R-V	0.162126408
4E-BP1_pT70-R-V	0.291925386
53BP1-R-E	0.0633401575
A-Raf_pS299-R-C	0.0784111915
ACC_pS79-R-V	-0.2669205575
ACC1-R-E	-0.620399178
Acetyl-a-Tubulin-Lys40-R-C	-0.1712194795
ACVRL1-R-C	0.0237468444999999
ADAR1-M-V	-0.203813027
Akt-R-V	0.232794708
Akt_pS473-R-V	-0.0914983615000001
Akt_pT308-R-V	0.255597631
alpha-Catenin-M-V	-0.1187864035
AMPK_alpha-R-C	0.100616708
AMPK_pT172-R-V	0.413031062
Annexin-1-M-E	0.1220330025
Annexin_VII-M-V	-0.130917767
AR-R-V	0.3608003175
DIRAS3-M-E	0.113069157
ASNS-R-V	-0.3230529415
ATM-R-E	-0.4724509625
B-Raf-M-C	-0.2154955085
Bad_pS112-R-V	-0.0775491830000001
Bak-R-C	0.1755095705
Bap1-c-4-M-E	-0.225100383
Bax-R-V	-0.348483187
Bcl-2-M-V	0.0119551394999999
Bcl-xL-R-V	0.9956028625
Beclin-G-C	0.139776895
beta-Catenin-R-V	0.355160832
Bid-R-C	0.2746472375
Bim-R-V	-0.2695453805
c-Jun_pS73-R-V	-0.1473187135
c-Kit-R-V	-0.812815709
c-Met-M-E	-0.0218802435000001
c-Met_pY1235-R-V	0.0369280269999999
c-Myc-R-C	-0.0349166950000001
C-Raf-R-V	-0.175062541
C-Raf_pS338-R-V	0.276533543
Caspase-7_cleavedD198-R-C	-0.2520959245
Caspase-8-M-E	0.044655756
Caveolin-1-R-V	0.5318167925
CD20-R-C	-0.0142284465
CD31-M-V	-0.0296339054999999
CD49b-M-V	0.0751298834999998
CDK1-R-V	-0.1069886125
Chk1-M-C	-0.682575227
Chk1_pS345-R-C	-0.110938152
Chk2-M-E	-0.802404956
Chk2_pT68-R-C	0.0602795939999999
cIAP-R-V	-0.124446814
Claudin-7-R-V	-0.6023426885
Collagen_VI-R-V	0.25147613
Cyclin_B1-R-V	-0.8502092635
Cyclin_D1-R-V	0.5711146
Cyclin_E1-M-V	-0.2564285735
