Sample REF	5650CC13-03C1-4684-9F17-0C4E8CD71D48
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0303990525000001
14-3-3_epsilon-M-C	0.2726706505
14-3-3_zeta-R-V	-0.00678899699999999
4E-BP1-R-V	0.2356017035
4E-BP1_pS65-R-V	0.2055030485
4E-BP1_pT37_T46-R-V	-0.2005768855
4E-BP1_pT70-R-V	-0.2201228175
53BP1-R-E	0.432159755
A-Raf_pS299-R-C	0.023507144
ACC_pS79-R-V	-0.210580919
ACC1-R-E	-0.2587771615
Acetyl-a-Tubulin-Lys40-R-C	-0.097827184
ACVRL1-R-C	-0.0395048559999999
ADAR1-M-V	0.2764216825
Akt-R-V	-0.2185470875
Akt_pS473-R-V	-0.325132527
Akt_pT308-R-V	-0.2898954375
alpha-Catenin-M-V	0.038041122
AMPK_alpha-R-C	-0.0855888915
AMPK_pT172-R-V	-0.4051315825
Annexin-1-M-E	0.080470242
Annexin_VII-M-V	-0.0529143614999999
AR-R-V	-0.015757032
DIRAS3-M-E	0.0916413595
ASNS-R-V	0.806657388
ATM-R-E	-0.02418559
B-Raf-M-C	-0.084176535
Bad_pS112-R-V	0.0819729635
Bak-R-C	0.180392518
Bap1-c-4-M-E	0.2859947605
Bax-R-V	0.3057066875
Bcl-2-M-V	-0.067145431
Bcl-xL-R-V	0.045690575
Beclin-G-C	0.1205647435
beta-Catenin-R-V	-0.0943612195
Bid-R-C	-0.108075384
Bim-R-V	0.654686326
c-Jun_pS73-R-V	-0.032851874
c-Kit-R-V	1.3045578945
c-Met-M-E	-0.027143285
c-Met_pY1235-R-V	0.1188996295
c-Myc-R-C	-0.0768505155
C-Raf-R-V	0.3278496895
C-Raf_pS338-R-V	-0.1224186435
Caspase-7_cleavedD198-R-C	-0.059694177
Caspase-8-M-E	0.0303334805
Caveolin-1-R-V	-0.950363321
CD20-R-C	0.173943494
CD31-M-V	0.078702811
CD49b-M-V	0.0309888449999999
CDK1-R-V	-0.079166456
Chk1-M-C	-0.0739704555
Chk1_pS345-R-C	0.0330902655
Chk2-M-E	0.9501434315
Chk2_pT68-R-C	0.0966363815
cIAP-R-V	0.0386537735
Claudin-7-R-V	0.291087844
Collagen_VI-R-V	-0.0481733495
Cyclin_B1-R-V	-0.0402560130000001
Cyclin_D1-R-V	-0.1675171445
Cyclin_E1-M-V	0.281931995
Cyclin_E2-R-C	0.233587246
DJ-1-R-E	-0.0753414055
Dvl3-R-V	0.1108123795
E-Cadherin-R-V	0.512220936
eEF2-R-C	0.1819458275
eEF2K-R-V	0.578555948
EGFR-R-V	-0.206055949
EGFR_pY1068-R-C	-0.0739458975000001
EGFR_pY1173-R-V	0.0512316655
eIF4E-R-V	0.115306874
eIF4G-R-C	0.9241270335
ER-alpha-R-V	-0.0468874585
ER-alpha_pS118-R-V	0.072198358
ERCC1-M-V	-0.00953579400000001
ERK2-R-E	-0.0301222025000001
ETS-1-R-V	0.00120095849999999
FASN-R-V	0.185672239
Fibronectin-R-V	-0.701039097
FoxM1-R-V	0.163900954
FOXO3a-R-C	0.0380384705
FOXO3a_pS318_S321-R-C	-0.0687626824999999
G6PD-M-V	0.0702625410000001
GAB2-R-V	0.3116409425
GAPDH-M-C	0.9018421525
GATA3-M-V	-0.1768559085
GSK3-alpha-beta-M-V	-0.062435821
GSK3-alpha-beta_pS21_S9-R-V	-0.112205382
GSK3_pS9-R-V	-0.056842974
HER2-M-V	-0.4450121075
HER2_pY1248-R-C	-0.183715165
HER3-R-V	-0.0657329455
HER3_pY1289-R-C	0.082800798
Heregulin-R-V	-0.065415697
HSP70-R-C	-0.457001107
IGFBP2-R-V	-0.4647365955
INPP4B-R-V	0.00972927400000026
IRS1-R-V	-0.022047207
JAB1-M-C	0.1987591245
JNK_pT183_pY185-R-V	-0.042697281
JNK2-R-C	0.000776002999999997
Ku80-R-C	0.57676132
Lck-R-V	-0.0329122765
LKB1-M-E	-0.077831615
MAPK_pT202_Y204-R-V	-0.179599516
